Tiempo,Flexo-extensión cadera derecha_X,Flexo-extensión cadera derecha_Y,Flexo-extensión cadera izquierda_X,Flexo-extensión cadera izquierda_Y,Abducción-aducción cadera derecha_X,Abducción-aducción cadera derecha_Y,Abducción-aducción cadera izquierda_X,Abducción-aducción cadera izquierda_Y,Rotación cadera derecha_X,Rotación cadera derecha_Y,Rotación cadera izquierda_X,Rotación cadera izquierda_Y
0.00000,0.00000,-0.68412,0.00000,-1.61312,0.00000,-0.30808,0.00000,0.69413,0.00000,1.76511,0.00000,-2.37410
0.01000,0.01000,-0.69814,0.01000,-1.61925,0.01000,-0.32588,0.01000,0.72124,0.01000,1.82195,0.01000,-2.26056
0.02000,0.02000,-0.71562,0.02000,-1.62527,0.02000,-0.34640,0.02000,0.75304,0.02000,1.88405,0.02000,-2.13368
0.03000,0.03000,-0.73687,0.03000,-1.63067,0.03000,-0.36921,0.03000,0.78938,0.03000,1.94920,0.03000,-1.99670
0.04001,0.04000,-0.76219,0.04000,-1.63476,0.04000,-0.39381,0.04000,0.83015,0.04000,2.01500,0.04000,-1.85327
0.05001,0.05000,-0.79180,0.05000,-1.63667,0.05000,-0.41960,0.05000,0.87535,0.05000,2.07919,0.05000,-1.70706
0.06001,0.06000,-0.82577,0.06000,-1.63524,0.06000,-0.44597,0.06000,0.92517,0.06000,2.13994,0.06000,-1.56139
0.07001,0.07000,-0.86396,0.07000,-1.62885,0.07000,-0.47232,0.07000,0.98010,0.07000,2.19616,0.07000,-1.41899
0.08001,0.08000,-0.90598,0.08000,-1.61535,0.08000,-0.49811,0.08000,1.04092,0.08000,2.24761,0.08000,-1.28194
0.09001,0.09000,-0.95110,0.09000,-1.59190,0.09000,-0.52287,0.09000,1.10874,0.09000,2.29492,0.09000,-1.15167
0.10001,0.10000,-0.99831,0.10000,-1.55496,0.10000,-0.54620,0.10000,1.18486,0.10000,2.33944,0.10000,-1.02907
0.11001,0.11000,-1.04633,0.11000,-1.50029,0.11000,-0.56782,0.11000,1.27075,0.11000,2.38306,0.11000,-0.91480
0.12002,0.12000,-1.09371,0.12000,-1.42304,0.12000,-0.58753,0.12000,1.36789,0.12000,2.42794,0.12000,-0.80949
0.13002,0.13000,-1.13894,0.13000,-1.31795,0.13000,-0.60521,0.13000,1.47761,0.13000,2.47630,0.13000,-0.71403
0.14002,0.14000,-1.18053,0.14000,-1.17962,0.14000,-0.62084,0.14000,1.60097,0.14000,2.53016,0.14000,-0.62976
0.15002,0.15000,-1.21711,0.15000,-1.00288,0.15000,-0.63448,0.15000,1.73856,0.15000,2.59119,0.15000,-0.55861
0.16002,0.16000,-1.24744,0.16000,-0.78320,0.16000,-0.64624,0.16000,1.89039,0.16000,2.66058,0.16000,-0.50303
0.17002,0.17000,-1.27046,0.17000,-0.51713,0.17000,-0.65630,0.17000,2.05566,0.17000,2.73887,0.17000,-0.46587
0.18002,0.18000,-1.28531,0.18000,-0.20280,0.18000,-0.66488,0.18000,2.23265,0.18000,2.82585,0.18000,-0.45012
0.19002,0.19000,-1.29134,0.19000,0.15970,0.19000,-0.67226,0.19000,2.41870,0.19000,2.92053,0.19000,-0.45847
0.20003,0.20000,-1.28816,0.20000,0.56794,0.20000,-0.67876,0.20000,2.61013,0.20000,3.02104,0.20000,-0.49291
0.21003,0.21000,-1.27571,0.21000,1.01704,0.21000,-0.68470,0.21000,2.80241,0.21000,3.12471,0.21000,-0.55418
0.22003,0.22000,-1.25434,0.22000,1.49959,0.22000,-0.69038,0.22000,2.99040,0.22000,3.22811,0.22000,-0.64134
0.23003,0.23000,-1.22492,0.23000,2.00598,0.23000,-0.69602,0.23000,3.16860,0.23000,3.32725,0.23000,-0.75148
0.24003,0.24000,-1.18885,0.24000,2.52476,0.24000,-0.70175,0.24000,3.33165,0.24000,3.41789,0.24000,-0.87955
0.25003,0.25000,-1.14812,0.25000,3.04332,0.25000,-0.70751,0.25000,3.47462,0.25000,3.49590,0.25000,-1.01843
0.26003,0.26000,-1.10521,0.26000,3.54864,0.26000,-0.71310,0.26000,3.59348,0.26000,3.55770,0.26000,-1.15927
0.27004,0.27000,-1.06296,0.27000,4.02805,0.27000,-0.71809,0.27000,3.68530,0.27000,3.60056,0.27000,-1.29199
0.28004,0.28000,-1.02438,0.28000,4.47002,0.28000,-0.72193,0.28000,3.74838,0.28000,3.62299,0.28000,-1.40605
0.29004,0.29000,-0.99238,0.29000,4.86476,0.29000,-0.72393,0.29000,3.78225,0.29000,3.62476,0.29000,-1.49123
