Tiempo,Flexo-extensión cuello_X,Flexo-extensión cuello_Y,Flexión lateral cuello_X,Flexión lateral cuello_Y,Rotación cuello_X,Rotación cuello_Y
0.00000,0.00000,0.15075,0.00000,-0.15171,0.00000,0.05989
0.01000,0.01000,0.13925,0.01000,-0.14452,0.01000,0.06405
0.02000,0.02000,0.12691,0.02000,-0.13601,0.02000,0.06937
0.03000,0.03000,0.11424,0.03000,-0.12642,0.03000,0.07579
0.04001,0.04000,0.10175,0.04000,-0.11615,0.04000,0.08315
0.05001,0.05000,0.08993,0.05000,-0.10572,0.05000,0.09120
0.06001,0.06000,0.07918,0.06000,-0.09576,0.06000,0.09954
0.07001,0.07000,0.06980,0.07000,-0.08694,0.07000,0.10771
0.08001,0.08000,0.06198,0.08000,-0.07996,0.08000,0.11516
0.09001,0.09000,0.05584,0.09000,-0.07544,0.09000,0.12132
0.10001,0.10000,0.05143,0.10000,-0.07387,0.10000,0.12563
0.11002,0.11000,0.04881,0.11000,-0.07558,0.11000,0.12764
0.12002,0.12000,0.04806,0.12000,-0.08063,0.12000,0.12700
0.13002,0.13000,0.04930,0.13000,-0.08886,0.13000,0.12357
0.14002,0.14000,0.05264,0.14000,-0.09984,0.14000,0.11745
0.15002,0.15000,0.05821,0.15000,-0.11292,0.15000,0.10895
0.16002,0.16000,0.06604,0.16000,-0.12731,0.16000,0.09866
0.17002,0.17000,0.07607,0.17000,-0.14212,0.17000,0.08738
0.18003,0.18000,0.08808,0.18000,-0.15644,0.18000,0.07605
0.19003,0.19000,0.10173,0.19000,-0.16943,0.19000,0.06567
0.20003,0.20000,0.11650,0.20000,-0.18038,0.20000,0.05722
0.21003,0.21000,0.13179,0.21000,-0.18875,0.21000,0.05158
0.22003,0.22000,0.14694,0.22000,-0.19418,0.22000,0.04936
0.23003,0.23000,0.16129,0.23000,-0.19652,0.23000,0.05090
0.24003,0.24000,0.17428,0.24000,-0.19584,0.24000,0.05618
0.25004,0.25000,0.18548,0.25000,-0.19241,0.25000,0.06482
0.26004,0.26000,0.19458,0.26000,-0.18670,0.26000,0.07615
0.27004,0.27000,0.20149,0.27000,-0.17931,0.27000,0.08920
0.28004,0.28000,0.20626,0.28000,-0.17099,0.28000,0.10287
0.29004,0.29000,0.20914,0.29000,-0.16252,0.29000,0.11604
0.30004,0.30000,0.21049,0.30000,-0.15469,0.30000,0.12764
0.31004,0.31000,0.21077,0.31000,-0.14820,0.31000,0.13680
0.32005,0.32000,0.21051,0.32000,-0.14361,0.32000,0.14293
0.33005,0.33000,0.21021,0.33000,-0.14129,0.33000,0.14574
0.34005,0.34000,0.21033,0.34000,-0.14140,0.34000,0.14527
0.35005,0.35000,0.21120,0.35000,-0.14387,0.35000,0.14187
0.36005,0.36000,0.21302,0.36000,-0.14843,0.36000,0.13615
0.37005,0.37000,0.21581,0.37000,-0.15463,0.37000,0.12889
0.38005,0.38000,0.21943,0.38000,-0.16193,0.38000,0.12096
0.39006,0.39000,0.22362,0.39000,-0.16970,0.39000,0.11321
0.40006,0.40000,0.22799,0.40000,-0.17734,0.40000,0.10643
0.41006,0.41000,0.23215,0.41000,-0.18426,0.41000,0.10121
0.42006,0.42000,0.23571,0.42000,-0.19000,0.42000,0.09795
0.43006,0.43000,0.23839,0.43000,-0.19417,0.43000,0.09684
0.44006,0.44000,0.24001,0.44000,-0.19659,0.44000,0.09783
0.45006,0.45000,0.24058,0.45000,-0.19720,0.45000,0.10065
0.46007,0.46000,0.24024,0.46000,-0.19613,0.46000,0.10490
0.47007,0.47000,0.23929,0.47000,-0.19365,0.47000,0.11001
0.48007,0.48000,0.23817,0.48000,-0.19016,0.48000,0.11533
0.49007,0.49000,0.23740,0.49000,-0.18612,0.49000,0.12016
0.50007,0.50000,0.23757,0.50000,-0.18203,0.50000,0.12383
0.51007,0.51000,0.23923,0.51000,-0.17837,0.51000,0.12570
0.52007,0.52000,0.24291,0.52000,-0.17554,0.52000,0.12526
0.53008,0.53000,0.24899,0.53000,-0.17383,0.53000,0.12212
0.54008,0.54000,0.25773,0.54000,-0.17337,0.54000,0.11610
0.55008,0.55000,0.26917,0.55000,-0.17414,0.55000,0.10723
0.56008,0.56000,0.28317,0.56000,-0.17598,0.56000,0.09574
0.57008,0.57000,0.29938,0.57000,-0.17858,0.57000,0.08208
0.58008,0.58000,0.31727,0.58000,-0.18156,0.58000,0.06690
0.59008,0.59000,0.33617,0.59000,-0.18449,0.59000,0.05099
0.60009,0.60000,0.35533,0.60000,-0.18691,0.60000,0.03523
0.61009,0.61000,0.37402,0.61000,-0.18840,0.61000,0.02053
0.62009,0.62000,0.39157,0.62000,-0.18860,0.62000,0.00773
0.63009,0.63000,0.40745,0.63000,-0.18724,0.63000,-0.00243
0.64009,0.64000,0.42137,0.64000,-0.18415,0.64000,-0.00942
0.65009,0.65000,0.43321,0.65000,-0.17931,0.65000,-0.01290
0.66009,0.66000,0.44311,0.66000,-0.17282,0.66000,-0.01284
0.67010,0.67000,0.45132,0.67000,-0.16492,0.67000,-0.00943
0.68010,0.68000,0.45820,0.68000,-0.15597,0.68000,-0.00312
0.69010,0.69000,0.46409,0.69000,-0.14645,0.69000,0.00544
0.70010,0.70000,0.46926,0.70000,-0.13689,0.70000,0.01544
0.71010,0.71000,0.47385,0.71000,-0.12788,0.71000,0.02599
0.72010,0.72000,0.47786,0.72000,-0.12000,0.72000,0.03615
0.73010,0.73000,0.48119,0.73000,-0.11375,0.73000,0.04507
0.74011,0.74000,0.48368,0.74000,-0.10956,0.74000,0.05195
0.75011,0.75000,0.48520,0.75000,-0.10769,0.75000,0.05622
0.76011,0.76000,0.48574,0.76000,-0.10825,0.76000,0.05746
0.77011,0.77000,0.48543,0.77000,-0.11116,0.77000,0.05552
0.78011,0.78000,0.48458,0.78000,-0.11618,0.78000,0.05046
0.79011,0.79000,0.48364,0.79000,-0.12291,0.79000,0.04254
0.80011,0.80000,0.48317,0.80000,-0.13088,0.80000,0.03221
0.81012,0.81000,0.48378,0.81000,-0.13955,0.81000,0.02002
