Tiempo,Flexo-extensión cadera derecha_X,Flexo-extensión cadera derecha_Y,Flexo-extensión cadera izquierda_X,Flexo-extensión cadera izquierda_Y,Abducción-aducción cadera derecha_X,Abducción-aducción cadera derecha_Y,Abducción-aducción cadera izquierda_X,Abducción-aducción cadera izquierda_Y,Rotación cadera derecha_X,Rotación cadera derecha_Y,Rotación cadera izquierda_X,Rotación cadera izquierda_Y
0.00000,0.00000,-0.25415,0.00000,-0.26093,0.00000,0.12978,0.00000,-0.07610,0.00000,-0.41764,0.00000,0.55029
0.01000,0.01000,-0.25811,0.01000,-0.26305,0.01000,0.13229,0.01000,-0.07742,0.01000,-0.41341,0.01000,0.54944
0.02001,0.02000,-0.26250,0.02000,-0.26574,0.02000,0.13467,0.02000,-0.07876,0.02000,-0.40890,0.02000,0.54810
0.03001,0.03000,-0.26717,0.03000,-0.26897,0.03000,0.13677,0.03000,-0.08004,0.03000,-0.40432,0.03000,0.54623
0.04002,0.04000,-0.27190,0.04000,-0.27267,0.04000,0.13847,0.04000,-0.08116,0.04000,-0.39992,0.04000,0.54386
0.05002,0.05000,-0.27647,0.05000,-0.27669,0.05000,0.13967,0.05000,-0.08202,0.05000,-0.39595,0.05000,0.54106
0.06002,0.06000,-0.28066,0.06000,-0.28090,0.06000,0.14035,0.06000,-0.08253,0.06000,-0.39264,0.06000,0.53798
0.07003,0.07000,-0.28427,0.07000,-0.28511,0.07000,0.14052,0.07000,-0.08264,0.07000,-0.39012,0.07000,0.53481
0.08003,0.08000,-0.28714,0.08000,-0.28917,0.08000,0.14026,0.08000,-0.08233,0.08000,-0.38845,0.08000,0.53179
0.09003,0.09000,-0.28917,0.09000,-0.29295,0.09000,0.13970,0.09000,-0.08160,0.09000,-0.38760,0.09000,0.52918
0.10004,0.10000,-0.29034,0.10000,-0.29638,0.10000,0.13897,0.10000,-0.08053,0.10000,-0.38745,0.10000,0.52724
0.11004,0.11000,-0.29067,0.11000,-0.29943,0.11000,0.13824,0.11000,-0.07921,0.11000,-0.38781,0.11000,0.52619
0.12005,0.12000,-0.29026,0.12000,-0.30214,0.12000,0.13764,0.12000,-0.07778,0.12000,-0.38843,0.12000,0.52619
0.13005,0.13000,-0.28927,0.13000,-0.30462,0.13000,0.13730,0.13000,-0.07640,0.13000,-0.38907,0.13000,0.52734
0.14005,0.14000,-0.28789,0.14000,-0.30700,0.14000,0.13732,0.14000,-0.07521,0.14000,-0.38951,0.14000,0.52960
0.15006,0.15000,-0.28638,0.15000,-0.30945,0.15000,0.13775,0.15000,-0.07435,0.15000,-0.38958,0.15000,0.53288
0.16006,0.16000,-0.28501,0.16000,-0.31215,0.16000,0.13862,0.16000,-0.07394,0.16000,-0.38920,0.16000,0.53696
0.17006,0.17000,-0.28408,0.17000,-0.31526,0.17000,0.13990,0.17000,-0.07401,0.17000,-0.38833,0.17000,0.54159
0.18007,0.18000,-0.28384,0.18000,-0.31891,0.18000,0.14154,0.18000,-0.07456,0.18000,-0.38698,0.18000,0.54647
0.19007,0.19000,-0.28449,0.19000,-0.32314,0.19000,0.14345,0.19000,-0.07551,0.19000,-0.38518,0.19000,0.55127
0.20008,0.20000,-0.28615,0.20000,-0.32796,0.20000,0.14551,0.20000,-0.07669,0.20000,-0.38295,0.20000,0.55569
0.21008,0.21000,-0.28880,0.21000,-0.33326,0.21000,0.14760,0.21000,-0.07790,0.21000,-0.38023,0.21000,0.55945
0.22008,0.22000,-0.29234,0.22000,-0.33889,0.22000,0.14960,0.22000,-0.07891,0.22000,-0.37695,0.22000,0.56232
0.23009,0.23000,-0.29651,0.23000,-0.34466,0.23000,0.15140,0.23000,-0.07947,0.23000,-0.37296,0.23000,0.56411
0.24009,0.24000,-0.30099,0.24000,-0.35034,0.24000,0.15292,0.24000,-0.07938,0.24000,-0.36805,0.24000,0.56469
0.25009,0.25000,-0.30537,0.25000,-0.35571,0.25000,0.15409,0.25000,-0.07851,0.25000,-0.36201,0.25000,0.56401
0.26010,0.26000,-0.30923,0.26000,-0.36054,0.26000,0.15489,0.26000,-0.07677,0.26000,-0.35461,0.26000,0.56202
0.27010,0.27000,-0.31214,0.27000,-0.36467,0.27000,0.15532,0.27000,-0.07419,0.27000,-0.34564,0.27000,0.55878
0.28011,0.28000,-0.31374,0.28000,-0.36794,0.28000,0.15539,0.28000,-0.07087,0.28000,-0.33497,0.28000,0.55433
0.29011,0.29000,-0.31374,0.29000,-0.37026,0.29000,0.15511,0.29000,-0.06695,0.29000,-0.32258,0.29000,0.54877
0.30011,0.30000,-0.31196,0.30000,-0.37155,0.30000,0.15448,0.30000,-0.06264,0.30000,-0.30857,0.30000,0.54219
0.31012,0.31000,-0.30835,0.31000,-0.37183,0.31000,0.15350,0.31000,-0.05813,0.31000,-0.29322,0.31000,0.53469
0.32012,0.32000,-0.30300,0.32000,-0.37114,0.32000,0.15216,0.32000,-0.05363,0.32000,-0.27692,0.32000,0.52635
0.33012,0.33000,-0.29616,0.33000,-0.36961,0.33000,0.15045,0.33000,-0.04930,0.33000,-0.26022,0.33000,0.51727
0.34013,0.34000,-0.28821,0.34000,-0.36743,0.34000,0.14837,0.34000,-0.04528,0.34000,-0.24372,0.34000,0.50753
0.35013,0.35000,-0.27965,0.35000,-0.36485,0.35000,0.14596,0.35000,-0.04163,0.35000,-0.22804,0.35000,0.49722
0.36014,0.36000,-0.27106,0.36000,-0.36216,0.36000,0.14330,0.36000,-0.03842,0.36000,-0.21377,0.36000,0.48645
0.37014,0.37000,-0.26306,0.37000,-0.35967,0.37000,0.14051,0.37000,-0.03562,0.37000,-0.20136,0.37000,0.47534
0.38014,0.38000,-0.25625,0.38000,-0.35771,0.38000,0.13772,0.38000,-0.03320,0.38000,-0.19107,0.38000,0.46404
0.39015,0.39000,-0.25117,0.39000,-0.35655,0.39000,0.13509,0.39000,-0.03107,0.39000,-0.18303,0.39000,0.45272
0.40015,0.40000,-0.24821,0.40000,-0.35645,0.40000,0.13275,0.40000,-0.02912,0.40000,-0.17712,0.40000,0.44158
0.41015,0.41000,-0.24761,0.41000,-0.35757,0.41000,0.13082,0.41000,-0.02726,0.41000,-0.17309,0.41000,0.43084
0.42016,0.42000,-0.24943,0.42000,-0.35998,0.42000,0.12937,0.42000,-0.02537,0.42000,-0.17053,0.42000,0.42071
0.43016,0.43000,-0.25350,0.43000,-0.36365,0.43000,0.12844,0.43000,-0.02336,0.43000,-0.16895,0.43000,0.41142
0.44016,0.44000,-0.25948,0.44000,-0.36848,0.44000,0.12801,0.44000,-0.02120,0.44000,-0.16780,0.44000,0.40316
0.45017,0.45000,-0.26689,0.45000,-0.37424,0.45000,0.12804,0.45000,-0.01884,0.45000,-0.16659,0.45000,0.39608
0.46017,0.46000,-0.27512,0.46000,-0.38065,0.46000,0.12845,0.46000,-0.01632,0.46000,-0.16486,0.46000,0.39031
0.47018,0.47000,-0.28352,0.47000,-0.38738,0.47000,0.12913,0.47000,-0.01367,0.47000,-0.16231,0.47000,0.38592
0.48018,0.48000,-0.29145,0.48000,-0.39405,0.48000,0.12999,0.48000,-0.01097,0.48000,-0.15878,0.48000,0.38297
0.49018,0.49000,-0.29829,0.49000,-0.40030,0.49000,0.13094,0.49000,-0.00827,0.49000,-0.15425,0.49000,0.38148
0.50019,0.50000,-0.30353,0.50000,-0.40577,0.50000,0.13190,0.50000,-0.00567,0.50000,-0.14886,0.50000,0.38146
0.51019,0.51000,-0.30680,0.51000,-0.41018,0.51000,0.13286,0.51000,-0.00321,0.51000,-0.14286,0.51000,0.38293
0.52019,0.52000,-0.30784,0.52000,-0.41331,0.52000,0.13381,0.52000,-0.00095,0.52000,-0.13660,0.52000,0.38585
0.53020,0.53000,-0.30655,0.53000,-0.41503,0.53000,0.13476,0.53000,0.00108,0.53000,-0.13045,0.53000,0.39017
0.54020,0.54000,-0.30298,0.54000,-0.41534,0.54000,0.13575,0.54000,0.00286,0.54000,-0.12480,0.54000,0.39576
0.55021,0.55000,-0.29733,0.55000,-0.41433,0.55000,0.13683,0.55000,0.00437,0.55000,-0.12003,0.55000,0.40243
0.56021,0.56000,-0.28995,0.56000,-0.41223,0.56000,0.13799,0.56000,0.00562,0.56000,-0.11644,0.56000,0.40994
0.57021,0.57000,-0.28128,0.57000,-0.40934,0.57000,0.13926,0.57000,0.00659,0.57000,-0.11425,0.57000,0.41793
0.58022,0.58000,-0.27189,0.58000,-0.40601,0.58000,0.14062,0.58000,0.00729,0.58000,-0.11362,0.58000,0.42604
0.59022,0.59000,-0.26237,0.59000,-0.40263,0.59000,0.14203,0.59000,0.00774,0.59000,-0.11457,0.59000,0.43384
0.60022,0.60000,-0.25335,0.60000,-0.39957,0.60000,0.14344,0.60000,0.00795,0.60000,-0.11704,0.60000,0.44092
0.61023,0.61000,-0.24542,0.61000,-0.39714,0.61000,0.14482,0.61000,0.00796,0.61000,-0.12088,0.61000,0.44689
0.62023,0.62000,-0.23911,0.62000,-0.39561,0.62000,0.14613,0.62000,0.00780,0.62000,-0.12584,0.62000,0.45146
0.63024,0.63000,-0.23483,0.63000,-0.39513,0.63000,0.14734,0.63000,0.00752,0.63000,-0.13164,0.63000,0.45443
0.64024,0.64000,-0.23286,0.64000,-0.39577,0.64000,0.14845,0.64000,0.00715,0.64000,-0.13797,0.64000,0.45575
0.65024,0.65000,-0.23332,0.65000,-0.39752,0.65000,0.14948,0.65000,0.00673,0.65000,-0.14452,0.65000,0.45550
0.66025,0.66000,-0.23614,0.66000,-0.40028,0.66000,0.15046,0.66000,0.00628,0.66000,-0.15103,0.66000,0.45390
0.67025,0.67000,-0.24111,0.67000,-0.40387,0.67000,0.15143,0.67000,0.00581,0.67000,-0.15726,0.67000,0.45129
0.68025,0.68000,-0.24782,0.68000,-0.40807,0.68000,0.15239,0.68000,0.00532,0.68000,-0.16306,0.68000,0.44809
0.69026,0.69000,-0.25576,0.69000,-0.41263,0.69000,0.15337,0.69000,0.00480,0.69000,-0.16833,0.69000,0.44476
0.70026,0.70000,-0.26436,0.70000,-0.41729,0.70000,0.15434,0.70000,0.00424,0.70000,-0.17307,0.70000,0.44176
0.71027,0.71000,-0.27299,0.71000,-0.42178,0.71000,0.15528,0.71000,0.00363,0.71000,-0.17729,0.71000,0.43953
0.72027,0.72000,-0.28107,0.72000,-0.42587,0.72000,0.15615,0.72000,0.00299,0.72000,-0.18108,0.72000,0.43842
0.73027,0.73000,-0.28810,0.73000,-0.42935,0.73000,0.15691,0.73000,0.00234,0.73000,-0.18454,0.73000,0.43868
0.74028,0.74000,-0.29369,0.74000,-0.43208,0.74000,0.15749,0.74000,0.00173,0.74000,-0.18777,0.74000,0.44039
0.75028,0.75000,-0.29763,0.75000,-0.43394,0.75000,0.15787,0.75000,0.00124,0.75000,-0.19088,0.75000,0.44352
0.76028,0.76000,-0.29984,0.76000,-0.43492,0.76000,0.15798,0.76000,0.00093,0.76000,-0.19393,0.76000,0.44784
0.77029,0.77000,-0.30040,0.77000,-0.43504,0.77000,0.15778,0.77000,0.00088,0.77000,-0.19697,0.77000,0.45301
0.78029,0.78000,-0.29955,0.78000,-0.43440,0.78000,0.15724,0.78000,0.00113,0.78000,-0.19998,0.78000,0.45853
0.79030,0.79000,-0.29760,0.79000,-0.43312,0.79000,0.15633,0.79000,0.00172,0.79000,-0.20293,0.79000,0.46388
0.80030,0.80000,-0.29496,0.80000,-0.43137,0.80000,0.15505,0.80000,0.00266,0.80000,-0.20574,0.80000,0.46849
0.81030,0.81000,-0.29202,0.81000,-0.42930,0.81000,0.15341,0.81000,0.00396,0.81000,-0.20829,0.81000,0.47186
0.82031,0.82000,-0.28918,0.82000,-0.42707,0.82000,0.15144,0.82000,0.00561,0.82000,-0.21047,0.82000,0.47359
0.83031,0.83000,-0.28674,0.83000,-0.42481,0.83000,0.14919,0.83000,0.00760,0.83000,-0.21220,0.83000,0.47343
0.84031,0.84000,-0.28492,0.84000,-0.42261,0.84000,0.14670,0.84000,0.00994,0.84000,-0.21339,0.84000,0.47133
0.85032,0.85000,-0.28381,0.85000,-0.42056,0.85000,0.14405,0.85000,0.01261,0.85000,-0.21401,0.85000,0.46740
0.86032,0.86000,-0.28336,0.86000,-0.41869,0.86000,0.14130,0.86000,0.01559,0.86000,-0.21407,0.86000,0.46196
