Tiempo,Flexo-extensión cadera derecha_X,Flexo-extensión cadera derecha_Y,Flexo-extensión cadera izquierda_X,Flexo-extensión cadera izquierda_Y,Abducción-aducción cadera derecha_X,Abducción-aducción cadera derecha_Y,Abducción-aducción cadera izquierda_X,Abducción-aducción cadera izquierda_Y,Rotación cadera derecha_X,Rotación cadera derecha_Y,Rotación cadera izquierda_X,Rotación cadera izquierda_Y
0.00000,0.00000,-0.01879,0.00000,0.09083,0.00000,-0.11274,0.00000,0.01388,0.00000,-0.22029,0.00000,0.15411
0.01000,0.01000,-0.02153,0.01000,0.09136,0.01000,-0.10835,0.01000,0.01645,0.01000,-0.19868,0.01000,0.14403
0.02000,0.02000,-0.02443,0.02000,0.09111,0.02000,-0.10389,0.02000,0.01912,0.02000,-0.17620,0.02000,0.13353
0.03000,0.03000,-0.02735,0.03000,0.08982,0.03000,-0.09962,0.03000,0.02171,0.03000,-0.15405,0.03000,0.12327
0.04001,0.04000,-0.03010,0.04000,0.08728,0.04000,-0.09576,0.04000,0.02401,0.04000,-0.13346,0.04000,0.11395
0.05001,0.05000,-0.03249,0.05000,0.08335,0.05000,-0.09251,0.05000,0.02581,0.05000,-0.11560,0.05000,0.10628
0.06001,0.06000,-0.03435,0.06000,0.07796,0.06000,-0.08999,0.06000,0.02692,0.06000,-0.10146,0.06000,0.10091
0.07001,0.07000,-0.03552,0.07000,0.07113,0.07000,-0.08825,0.07000,0.02715,0.07000,-0.09174,0.07000,0.09833
0.08001,0.08000,-0.03594,0.08000,0.06301,0.08000,-0.08724,0.08000,0.02641,0.08000,-0.08679,0.08000,0.09881
0.09001,0.09000,-0.03559,0.09000,0.05385,0.09000,-0.08684,0.09000,0.02466,0.09000,-0.08664,0.09000,0.10234
0.10002,0.10000,-0.03456,0.10000,0.04398,0.10000,-0.08684,0.10000,0.02192,0.10000,-0.09103,0.10000,0.10862
0.11002,0.11000,-0.03299,0.11000,0.03385,0.11000,-0.08703,0.11000,0.01833,0.11000,-0.09943,0.11000,0.11706
0.12002,0.12000,-0.03113,0.12000,0.02392,0.12000,-0.08715,0.12000,0.01409,0.12000,-0.11111,0.12000,0.12686
0.13002,0.13000,-0.02924,0.13000,0.01467,0.13000,-0.08700,0.13000,0.00947,0.13000,-0.12521,0.13000,0.13703
0.14002,0.14000,-0.02761,0.14000,0.00657,0.14000,-0.08642,0.14000,0.00480,0.14000,-0.14078,0.14000,0.14656
0.15002,0.15000,-0.02653,0.15000,-0.00001,0.15000,-0.08530,0.15000,0.00042,0.15000,-0.15679,0.15000,0.15445
0.16002,0.16000,-0.02624,0.16000,-0.00478,0.16000,-0.08359,0.16000,-0.00334,0.16000,-0.17222,0.16000,0.15986
0.17003,0.17000,-0.02696,0.17000,-0.00762,0.17000,-0.08131,0.17000,-0.00619,0.17000,-0.18605,0.17000,0.16219
0.18003,0.18000,-0.02884,0.18000,-0.00857,0.18000,-0.07851,0.18000,-0.00792,0.18000,-0.19735,0.18000,0.16107
0.19003,0.19000,-0.03194,0.19000,-0.00782,0.19000,-0.07527,0.19000,-0.00846,0.19000,-0.20533,0.19000,0.15647
0.20003,0.20000,-0.03623,0.20000,-0.00574,0.20000,-0.07168,0.20000,-0.00786,0.20000,-0.20944,0.20000,0.14863
0.21003,0.21000,-0.04161,0.21000,-0.00282,0.21000,-0.06785,0.21000,-0.00629,0.21000,-0.20941,0.21000,0.13805
0.22003,0.22000,-0.04783,0.22000,0.00040,0.22000,-0.06390,0.22000,-0.00405,0.22000,-0.20534,0.22000,0.12547
0.23003,0.23000,-0.05457,0.23000,0.00336,0.23000,-0.05995,0.23000,-0.00148,0.23000,-0.19771,0.23000,0.11179
0.24004,0.24000,-0.06143,0.24000,0.00554,0.24000,-0.05616,0.24000,0.00103,0.24000,-0.18732,0.24000,0.09800
0.25004,0.25000,-0.06796,0.25000,0.00654,0.25000,-0.05269,0.25000,0.00312,0.25000,-0.17530,0.25000,0.08514
0.26004,0.26000,-0.07371,0.26000,0.00606,0.26000,-0.04968,0.26000,0.00450,0.26000,-0.16289,0.26000,0.07422
0.27004,0.27000,-0.07829,0.27000,0.00398,0.27000,-0.04728,0.27000,0.00495,0.27000,-0.15139,0.27000,0.06611
0.28004,0.28000,-0.08140,0.28000,0.00031,0.28000,-0.04559,0.28000,0.00437,0.28000,-0.14197,0.28000,0.06151
0.29004,0.29000,-0.08290,0.29000,-0.00482,0.29000,-0.04465,0.29000,0.00272,0.29000,-0.13556,0.29000,0.06085
0.30005,0.30000,-0.08279,0.30000,-0.01117,0.30000,-0.04443,0.30000,0.00009,0.30000,-0.13275,0.30000,0.06425
0.31005,0.31000,-0.08126,0.31000,-0.01842,0.31000,-0.04484,0.31000,-0.00340,0.31000,-0.13372,0.31000,0.07151
0.32005,0.32000,-0.07861,0.32000,-0.02619,0.32000,-0.04571,0.32000,-0.00750,0.32000,-0.13827,0.32000,0.08205
0.33005,0.33000,-0.07525,0.33000,-0.03408,0.33000,-0.04685,0.33000,-0.01196,0.33000,-0.14582,0.33000,0.09503
0.34005,0.34000,-0.07163,0.34000,-0.04169,0.34000,-0.04804,0.34000,-0.01644,0.34000,-0.15550,0.34000,0.10936
0.35005,0.35000,-0.06823,0.35000,-0.04862,0.35000,-0.04908,0.35000,-0.02058,0.35000,-0.16622,0.35000,0.12380
