Tiempo,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Eversión-inversión tobillo derecho_X,Eversión-inversión tobillo derecho_Y,Eversión-inversión tobillo izquierdo_X,Eversión-inversión tobillo izquierdo_Y,Rotación tobillo derecho_X,Rotación tobillo derecho_Y,Rotación tobillo izquierdo_X,Rotación tobillo izquierdo_Y
0.00000,0.00000,-0.62530,0.00000,-0.83203,0.00000,0.18295,0.00000,-0.90044,0.00000,-0.10983,0.00000,0.31822
0.01000,0.01000,-0.62307,0.01000,-0.83115,0.01000,0.18508,0.01000,-0.89922,0.01000,-0.11690,0.01000,0.32360
0.02000,0.02000,-0.62057,0.02000,-0.83007,0.02000,0.18754,0.02000,-0.89742,0.02000,-0.12525,0.02000,0.33052
0.03000,0.03000,-0.61789,0.03000,-0.82881,0.03000,0.19026,0.03000,-0.89497,0.03000,-0.13472,0.03000,0.33901
0.04001,0.04000,-0.61516,0.04000,-0.82739,0.04000,0.19311,0.04000,-0.89186,0.04000,-0.14505,0.04000,0.34900
0.05001,0.05000,-0.61252,0.05000,-0.82588,0.05000,0.19592,0.05000,-0.88814,0.05000,-0.15590,0.05000,0.36037
0.06001,0.06000,-0.61009,0.06000,-0.82433,0.06000,0.19852,0.06000,-0.88386,0.06000,-0.16688,0.06000,0.37288
0.07001,0.07000,-0.60802,0.07000,-0.82281,0.07000,0.20072,0.07000,-0.87917,0.07000,-0.17756,0.07000,0.38620
0.08001,0.08000,-0.60639,0.08000,-0.82143,0.08000,0.20234,0.08000,-0.87421,0.08000,-0.18748,0.08000,0.39992
0.09001,0.09000,-0.60530,0.09000,-0.82027,0.09000,0.20324,0.09000,-0.86916,0.09000,-0.19621,0.09000,0.41358
0.10001,0.10000,-0.60476,0.10000,-0.81942,0.10000,0.20329,0.10000,-0.86422,0.10000,-0.20335,0.10000,0.42664
0.11002,0.11000,-0.60478,0.11000,-0.81897,0.11000,0.20242,0.11000,-0.85956,0.11000,-0.20856,0.11000,0.43858
0.12002,0.12000,-0.60530,0.12000,-0.81896,0.12000,0.20061,0.12000,-0.85532,0.12000,-0.21156,0.12000,0.44886
0.13002,0.13000,-0.60624,0.13000,-0.81943,0.13000,0.19787,0.13000,-0.85159,0.13000,-0.21220,0.13000,0.45701
0.14002,0.14000,-0.60749,0.14000,-0.82037,0.14000,0.19431,0.14000,-0.84841,0.14000,-0.21040,0.14000,0.46265
0.15002,0.15000,-0.60892,0.15000,-0.82171,0.15000,0.19002,0.15000,-0.84575,0.15000,-0.20618,0.15000,0.46553
0.16002,0.16000,-0.61040,0.16000,-0.82338,0.16000,0.18519,0.16000,-0.84351,0.16000,-0.19966,0.16000,0.46553
0.17002,0.17000,-0.61179,0.17000,-0.82524,0.17000,0.18000,0.17000,-0.84156,0.17000,-0.19102,0.17000,0.46268
0.18003,0.18000,-0.61298,0.18000,-0.82715,0.18000,0.17464,0.18000,-0.83972,0.18000,-0.18053,0.18000,0.45720
0.19003,0.19000,-0.61388,0.19000,-0.82897,0.19000,0.16931,0.19000,-0.83780,0.19000,-0.16849,0.19000,0.44941
0.20003,0.20000,-0.61446,0.20000,-0.83055,0.20000,0.16418,0.20000,-0.83565,0.20000,-0.15525,0.20000,0.43978
