Tiempo,Flexo-extensión rodilla derecha_X,Flexo-extensión rodilla derecha_Y,Flexo-extensión rodilla izquierda_X,Flexo-extensión rodilla izquierda_Y,Abducción-aducción rodilla derecha_X,Abducción-aducción rodilla derecha_Y,Abducción-aducción rodilla izquierda_X,Abducción-aducción rodilla izquierda_Y,Rotación rodilla derecha_X,Rotación rodilla derecha_Y,Rotación rodilla izquierda_X,Rotación rodilla izquierda_Y
0.00000,0.00000,-0.24961,0.00000,-0.31385,0.00000,-0.15078,0.00000,0.34451,0.00000,-0.19453,0.00000,0.72994
0.01000,0.01000,-0.24234,0.01000,-0.31982,0.01000,-0.15014,0.01000,0.34858,0.01000,-0.21291,0.01000,0.72494
0.02000,0.02000,-0.23340,0.02000,-0.32655,0.02000,-0.14894,0.02000,0.35310,0.02000,-0.22224,0.02000,0.71937
0.03000,0.03000,-0.22287,0.03000,-0.33380,0.03000,-0.14707,0.03000,0.35787,0.03000,-0.23431,0.03000,0.71337
0.04001,0.04000,-0.21091,0.04000,-0.34132,0.04000,-0.14444,0.04000,0.36267,0.04000,-0.27587,0.04000,0.70711
0.05001,0.05000,-0.19779,0.05000,-0.34879,0.05000,-0.14101,0.05000,0.36727,0.05000,-0.33247,0.05000,0.70071
0.06001,0.06000,-0.18385,0.06000,-0.35595,0.06000,-0.13677,0.06000,0.37143,0.06000,-0.37730,0.06000,0.69428
0.07001,0.07000,-0.16948,0.07000,-0.36255,0.07000,-0.13177,0.07000,0.37498,0.07000,-0.38176,0.07000,0.68782
0.08001,0.08000,-0.15511,0.08000,-0.36842,0.08000,-0.12608,0.08000,0.37780,0.08000,-0.37483,0.08000,0.68128
0.09001,0.09000,-0.14114,0.09000,-0.37347,0.09000,-0.11980,0.09000,0.37981,0.09000,-0.38417,0.09000,0.67453
0.10001,0.10000,-0.12793,0.10000,-0.37771,0.10000,-0.11307,0.10000,0.38102,0.10000,-0.39577,0.10000,0.66740
0.11002,0.11000,-0.11578,0.11000,-0.38120,0.11000,-0.10603,0.11000,0.38144,0.11000,-0.39453,0.11000,0.65969
0.12002,0.12000,-0.10494,0.12000,-0.38406,0.12000,-0.09885,0.12000,0.38111,0.12000,-0.38062,0.12000,0.65120
0.13002,0.13000,-0.09556,0.13000,-0.38643,0.13000,-0.09169,0.13000,0.38006,0.13000,-0.38500,0.13000,0.64176
0.14002,0.14000,-0.08768,0.14000,-0.38848,0.14000,-0.08471,0.14000,0.37831,0.14000,-0.39457,0.14000,0.63128
0.15002,0.15000,-0.08127,0.15000,-0.39032,0.15000,-0.07806,0.15000,0.37585,0.15000,-0.39973,0.15000,0.61972
0.16002,0.16000,-0.07619,0.16000,-0.39209,0.16000,-0.07187,0.16000,0.37265,0.16000,-0.39730,0.16000,0.60713
0.17002,0.17000,-0.07218,0.17000,-0.39383,0.17000,-0.06623,0.17000,0.36869,0.17000,-0.39784,0.17000,0.59366
0.18003,0.18000,-0.06895,0.18000,-0.39558,0.18000,-0.06119,0.18000,0.36396,0.18000,-0.39066,0.18000,0.57953
0.19003,0.19000,-0.06614,0.19000,-0.39732,0.19000,-0.05675,0.19000,0.35846,0.19000,-0.38010,0.19000,0.56508
0.20003,0.20000,-0.06339,0.20000,-0.39898,0.20000,-0.05288,0.20000,0.35227,0.20000,-0.39320,0.20000,0.55069
0.21003,0.21000,-0.06035,0.21000,-0.40046,0.21000,-0.04953,0.21000,0.34552,0.21000,-0.41703,0.21000,0.53684
0.22003,0.22000,-0.05673,0.22000,-0.40162,0.22000,-0.04663,0.22000,0.33839,0.22000,-0.43611,0.22000,0.52398
0.23003,0.23000,-0.05225,0.23000,-0.40231,0.23000,-0.04415,0.23000,0.33110,0.23000,-0.45856,0.23000,0.51258
0.24003,0.24000,-0.04667,0.24000,-0.40234,0.24000,-0.04203,0.24000,0.32389,0.24000,-0.47997,0.24000,0.50306
0.25004,0.25000,-0.03976,0.25000,-0.40151,0.25000,-0.04025,0.25000,0.31702,0.25000,-0.49078,0.25000,0.49581
0.26004,0.26000,-0.03132,0.26000,-0.39965,0.26000,-0.03877,0.26000,0.31066,0.26000,-0.49558,0.26000,0.49111
0.27004,0.27000,-0.02109,0.27000,-0.39657,0.27000,-0.03753,0.27000,0.30497,0.27000,-0.51053,0.27000,0.48924
0.28004,0.28000,-0.00887,0.28000,-0.39217,0.28000,-0.03645,0.28000,0.30003,0.28000,-0.53133,0.28000,0.49038
0.29004,0.29000,0.00553,0.29000,-0.38638,0.29000,-0.03542,0.29000,0.29585,0.29000,-0.53586,0.29000,0.49470
0.30004,0.30000,0.02222,0.30000,-0.37921,0.30000,-0.03430,0.30000,0.29238,0.30000,-0.53680,0.30000,0.50231
0.31004,0.31000,0.04122,0.31000,-0.37075,0.31000,-0.03293,0.31000,0.28957,0.31000,-0.57129,0.31000,0.51326
0.32005,0.32000,0.06240,0.32000,-0.36118,0.32000,-0.03118,0.32000,0.28734,0.32000,-0.62019,0.32000,0.52754
0.33005,0.33000,0.08548,0.33000,-0.35072,0.33000,-0.02892,0.33000,0.28562,0.33000,-0.65012,0.33000,0.54504
0.34005,0.34000,0.11004,0.34000,-0.33963,0.34000,-0.02606,0.34000,0.28432,0.34000,-0.66639,0.34000,0.56553
0.35005,0.35000,0.13553,0.35000,-0.32820,0.35000,-0.02258,0.35000,0.28339,0.35000,-0.70056,0.35000,0.58861
0.36005,0.36000,0.16133,0.36000,-0.31667,0.36000,-0.01852,0.36000,0.28277,0.36000,-0.73829,0.36000,0.61374
0.37005,0.37000,0.18681,0.37000,-0.30528,0.37000,-0.01397,0.37000,0.28240,0.37000,-0.77314,0.37000,0.64020
0.38005,0.38000,0.21135,0.38000,-0.29421,0.38000,-0.00906,0.38000,0.28221,0.38000,-0.81744,0.38000,0.66715
0.39005,0.39000,0.23441,0.39000,-0.28360,0.39000,-0.00397,0.39000,0.28212,0.39000,-0.83569,0.39000,0.69364
0.40006,0.40000,0.25559,0.40000,-0.27354,0.40000,0.00112,0.40000,0.28206,0.40000,-0.83984,0.40000,0.71872
0.41006,0.41000,0.27465,0.41000,-0.26410,0.41000,0.00603,0.41000,0.28192,0.41000,-0.84551,0.41000,0.74146
0.42006,0.42000,0.29146,0.42000,-0.25532,0.42000,0.01064,0.42000,0.28161,0.42000,-0.84138,0.42000,0.76107
0.43006,0.43000,0.30605,0.43000,-0.24722,0.43000,0.01485,0.43000,0.28106,0.43000,-0.84968,0.43000,0.77694
0.44006,0.44000,0.31855,0.44000,-0.23984,0.44000,0.01862,0.44000,0.28020,0.44000,-0.86897,0.44000,0.78871
0.45006,0.45000,0.32912,0.45000,-0.23322,0.45000,0.02196,0.45000,0.27899,0.45000,-0.87576,0.45000,0.79627
0.46006,0.46000,0.33794,0.46000,-0.22737,0.46000,0.02491,0.46000,0.27740,0.46000,-0.86662,0.46000,0.79975
0.47007,0.47000,0.34519,0.47000,-0.22234,0.47000,0.02754,0.47000,0.27543,0.47000,-0.87086,0.47000,0.79946
0.48007,0.48000,0.35098,0.48000,-0.21815,0.48000,0.02991,0.48000,0.27310,0.48000,-0.90381,0.48000,0.79581
0.49007,0.49000,0.35538,0.49000,-0.21483,0.49000,0.03209,0.49000,0.27047,0.49000,-0.92634,0.49000,0.78924
0.50007,0.50000,0.35837,0.50000,-0.21243,0.50000,0.03408,0.50000,0.26764,0.50000,-0.92754,0.50000,0.78017
0.51007,0.51000,0.35992,0.51000,-0.21097,0.51000,0.03589,0.51000,0.26474,0.51000,-0.93691,0.51000,0.76897
0.52007,0.52000,0.35992,0.52000,-0.21052,0.52000,0.03745,0.52000,0.26194,0.52000,-0.95467,0.52000,0.75596
0.53007,0.53000,0.35829,0.53000,-0.21109,0.53000,0.03869,0.53000,0.25941,0.53000,-0.97281,0.53000,0.74139
0.54008,0.54000,0.35500,0.54000,-0.21274,0.54000,0.03948,0.54000,0.25735,0.54000,-0.98626,0.54000,0.72553
0.55008,0.55000,0.35007,0.55000,-0.21550,0.55000,0.03971,0.55000,0.25593,0.55000,-0.99048,0.55000,0.70859
0.56008,0.56000,0.34361,0.56000,-0.21938,0.56000,0.03929,0.56000,0.25529,0.56000,-0.99662,0.56000,0.69078
0.57008,0.57000,0.33587,0.57000,-0.22441,0.57000,0.03813,0.57000,0.25555,0.57000,-1.00123,0.57000,0.67227
0.58008,0.58000,0.32716,0.58000,-0.23054,0.58000,0.03624,0.58000,0.25674,0.58000,-1.00980,0.58000,0.65318
0.59008,0.59000,0.31791,0.59000,-0.23771,0.59000,0.03364,0.59000,0.25888,0.59000,-1.03260,0.59000,0.63356
0.60008,0.60000,0.30855,0.60000,-0.24583,0.60000,0.03044,0.60000,0.26188,0.60000,-1.05418,0.60000,0.61339
0.61009,0.61000,0.29952,0.61000,-0.25473,0.61000,0.02680,0.61000,0.26564,0.61000,-1.07321,0.61000,0.59255
0.62009,0.62000,0.29123,0.62000,-0.26426,0.62000,0.02289,0.62000,0.26997,0.62000,-1.09123,0.62000,0.57085
0.63009,0.63000,0.28398,0.63000,-0.27422,0.63000,0.01892,0.63000,0.27464,0.63000,-1.11208,0.63000,0.54806
0.64009,0.64000,0.27796,0.64000,-0.28442,0.64000,0.01507,0.64000,0.27940,0.64000,-1.13432,0.64000,0.52389
0.65009,0.65000,0.27322,0.65000,-0.29469,0.65000,0.01147,0.65000,0.28399,0.65000,-1.15256,0.65000,0.49813
0.66009,0.66000,0.26970,0.66000,-0.30486,0.66000,0.00821,0.66000,0.28815,0.66000,-1.16639,0.66000,0.47062
0.67009,0.67000,0.26724,0.67000,-0.31483,0.67000,0.00529,0.67000,0.29166,0.67000,-1.18819,0.67000,0.44130
0.68010,0.68000,0.26562,0.68000,-0.32451,0.68000,0.00265,0.68000,0.29435,0.68000,-1.21565,0.68000,0.41029
0.69010,0.69000,0.26462,0.69000,-0.33387,0.69000,0.00017,0.69000,0.29611,0.69000,-1.22208,0.69000,0.37784
0.70010,0.70000,0.26404,0.70000,-0.34289,0.70000,-0.00230,0.70000,0.29693,0.70000,-1.20992,0.70000,0.34438
0.71010,0.71000,0.26374,0.71000,-0.35158,0.71000,-0.00490,0.71000,0.29684,0.71000,-1.20876,0.71000,0.31047
0.72010,0.72000,0.26366,0.72000,-0.35992,0.72000,-0.00778,0.72000,0.29597,0.72000,-1.22492,0.72000,0.27681
0.73010,0.73000,0.26380,0.73000,-0.36791,0.73000,-0.01104,0.73000,0.29449,0.73000,-1.24806,0.73000,0.24416
0.74010,0.74000,0.26426,0.74000,-0.37551,0.74000,-0.01470,0.74000,0.29260,0.74000,-1.27332,0.74000,0.21332
0.75011,0.75000,0.26516,0.75000,-0.38267,0.75000,-0.01876,0.75000,0.29053,0.75000,-1.30380,0.75000,0.18506
0.76011,0.76000,0.26664,0.76000,-0.38933,0.76000,-0.02313,0.76000,0.28849,0.76000,-1.32972,0.76000,0.16005
0.77011,0.77000,0.26888,0.77000,-0.39543,0.77000,-0.02771,0.77000,0.28667,0.77000,-1.34885,0.77000,0.13881
0.78011,0.78000,0.27197,0.78000,-0.40092,0.78000,-0.03234,0.78000,0.28526,0.78000,-1.38018,0.78000,0.12171
0.79011,0.79000,0.27598,0.79000,-0.40580,0.79000,-0.03688,0.79000,0.28440,0.79000,-1.43742,0.79000,0.10886
0.80011,0.80000,0.28087,0.80000,-0.41008,0.80000,-0.04122,0.80000,0.28422,0.80000,-1.49233,0.80000,0.10019
0.81011,0.81000,0.28648,0.81000,-0.41384,0.81000,-0.04524,0.81000,0.28482,0.81000,-1.52540,0.81000,0.09543
0.82011,0.82000,0.29259,0.82000,-0.41718,0.82000,-0.04890,0.82000,0.28628,0.82000,-1.55750,0.82000,0.09414
0.83012,0.83000,0.29887,0.83000,-0.42025,0.83000,-0.05215,0.83000,0.28863,0.83000,-1.59450,0.83000,0.09575
0.84012,0.84000,0.30492,0.84000,-0.42324,0.84000,-0.05499,0.84000,0.29188,0.84000,-1.61084,0.84000,0.09963
0.85012,0.85000,0.31030,0.85000,-0.42634,0.85000,-0.05743,0.85000,0.29599,0.85000,-1.60445,0.85000,0.10508
0.86012,0.86000,0.31458,0.86000,-0.42974,0.86000,-0.05950,0.86000,0.30088,0.86000,-1.60549,0.86000,0.11142
0.87012,0.87000,0.31729,0.87000,-0.43361,0.87000,-0.06122,0.87000,0.30644,0.87000,-1.63189,0.87000,0.11798
0.88012,0.88000,0.31805,0.88000,-0.43806,0.88000,-0.06268,0.88000,0.31255,0.88000,-1.67738,0.88000,0.12419
0.89012,0.89000,0.31655,0.89000,-0.44320,0.89000,-0.06397,0.89000,0.31906,0.89000,-1.72606,0.89000,0.12956
0.90013,0.90000,0.31261,0.90000,-0.44904,0.90000,-0.06522,0.90000,0.32583,0.90000,-1.75640,0.90000,0.13377
0.91013,0.91000,0.30622,0.91000,-0.45556,0.91000,-0.06658,0.91000,0.33273,0.91000,-1.77000,0.91000,0.13666
0.92013,0.92000,0.29758,0.92000,-0.46270,0.92000,-0.06816,0.92000,0.33965,0.92000,-1.78550,0.92000,0.13820
0.93013,0.93000,0.28711,0.93000,-0.47033,0.93000,-0.07008,0.93000,0.34648,0.93000,-1.80170,0.93000,0.13857
0.94013,0.94000,0.27542,0.94000,-0.47828,0.94000,-0.07238,0.94000,0.35314,0.94000,-1.80320,0.94000,0.13806
0.95013,0.95000,0.26326,0.95000,-0.48636,0.95000,-0.07503,0.95000,0.35955,0.95000,-1.79992,0.95000,0.13706
0.96013,0.96000,0.25147,0.96000,-0.49434,0.96000,-0.07792,0.96000,0.36560,0.96000,-1.80290,0.96000,0.13606
0.97014,0.97000,0.24093,0.97000,-0.50199,0.97000,-0.08086,0.97000,0.37123,0.97000,-1.80168,0.97000,0.13555
0.98014,0.98000,0.23241,0.98000,-0.50906,0.98000,-0.08361,0.98000,0.37634,0.98000,-1.80145,0.98000,0.13601
0.99014,0.99000,0.22656,0.99000,-0.51534,0.99000,-0.08589,0.99000,0.38083,0.99000,-1.81321,0.99000,0.13788
1.00014,1.00000,0.22383,1.00000,-0.52062,1.00000,-0.08740,1.00000,0.38458,1.00000,-1.82852,1.00000,0.14150
1.01014,1.01000,0.22442,1.01000,-0.52475,1.01000,-0.08787,1.01000,0.38749,1.01000,-1.83513,1.01000,0.14713
1.02014,1.02000,0.22827,1.02000,-0.52760,1.02000,-0.08708,1.02000,0.38945,1.02000,-1.83463,1.02000,0.15490
1.03014,1.03000,0.23512,1.03000,-0.52910,1.03000,-0.08489,1.03000,0.39034,1.03000,-1.83721,1.03000,0.16480
1.04015,1.04000,0.24451,1.04000,-0.52920,1.04000,-0.08120,1.04000,0.39005,1.04000,-1.84370,1.04000,0.17670
1.05015,1.05000,0.25582,1.05000,-0.52785,1.05000,-0.07602,1.05000,0.38849,1.05000,-1.84202,1.05000,0.19036
1.06015,1.06000,0.26835,1.06000,-0.52504,1.06000,-0.06943,1.06000,0.38558,1.06000,-1.83273,1.06000,0.20543
1.07015,1.07000,0.28137,1.07000,-0.52072,1.07000,-0.06156,1.07000,0.38128,1.07000,-1.82221,1.07000,0.22144
1.08015,1.08000,0.29412,1.08000,-0.51487,1.08000,-0.05264,1.08000,0.37555,1.08000,-1.81506,1.08000,0.23786
