Tiempo,Flexo-extensión rodilla derecha_X,Flexo-extensión rodilla derecha_Y,Flexo-extensión rodilla izquierda_X,Flexo-extensión rodilla izquierda_Y,Abducción-aducción rodilla derecha_X,Abducción-aducción rodilla derecha_Y,Abducción-aducción rodilla izquierda_X,Abducción-aducción rodilla izquierda_Y,Rotación rodilla derecha_X,Rotación rodilla derecha_Y,Rotación rodilla izquierda_X,Rotación rodilla izquierda_Y
0.00000,0.00000,-0.52577,0.00000,-0.00333,0.00000,0.04082,0.00000,-0.12704,0.00000,0.25166,0.00000,-0.90213
0.01000,0.01000,-0.48485,0.01000,0.00421,0.01000,0.05622,0.01000,-0.13487,0.01000,0.05938,0.01000,-0.88834
0.02000,0.02000,-0.43816,0.02000,0.01252,0.02000,0.07212,0.02000,-0.14116,0.02000,0.00905,0.02000,-0.87655
0.03000,0.03000,-0.38740,0.03000,0.02135,0.03000,0.08800,0.03000,-0.14525,0.03000,0.09502,0.03000,-0.86782
0.04001,0.04000,-0.33479,0.04000,0.03048,0.04000,0.10339,0.04000,-0.14671,0.04000,0.28474,0.04000,-0.86301
0.05001,0.05000,-0.28291,0.05000,0.03967,0.05000,0.11799,0.05000,-0.14537,0.05000,0.46294,0.05000,-0.86265
0.06001,0.06000,-0.23443,0.06000,0.04875,0.06000,0.13157,0.06000,-0.14146,0.06000,0.56345,0.06000,-0.86686
0.07001,0.07000,-0.19186,0.07000,0.05763,0.07000,0.14397,0.07000,-0.13554,0.07000,0.55760,0.07000,-0.87541
0.08001,0.08000,-0.15732,0.08000,0.06630,0.08000,0.15503,0.08000,-0.12852,0.08000,0.49348,0.08000,-0.88772
0.09001,0.09000,-0.13233,0.09000,0.07487,0.09000,0.16454,0.09000,-0.12154,0.09000,0.45113,0.09000,-0.90299
0.10001,0.10000,-0.11773,0.10000,0.08355,0.10000,0.17227,0.10000,-0.11594,0.10000,0.42715,0.10000,-0.92026
0.11002,0.11000,-0.11354,0.11000,0.09266,0.11000,0.17798,0.11000,-0.11306,0.11000,0.44890,0.11000,-0.93847
0.12002,0.12000,-0.11905,0.12000,0.10263,0.12000,0.18146,0.12000,-0.11419,0.12000,0.42911,0.12000,-0.95655
0.13002,0.13000,-0.13285,0.13000,0.11393,0.13000,0.18260,0.13000,-0.12038,0.13000,0.37166,0.13000,-0.97338
0.14002,0.14000,-0.15295,0.14000,0.12704,0.14000,0.18141,0.14000,-0.13234,0.14000,0.28525,0.14000,-0.98789
0.15002,0.15000,-0.17693,0.15000,0.14237,0.15000,0.17806,0.15000,-0.15030,0.15000,0.21014,0.15000,-0.99903
0.16002,0.16000,-0.20214,0.16000,0.16019,0.16000,0.17292,0.16000,-0.17390,0.16000,0.20799,0.16000,-1.00591
0.17002,0.17000,-0.22592,0.17000,0.18052,0.17000,0.16654,0.17000,-0.20222,0.17000,0.25659,0.17000,-1.00775
0.18003,0.18000,-0.24574,0.18000,0.20308,0.18000,0.15962,0.18000,-0.23380,0.18000,0.34346,0.18000,-1.00402
0.19003,0.19000,-0.25944,0.19000,0.22731,0.19000,0.15291,0.19000,-0.26680,0.19000,0.37611,0.19000,-0.99451
0.20003,0.20000,-0.26535,0.20000,0.25238,0.20000,0.14712,0.20000,-0.29915,0.20000,0.32980,0.20000,-0.97939
0.21003,0.21000,-0.26246,0.21000,0.27735,0.21000,0.14284,0.21000,-0.32877,0.21000,0.23253,0.21000,-0.95933
0.22003,0.22000,-0.25048,0.22000,0.30127,0.22000,0.14043,0.22000,-0.35369,0.22000,0.11884,0.22000,-0.93549
0.23003,0.23000,-0.22987,0.23000,0.32328,0.23000,0.14005,0.23000,-0.37223,0.23000,0.09950,0.23000,-0.90943
0.24003,0.24000,-0.20179,0.24000,0.34267,0.24000,0.14166,0.24000,-0.38310,0.24000,0.17313,0.24000,-0.88293
0.25004,0.25000,-0.16800,0.25000,0.35891,0.25000,0.14510,0.25000,-0.38555,0.25000,0.33140,0.25000,-0.85782
0.26004,0.26000,-0.13060,0.26000,0.37160,0.26000,0.15013,0.26000,-0.37940,0.26000,0.47626,0.26000,-0.83570
0.27004,0.27000,-0.09190,0.27000,0.38048,0.27000,0.15644,0.27000,-0.36513,0.27000,0.53140,0.27000,-0.81778
0.28004,0.28000,-0.05417,0.28000,0.38542,0.28000,0.16373,0.28000,-0.34382,0.28000,0.48980,0.28000,-0.80476
0.29004,0.29000,-0.01951,0.29000,0.38643,0.29000,0.17166,0.29000,-0.31712,0.29000,0.37901,0.29000,-0.79681
0.30004,0.30000,0.01026,0.30000,0.38372,0.30000,0.17990,0.30000,-0.28713,0.30000,0.27490,0.30000,-0.79365
0.31004,0.31000,0.03367,0.31000,0.37769,0.31000,0.18816,0.31000,-0.25628,0.31000,0.25556,0.31000,-0.79463
0.32004,0.32000,0.04968,0.32000,0.36898,0.32000,0.19618,0.32000,-0.22717,0.32000,0.33404,0.32000,-0.79885
0.33005,0.33000,0.05766,0.33000,0.35851,0.33000,0.20375,0.33000,-0.20237,0.33000,0.45438,0.33000,-0.80532
0.34005,0.34000,0.05746,0.34000,0.34745,0.34000,0.21064,0.34000,-0.18425,0.34000,0.49004,0.34000,-0.81296
