Tiempo,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Eversión-inversión tobillo derecho_X,Eversión-inversión tobillo derecho_Y,Eversión-inversión tobillo izquierdo_X,Eversión-inversión tobillo izquierdo_Y,Rotación tobillo derecho_X,Rotación tobillo derecho_Y,Rotación tobillo izquierdo_X,Rotación tobillo izquierdo_Y
0.00000,0.00000,-0.03255,0.00000,0.02251,0.00000,-0.40634,0.00000,0.33881,0.00000,-0.72168,0.00000,-0.30509
0.01000,0.01000,-0.00472,0.01000,0.00601,0.01000,-0.43192,0.01000,0.33178,0.01000,-0.68227,0.01000,-0.29611
0.02000,0.02000,0.02755,0.02000,-0.02064,0.02000,-0.45461,0.02000,0.32638,0.02000,-0.63238,0.02000,-0.28325
0.03000,0.03000,0.06320,0.03000,-0.05799,0.03000,-0.47276,0.03000,0.32325,0.03000,-0.57392,0.03000,-0.26621
0.04001,0.04000,0.10079,0.04000,-0.10567,0.04000,-0.48518,0.04000,0.32291,0.04000,-0.51016,0.04000,-0.24495
0.05001,0.05000,0.13866,0.05000,-0.16223,0.05000,-0.49124,0.05000,0.32568,0.05000,-0.44536,0.05000,-0.21973
0.06001,0.06000,0.17507,0.06000,-0.22515,0.06000,-0.49103,0.06000,0.33171,0.06000,-0.38434,0.06000,-0.19121
0.07001,0.07000,0.20843,0.07000,-0.29099,0.07000,-0.48527,0.07000,0.34090,0.07000,-0.33178,0.07000,-0.16044
0.08001,0.08000,0.23740,0.08000,-0.35555,0.08000,-0.47518,0.08000,0.35299,0.08000,-0.29165,0.08000,-0.12892
0.09001,0.09000,0.26101,0.09000,-0.41426,0.09000,-0.46235,0.09000,0.36755,0.09000,-0.26677,0.09000,-0.09857
0.10001,0.10000,0.27872,0.10000,-0.46244,0.10000,-0.44855,0.10000,0.38407,0.10000,-0.25858,0.10000,-0.07165
0.11002,0.11000,0.29037,0.11000,-0.49574,0.11000,-0.43554,0.11000,0.40196,0.11000,-0.26709,0.11000,-0.05059
0.12002,0.12000,0.29625,0.12000,-0.51046,0.12000,-0.42495,0.12000,0.42068,0.12000,-0.29094,0.12000,-0.03774
0.13002,0.13000,0.29699,0.13000,-0.50391,0.13000,-0.41809,0.13000,0.43972,0.13000,-0.32763,0.13000,-0.03512
0.14002,0.14000,0.29352,0.14000,-0.47472,0.14000,-0.41588,0.14000,0.45867,0.14000,-0.37375,0.14000,-0.04414
0.15002,0.15000,0.28701,0.15000,-0.42311,0.15000,-0.41878,0.15000,0.47718,0.15000,-0.42542,0.15000,-0.06534
0.16002,0.16000,0.27874,0.16000,-0.35110,0.16000,-0.42680,0.16000,0.49497,0.16000,-0.47865,0.16000,-0.09820
0.17002,0.17000,0.26999,0.17000,-0.26250,0.17000,-0.43955,0.17000,0.51176,0.17000,-0.52967,0.17000,-0.14109
0.18003,0.18000,0.26205,0.18000,-0.16285,0.18000,-0.45628,0.18000,0.52724,0.18000,-0.57518,0.18000,-0.19131
0.19003,0.19000,0.25605,0.19000,-0.05905,0.19000,-0.47597,0.19000,0.54111,0.19000,-0.61243,0.19000,-0.24533
0.20003,0.20000,0.25300,0.20000,0.04121,0.20000,-0.49741,0.20000,0.55310,0.20000,-0.63929,0.20000,-0.29912
0.21003,0.21000,0.25368,0.21000,0.13016,0.21000,-0.51926,0.21000,0.56308,0.21000,-0.65431,0.21000,-0.34852
0.22003,0.22000,0.25863,0.22000,0.20070,0.22000,-0.54018,0.22000,0.57117,0.22000,-0.65680,0.22000,-0.38967
0.23003,0.23000,0.26804,0.23000,0.24714,0.23000,-0.55896,0.23000,0.57776,0.23000,-0.64695,0.23000,-0.41927
0.24003,0.24000,0.28177,0.24000,0.26569,0.24000,-0.57468,0.24000,0.58350,0.24000,-0.62594,0.24000,-0.43483
0.25004,0.25000,0.29934,0.25000,0.25480,0.25000,-0.58682,0.25000,0.58918,0.25000,-0.59594,0.25000,-0.43478
0.26004,0.26000,0.32000,0.26000,0.21523,0.26000,-0.59530,0.26000,0.59561,0.26000,-0.55982,0.26000,-0.41853
0.27004,0.27000,0.34281,0.27000,0.15000,0.27000,-0.60049,0.27000,0.60345,0.27000,-0.52096,0.27000,-0.38652
0.28004,0.28000,0.36677,0.28000,0.06415,0.28000,-0.60308,0.28000,0.61310,0.28000,-0.48277,0.28000,-0.34018
0.29004,0.29000,0.39085,0.29000,-0.03548,0.29000,-0.60398,0.29000,0.62461,0.29000,-0.44849,0.29000,-0.28186
0.30004,0.30000,0.41405,0.30000,-0.14067,0.30000,-0.60423,0.30000,0.63768,0.30000,-0.42092,0.30000,-0.21483
0.31004,0.31000,0.43546,0.31000,-0.24222,0.31000,-0.60481,0.31000,0.65168,0.31000,-0.40228,0.31000,-0.14312
0.32004,0.32000,0.45426,0.32000,-0.33052,0.32000,-0.60658,0.32000,0.66575,0.32000,-0.39403,0.32000,-0.07133
0.33005,0.33000,0.46975,0.33000,-0.39611,0.33000,-0.61017,0.33000,0.67896,0.33000,-0.39680,0.33000,-0.00436
0.34005,0.34000,0.48145,0.34000,-0.43036,0.34000,-0.61586,0.34000,0.69045,0.34000,-0.41013,0.34000,0.05299
0.35005,0.35000,0.48909,0.35000,-0.42608,0.35000,-0.62359,0.35000,0.69956,0.35000,-0.43249,0.35000,0.09643
0.36005,0.36000,0.49266,0.36000,-0.37821,0.36000,-0.63292,0.36000,0.70597,0.36000,-0.46132,0.36000,0.12262
0.37005,0.37000,0.49238,0.37000,-0.28441,0.37000,-0.64313,0.37000,0.70968,0.37000,-0.49332,0.37000,0.12951
0.38005,0.38000,0.48863,0.38000,-0.14556,0.38000,-0.65333,0.38000,0.71106,0.38000,-0.52490,0.38000,0.11664
0.39005,0.39000,0.48194,0.39000,0.03384,0.39000,-0.66266,0.39000,0.71062,0.39000,-0.55265,0.39000,0.08513
0.40006,0.40000,0.47298,0.40000,0.24559,0.40000,-0.67043,0.40000,0.70894,0.40000,-0.57364,0.40000,0.03767
0.41006,0.41000,0.46252,0.41000,0.47808,0.41000,-0.67623,0.41000,0.70643,0.41000,-0.58563,0.41000,-0.02184
0.42006,0.42000,0.45148,0.42000,0.71704,0.42000,-0.67993,0.42000,0.70332,0.42000,-0.58714,0.42000,-0.08873
0.43006,0.43000,0.44090,0.43000,0.94668,0.43000,-0.68170,0.43000,0.69965,0.43000,-0.57738,0.43000,-0.15811
0.44006,0.44000,0.43188,0.44000,1.15124,0.44000,-0.68188,0.44000,0.69550,0.44000,-0.55628,0.44000,-0.22539
0.45006,0.45000,0.42550,0.45000,1.31661,0.45000,-0.68102,0.45000,0.69110,0.45000,-0.52457,0.45000,-0.28668
0.46006,0.46000,0.42266,0.46000,1.43174,0.46000,-0.67974,0.46000,0.68702,0.46000,-0.48377,0.46000,-0.33901
