Tiempo,Flexo-extensión cuello_X,Flexo-extensión cuello_Y,Flexión lateral cuello_X,Flexión lateral cuello_Y,Rotación cuello_X,Rotación cuello_Y
0.00000,0.00000,-1.50302,0.00000,0.40768,0.00000,-0.18845
0.01000,0.01000,-1.48590,0.01000,0.40623,0.01000,-0.17899
0.02000,0.02000,-1.46654,0.02000,0.40420,0.02000,-0.16890
0.03000,0.03000,-1.44540,0.03000,0.40162,0.03000,-0.15855
0.04001,0.04000,-1.42301,0.04000,0.39856,0.04000,-0.14833
0.05001,0.05000,-1.39996,0.05000,0.39516,0.05000,-0.13858
0.06001,0.06000,-1.37679,0.06000,0.39159,0.06000,-0.12953
0.07001,0.07000,-1.35399,0.07000,0.38805,0.07000,-0.12128
0.08001,0.08000,-1.33196,0.08000,0.38475,0.08000,-0.11380
0.09001,0.09000,-1.31100,0.09000,0.38186,0.09000,-0.10693
0.10001,0.10000,-1.29132,0.10000,0.37952,0.10000,-0.10044
0.11002,0.11000,-1.27305,0.11000,0.37779,0.11000,-0.09409
0.12002,0.12000,-1.25627,0.12000,0.37666,0.12000,-0.08771
0.13002,0.13000,-1.24101,0.13000,0.37607,0.13000,-0.08120
0.14002,0.14000,-1.22724,0.14000,0.37584,0.14000,-0.07458
0.15002,0.15000,-1.21491,0.15000,0.37576,0.15000,-0.06802
0.16002,0.16000,-1.20391,0.16000,0.37554,0.16000,-0.06177
0.17002,0.17000,-1.19406,0.17000,0.37487,0.17000,-0.05619
0.18003,0.18000,-1.18512,0.18000,0.37344,0.18000,-0.05167
0.19003,0.19000,-1.17678,0.19000,0.37095,0.19000,-0.04859
0.20003,0.20000,-1.16870,0.20000,0.36719,0.20000,-0.04733
0.21003,0.21000,-1.16050,0.21000,0.36204,0.21000,-0.04817
0.22003,0.22000,-1.15185,0.22000,0.35546,0.22000,-0.05132
0.23003,0.23000,-1.14247,0.23000,0.34755,0.23000,-0.05686
0.24003,0.24000,-1.13221,0.24000,0.33852,0.24000,-0.06477
0.25004,0.25000,-1.12104,0.25000,0.32865,0.25000,-0.07487
0.26004,0.26000,-1.10912,0.26000,0.31833,0.26000,-0.08686
0.27004,0.27000,-1.09677,0.27000,0.30796,0.27000,-0.10030
0.28004,0.28000,-1.08443,0.28000,0.29800,0.28000,-0.11469
0.29004,0.29000,-1.07266,0.29000,0.28888,0.29000,-0.12942
0.30004,0.30000,-1.06204,0.30000,0.28099,0.30000,-0.14387
0.31004,0.31000,-1.05313,0.31000,0.27471,0.31000,-0.15741
0.32005,0.32000,-1.04637,0.32000,0.27032,0.32000,-0.16948
0.33005,0.33000,-1.04202,0.33000,0.26803,0.33000,-0.17959
0.34005,0.34000,-1.04009,0.34000,0.26801,0.34000,-0.18736
0.35005,0.35000,-1.04034,0.35000,0.27030,0.35000,-0.19256
0.36005,0.36000,-1.04226,0.36000,0.27490,0.36000,-0.19511
