Tiempo,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Eversión-inversión tobillo derecho_X,Eversión-inversión tobillo derecho_Y,Eversión-inversión tobillo izquierdo_X,Eversión-inversión tobillo izquierdo_Y,Rotación tobillo derecho_X,Rotación tobillo derecho_Y,Rotación tobillo izquierdo_X,Rotación tobillo izquierdo_Y
0.00000,0.00000,0.38472,0.00000,0.12922,0.00000,0.37842,0.00000,-0.38785,0.00000,-0.07567,0.00000,0.34772
0.01000,0.01000,0.38878,0.01000,0.13019,0.01000,0.37198,0.01000,-0.38365,0.01000,-0.06942,0.01000,0.34368
0.02000,0.02000,0.39319,0.02000,0.13145,0.02000,0.36418,0.02000,-0.37849,0.02000,-0.05963,0.02000,0.33804
0.03000,0.03000,0.39774,0.03000,0.13298,0.03000,0.35511,0.03000,-0.37238,0.03000,-0.04595,0.03000,0.33065
0.04001,0.04000,0.40216,0.04000,0.13476,0.04000,0.34495,0.04000,-0.36541,0.04000,-0.02830,0.04000,0.32136
0.05001,0.05000,0.40618,0.05000,0.13675,0.05000,0.33394,0.05000,-0.35770,0.05000,-0.00689,0.05000,0.31013
0.06001,0.06000,0.40951,0.06000,0.13889,0.06000,0.32236,0.06000,-0.34940,0.06000,0.01779,0.06000,0.29700
0.07001,0.07000,0.41190,0.07000,0.14112,0.07000,0.31054,0.07000,-0.34068,0.07000,0.04495,0.07000,0.28210
0.08001,0.08000,0.41313,0.08000,0.14335,0.08000,0.29877,0.08000,-0.33171,0.08000,0.07359,0.08000,0.26566
0.09001,0.09000,0.41307,0.09000,0.14554,0.09000,0.28734,0.09000,-0.32266,0.09000,0.10259,0.09000,0.24803
0.10001,0.10000,0.41164,0.10000,0.14762,0.10000,0.27647,0.10000,-0.31367,0.10000,0.13078,0.10000,0.22964
0.11002,0.11000,0.40888,0.11000,0.14955,0.11000,0.26631,0.11000,-0.30486,0.11000,0.15707,0.11000,0.21099
0.12002,0.12000,0.40490,0.12000,0.15130,0.12000,0.25695,0.12000,-0.29632,0.12000,0.18051,0.12000,0.19262
0.13002,0.13000,0.39988,0.13000,0.15286,0.13000,0.24840,0.13000,-0.28811,0.13000,0.20039,0.13000,0.17506
0.14002,0.14000,0.39407,0.14000,0.15423,0.14000,0.24064,0.14000,-0.28023,0.14000,0.21622,0.14000,0.15881
0.15002,0.15000,0.38775,0.15000,0.15545,0.15000,0.23358,0.15000,-0.27268,0.15000,0.22781,0.15000,0.14427
0.16002,0.16000,0.38122,0.16000,0.15656,0.16000,0.22710,0.16000,-0.26540,0.16000,0.23514,0.16000,0.13178
0.17002,0.17000,0.37480,0.17000,0.15763,0.17000,0.22110,0.17000,-0.25830,0.17000,0.23840,0.17000,0.12153
0.18003,0.18000,0.36878,0.18000,0.15872,0.18000,0.21545,0.18000,-0.25126,0.18000,0.23788,0.18000,0.11358
0.19003,0.19000,0.36343,0.19000,0.15993,0.19000,0.21005,0.19000,-0.24411,0.19000,0.23395,0.19000,0.10786
0.20003,0.20000,0.35897,0.20000,0.16133,0.20000,0.20479,0.20000,-0.23669,0.20000,0.22700,0.20000,0.10415
0.21003,0.21000,0.35558,0.21000,0.16299,0.21000,0.19960,0.21000,-0.22882,0.21000,0.21748,0.21000,0.10213
0.22003,0.22000,0.35338,0.22000,0.16497,0.22000,0.19439,0.22000,-0.22034,0.22000,0.20586,0.22000,0.10138
