Tiempo,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Eversión-inversión tobillo derecho_X,Eversión-inversión tobillo derecho_Y,Eversión-inversión tobillo izquierdo_X,Eversión-inversión tobillo izquierdo_Y,Rotación tobillo derecho_X,Rotación tobillo derecho_Y,Rotación tobillo izquierdo_X,Rotación tobillo izquierdo_Y
0.00000,0.00000,-0.81550,0.00000,-0.45430,0.00000,1.03832,0.00000,-0.55816,0.00000,0.80882,0.00000,0.59179
0.01001,0.01000,-0.82895,0.01000,-0.44908,0.01000,1.04001,0.01000,-0.55316,0.01000,0.79603,0.01000,0.59186
0.02001,0.02000,-0.84291,0.02000,-0.44208,0.02000,1.04009,0.02000,-0.54737,0.02000,0.78134,0.02000,0.59267
0.03002,0.03000,-0.85683,0.03000,-0.43317,0.03000,1.03816,0.03000,-0.54088,0.03000,0.76515,0.03000,0.59450
0.04002,0.04000,-0.87024,0.04000,-0.42227,0.04000,1.03396,0.04000,-0.53380,0.04000,0.74794,0.04000,0.59771
0.05003,0.05000,-0.88279,0.05000,-0.40937,0.05000,1.02741,0.05000,-0.52625,0.05000,0.73024,0.05000,0.60268
0.06003,0.06000,-0.89433,0.06000,-0.39456,0.06000,1.01869,0.06000,-0.51829,0.06000,0.71252,0.06000,0.60979
0.07004,0.07000,-0.90491,0.07000,-0.37799,0.07000,1.00819,0.07000,-0.50998,0.07000,0.69511,0.07000,0.61939
0.08004,0.08000,-0.91479,0.08000,-0.35991,0.08000,0.99657,0.08000,-0.50132,0.08000,0.67810,0.08000,0.63170
0.09005,0.09000,-0.92439,0.09000,-0.34065,0.09000,0.98461,0.09000,-0.49227,0.09000,0.66130,0.09000,0.64676
0.10006,0.10000,-0.93420,0.10000,-0.32065,0.10000,0.97319,0.10000,-0.48279,0.10000,0.64418,0.10000,0.66431
0.11006,0.11000,-0.94473,0.11000,-0.30041,0.11000,0.96313,0.11000,-0.47279,0.11000,0.62597,0.11000,0.68384
0.12007,0.12000,-0.95640,0.12000,-0.28048,0.12000,0.95506,0.12000,-0.46223,0.12000,0.60575,0.12000,0.70453
0.13007,0.13000,-0.96949,0.13000,-0.26141,0.13000,0.94937,0.13000,-0.45107,0.13000,0.58267,0.13000,0.72537
0.14008,0.14000,-0.98411,0.14000,-0.24370,0.14000,0.94609,0.14000,-0.43935,0.14000,0.55610,0.14000,0.74523
0.15008,0.15000,-1.00011,0.15000,-0.22775,0.15000,0.94488,0.15000,-0.42714,0.15000,0.52580,0.15000,0.76308
0.16009,0.16000,-1.01715,0.16000,-0.21381,0.16000,0.94506,0.16000,-0.41456,0.16000,0.49201,0.16000,0.77805
0.17009,0.17000,-1.03471,0.17000,-0.20202,0.17000,0.94576,0.17000,-0.40180,0.17000,0.45547,0.17000,0.78959
0.18010,0.18000,-1.05215,0.18000,-0.19233,0.18000,0.94593,0.18000,-0.38904,0.18000,0.41740,0.18000,0.79753
0.19011,0.19000,-1.06882,0.19000,-0.18461,0.19000,0.94461,0.19000,-0.37649,0.19000,0.37928,0.19000,0.80208
0.20011,0.20000,-1.08411,0.20000,-0.17858,0.20000,0.94098,0.20000,-0.36431,0.20000,0.34273,0.20000,0.80381
0.21012,0.21000,-1.09754,0.21000,-0.17391,0.21000,0.93454,0.21000,-0.35265,0.21000,0.30924,0.21000,0.80352
0.22012,0.22000,-1.10885,0.22000,-0.17023,0.22000,0.92517,0.22000,-0.34157,0.22000,0.27999,0.22000,0.80210
0.23013,0.23000,-1.11800,0.23000,-0.16717,0.23000,0.91319,0.23000,-0.33110,0.23000,0.25566,0.23000,0.80041
