Tiempo,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Eversión-inversión tobillo derecho_X,Eversión-inversión tobillo derecho_Y,Eversión-inversión tobillo izquierdo_X,Eversión-inversión tobillo izquierdo_Y,Rotación tobillo derecho_X,Rotación tobillo derecho_Y,Rotación tobillo izquierdo_X,Rotación tobillo izquierdo_Y
0.00000,0.00000,-0.66776,0.00000,-0.18044,0.00000,-0.80228,0.00000,0.89897,0.00000,0.51772,0.00000,-1.44284
0.01000,0.01000,-0.67040,0.01000,-0.18801,0.01000,-0.80130,0.01000,0.89077,0.01000,0.50771,0.01000,-1.44008
0.02000,0.02000,-0.67379,0.02000,-0.19759,0.02000,-0.80067,0.02000,0.88075,0.02000,0.49683,0.02000,-1.43351
0.03000,0.03000,-0.67803,0.03000,-0.20934,0.03000,-0.80059,0.03000,0.86891,0.03000,0.48562,0.03000,-1.42199
0.04001,0.04000,-0.68326,0.04000,-0.22335,0.04000,-0.80126,0.04000,0.85536,0.04000,0.47473,0.04000,-1.40442
0.05001,0.05000,-0.68961,0.05000,-0.23972,0.05000,-0.80286,0.05000,0.84024,0.05000,0.46489,0.05000,-1.37976
0.06001,0.06000,-0.69726,0.06000,-0.25851,0.06000,-0.80555,0.06000,0.82373,0.06000,0.45683,0.06000,-1.34712
0.07001,0.07000,-0.70637,0.07000,-0.27976,0.07000,-0.80947,0.07000,0.80608,0.07000,0.45126,0.07000,-1.30589
0.08001,0.08000,-0.71715,0.08000,-0.30350,0.08000,-0.81468,0.08000,0.78755,0.08000,0.44876,0.08000,-1.25577
0.09001,0.09000,-0.72976,0.09000,-0.32969,0.09000,-0.82118,0.09000,0.76842,0.09000,0.44979,0.09000,-1.19688
0.10001,0.10000,-0.74437,0.10000,-0.35826,0.10000,-0.82891,0.10000,0.74899,0.10000,0.45461,0.10000,-1.12977
0.11002,0.11000,-0.76111,0.11000,-0.38907,0.11000,-0.83773,0.11000,0.72952,0.11000,0.46328,0.11000,-1.05543
0.12002,0.12000,-0.78006,0.12000,-0.42189,0.12000,-0.84743,0.12000,0.71029,0.12000,0.47564,0.12000,-0.97527
0.13002,0.13000,-0.80123,0.13000,-0.45640,0.13000,-0.85777,0.13000,0.69153,0.13000,0.49137,0.13000,-0.89102
0.14002,0.14000,-0.82455,0.14000,-0.49223,0.14000,-0.86848,0.14000,0.67342,0.14000,0.50998,0.14000,-0.80470
0.15002,0.15000,-0.84986,0.15000,-0.52889,0.15000,-0.87927,0.15000,0.65613,0.15000,0.53091,0.15000,-0.71843
0.16002,0.16000,-0.87694,0.16000,-0.56588,0.16000,-0.88987,0.16000,0.63976,0.16000,0.55354,0.16000,-0.63435
0.17003,0.17000,-0.90549,0.17000,-0.60263,0.17000,-0.90001,0.17000,0.62443,0.17000,0.57728,0.17000,-0.55448
0.18003,0.18000,-0.93517,0.18000,-0.63860,0.18000,-0.90940,0.18000,0.61020,0.18000,0.60158,0.18000,-0.48063
0.19003,0.19000,-0.96562,0.19000,-0.67327,0.19000,-0.91780,0.19000,0.59716,0.19000,0.62594,0.19000,-0.41432
0.20003,0.20000,-0.99643,0.20000,-0.70617,0.20000,-0.92496,0.20000,0.58534,0.20000,0.64994,0.20000,-0.35675
0.21003,0.21000,-1.02723,0.21000,-0.73690,0.21000,-0.93067,0.21000,0.57481,0.21000,0.67315,0.21000,-0.30869
0.22003,0.22000,-1.05761,0.22000,-0.76513,0.22000,-0.93477,0.22000,0.56555,0.22000,0.69519,0.22000,-0.27055
0.23003,0.23000,-1.08722,0.23000,-0.79063,0.23000,-0.93714,0.23000,0.55756,0.23000,0.71570,0.23000,-0.24227
0.24004,0.24000,-1.11571,0.24000,-0.81327,0.24000,-0.93775,0.24000,0.55073,0.24000,0.73435,0.24000,-0.22338
0.25004,0.25000,-1.14278,0.25000,-0.83300,0.25000,-0.93664,0.25000,0.54494,0.25000,0.75089,0.25000,-0.21302
0.26004,0.26000,-1.16815,0.26000,-0.84986,0.26000,-0.93390,0.26000,0.54000,0.26000,0.76514,0.26000,-0.21000
0.27004,0.27000,-1.19163,0.27000,-0.86396,0.27000,-0.92967,0.27000,0.53570,0.27000,0.77706,0.27000,-0.21289
0.28004,0.28000,-1.21304,0.28000,-0.87548,0.28000,-0.92407,0.28000,0.53182,0.28000,0.78670,0.28000,-0.22010
0.29004,0.29000,-1.23226,0.29000,-0.88464,0.29000,-0.91726,0.29000,0.52814,0.29000,0.79423,0.29000,-0.23005
