Tiempo,Flexo-extensión cadera derecha_X,Flexo-extensión cadera derecha_Y,Flexo-extensión cadera izquierda_X,Flexo-extensión cadera izquierda_Y,Abducción-aducción cadera derecha_X,Abducción-aducción cadera derecha_Y,Abducción-aducción cadera izquierda_X,Abducción-aducción cadera izquierda_Y,Rotación cadera derecha_X,Rotación cadera derecha_Y,Rotación cadera izquierda_X,Rotación cadera izquierda_Y
0.00000,0.00000,3.46611,0.00000,3.56823,0.00000,-1.88228,0.00000,1.74316,0.00000,-1.33426,0.00000,2.20294
0.01001,0.01000,3.48113,0.01000,3.58337,0.01000,-1.88778,0.01000,1.74678,0.01000,-1.31989,0.01000,2.18727
0.02001,0.02000,3.49968,0.02000,3.60176,0.02000,-1.89461,0.02000,1.75119,0.02000,-1.30251,0.02000,2.16931
0.03002,0.03000,3.52165,0.03000,3.62329,0.03000,-1.90268,0.03000,1.75633,0.03000,-1.28257,0.03000,2.14945
0.04002,0.04000,3.54677,0.04000,3.64771,0.04000,-1.91182,0.04000,1.76214,0.04000,-1.26080,0.04000,2.12818
0.05003,0.05000,3.57454,0.05000,3.67467,0.05000,-1.92179,0.05000,1.76850,0.05000,-1.23819,0.05000,2.10605
0.06003,0.06000,3.60435,0.06000,3.70371,0.06000,-1.93225,0.06000,1.77527,0.06000,-1.21592,0.06000,2.08362
0.07004,0.07000,3.63543,0.07000,3.73432,0.07000,-1.94284,0.07000,1.78227,0.07000,-1.19527,0.07000,2.06142
0.08004,0.08000,3.66691,0.08000,3.76595,0.08000,-1.95320,0.08000,1.78934,0.08000,-1.17753,0.08000,2.03990
0.09005,0.09000,3.69789,0.09000,3.79802,0.09000,-1.96298,0.09000,1.79628,0.09000,-1.16383,0.09000,2.01943
0.10005,0.10000,3.72744,0.10000,3.83000,0.10000,-1.97190,0.10000,1.80293,0.10000,-1.15502,0.10000,2.00028
0.11006,0.11000,3.75470,0.11000,3.86134,0.11000,-1.97977,0.11000,1.80915,0.11000,-1.15164,0.11000,1.98261
0.12007,0.12000,3.77887,0.12000,3.89158,0.12000,-1.98649,0.12000,1.81480,0.12000,-1.15379,0.12000,1.96648
0.13007,0.13000,3.79929,0.13000,3.92031,0.13000,-1.99204,0.13000,1.81982,0.13000,-1.16118,0.13000,1.95183
0.14008,0.14000,3.81546,0.14000,3.94717,0.14000,-1.99648,0.14000,1.82416,0.14000,-1.17317,0.14000,1.93850
0.15008,0.15000,3.82706,0.15000,3.97193,0.15000,-1.99992,0.15000,1.82785,0.15000,-1.18881,0.15000,1.92626
0.16009,0.16000,3.83392,0.16000,3.99439,0.16000,-2.00251,0.16000,1.83097,0.16000,-1.20695,0.16000,1.91478
0.17009,0.17000,3.83606,0.17000,4.01449,0.17000,-2.00445,0.17000,1.83363,0.17000,-1.22637,0.17000,1.90370
0.18010,0.18000,3.83369,0.18000,4.03222,0.18000,-2.00594,0.18000,1.83600,0.18000,-1.24582,0.18000,1.89262
0.19010,0.19000,3.82715,0.19000,4.04769,0.19000,-2.00723,0.19000,1.83828,0.19000,-1.26419,0.19000,1.88117
0.20011,0.20000,3.81691,0.20000,4.06108,0.20000,-2.00856,0.20000,1.84068,0.20000,-1.28057,0.20000,1.86902
0.21011,0.21000,3.80357,0.21000,4.07264,0.21000,-2.01021,0.21000,1.84343,0.21000,-1.29431,0.21000,1.85592
0.22012,0.22000,3.78777,0.22000,4.08270,0.22000,-2.01246,0.22000,1.84674,0.22000,-1.30506,0.22000,1.84173
0.23013,0.23000,3.77022,0.23000,4.09161,0.23000,-2.01557,0.23000,1.85080,0.23000,-1.31279,0.23000,1.82646
0.24013,0.24000,3.75164,0.24000,4.09972,0.24000,-2.01979,0.24000,1.85576,0.24000,-1.31778,0.24000,1.81025
0.25014,0.25000,3.73271,0.25000,4.10738,0.25000,-2.02530,0.25000,1.86171,0.25000,-1.32054,0.25000,1.79339
0.26014,0.26000,3.71404,0.26000,4.11491,0.26000,-2.03222,0.26000,1.86871,0.26000,-1.32176,0.26000,1.77634
