Tiempo,Flexo-extensión rodilla derecha_X,Flexo-extensión rodilla derecha_Y,Flexo-extensión rodilla izquierda_X,Flexo-extensión rodilla izquierda_Y,Abducción-aducción rodilla derecha_X,Abducción-aducción rodilla derecha_Y,Abducción-aducción rodilla izquierda_X,Abducción-aducción rodilla izquierda_Y,Rotación rodilla derecha_X,Rotación rodilla derecha_Y,Rotación rodilla izquierda_X,Rotación rodilla izquierda_Y
0.00000,0.00000,-0.06207,0.00000,-0.20301,0.00000,-0.03586,0.00000,0.05836,0.00000,-0.22643,0.00000,0.25722
0.01000,0.01000,-0.06362,0.01000,-0.20277,0.01000,-0.03666,0.01000,0.05784,0.01000,-0.22938,0.01000,0.25257
0.02000,0.02000,-0.06553,0.02000,-0.20260,0.02000,-0.03761,0.02000,0.05725,0.02000,-0.23218,0.02000,0.24771
0.03000,0.03000,-0.06781,0.03000,-0.20254,0.03000,-0.03872,0.03000,0.05661,0.03000,-0.23389,0.03000,0.24283
0.04001,0.04000,-0.07044,0.04000,-0.20259,0.04000,-0.03995,0.04000,0.05591,0.04000,-0.23203,0.04000,0.23814
0.05001,0.05000,-0.07339,0.05000,-0.20274,0.05000,-0.04127,0.05000,0.05518,0.05000,-0.22973,0.05000,0.23380
0.06001,0.06000,-0.07662,0.06000,-0.20297,0.06000,-0.04266,0.06000,0.05442,0.06000,-0.22760,0.06000,0.22994
0.07001,0.07000,-0.08007,0.07000,-0.20324,0.07000,-0.04406,0.07000,0.05363,0.07000,-0.22881,0.07000,0.22661
0.08001,0.08000,-0.08369,0.08000,-0.20350,0.08000,-0.04545,0.08000,0.05283,0.08000,-0.23038,0.08000,0.22378
0.09001,0.09000,-0.08740,0.09000,-0.20370,0.09000,-0.04677,0.09000,0.05203,0.09000,-0.23589,0.09000,0.22136
0.10001,0.10000,-0.09115,0.10000,-0.20378,0.10000,-0.04800,0.10000,0.05122,0.10000,-0.24220,0.10000,0.21921
0.11002,0.11000,-0.09485,0.11000,-0.20368,0.11000,-0.04911,0.11000,0.05040,0.11000,-0.24928,0.11000,0.21715
0.12002,0.12000,-0.09844,0.12000,-0.20338,0.12000,-0.05009,0.12000,0.04956,0.12000,-0.25343,0.12000,0.21500
0.13002,0.13000,-0.10187,0.13000,-0.20283,0.13000,-0.05092,0.13000,0.04870,0.13000,-0.25748,0.13000,0.21256
0.14002,0.14000,-0.10507,0.14000,-0.20204,0.14000,-0.05162,0.14000,0.04778,0.14000,-0.26127,0.14000,0.20970
0.15002,0.15000,-0.10803,0.15000,-0.20102,0.15000,-0.05221,0.15000,0.04680,0.15000,-0.26704,0.15000,0.20631
0.16002,0.16000,-0.11072,0.16000,-0.19979,0.16000,-0.05270,0.16000,0.04574,0.16000,-0.27152,0.16000,0.20237
0.17002,0.17000,-0.11314,0.17000,-0.19843,0.17000,-0.05314,0.17000,0.04460,0.17000,-0.27561,0.17000,0.19789
0.18002,0.18000,-0.11534,0.18000,-0.19702,0.18000,-0.05355,0.18000,0.04340,0.18000,-0.27760,0.18000,0.19297
0.19003,0.19000,-0.11736,0.19000,-0.19564,0.19000,-0.05398,0.19000,0.04214,0.19000,-0.27497,0.19000,0.18772
