Time, Pelvis Rotation, Pelvis Tilt, Pelvis Obliquity, Right Hip Flexion - Extension, Left Hip Flexion - Extension, Right Hip Abduction - Adduction, Left Hip Abduction - Adduction,  Right Hip Rotation,  Left Hip Rotation,  Right Knee Flexion - Extension,  Left Knee Flexion - Extension,  Right Knee Abduction - Adduction,  Left Knee Abduction - Adduction,  Right Knee Rotation,  Left Knee Rotation,  Right Ankle Dorsiflexion - Plantarflexion,  Left Ankle Dorsiflexion - Plantarflexion,  Right Ankle Eversion - Inversion,  Left Ankle Eversion - Inversion,  Right Ankle Abduction - Adduction,  Left Ankle Abduction - Adduction, Neck Flexion - Extension, Neck Lateral Flexion, Neck Rotation, Right Shoulder Flexion - Extension, Left Shoulder Flexion - Extension, Right Shoulder Abduction - Adduction, Left Shoulder Abduction - Adduction, Right Shoulder Rotation, Left Shoulder Rotation, Right Elbow Flexion - Extension, Left Elbow Flexion - Extension, Right Wrist Flexion - Extension, Left Wrist Flexion - Extension, Right Wrist Adduction - Abduction, Left Wrist Adduction - Abduction, Right Wrist Rotation, Left Wrist Rotation, Torso Flexion - Extension, Torso Abduction - Adduction, Torso Rotation, Torso Inclination
0, -0.150904, 0.232682, -0.0195684, 0.25656, -0.0534173, 0.0230942, 0.161232, -0.141937, 0.1706, 0.107427, -0.217078, -0.181671, 0.00251007, -0.120537, -0.0235062, -0.418995, -0.355704, 0.0772343, -0.188039, -0.31292, 0.0832802, -0.992426, 0.0827286, -0.00901962, 0.121826, 0.0875873, -0.183673, 0.282864, 0.122392, 0.0892989, 0.0893957, -0.11248, -0.045819, -0.11215, -0.0287427, -0.0766012, 0.445875, 0.13334, 0.107738, -0.12222, -0.338246, 0.162452
0.0100014, -0.15557, 0.23092, -0.0182147, 0.261102, -0.0436965, 0.0237961, 0.160378, -0.148392, 0.166027, 0.10636, -0.215504, -0.183708, 0.00395203, -0.12812, -0.00978851, -0.42212, -0.358034, 0.078731, -0.189768, -0.317066, 0.0818018, -0.996142, 0.0739445, -0.00581146, 0.132897, 0.0837265, -0.198093, 0.274339, 0.133517, 0.0853679, 0.0877033, -0.113492, -0.0449337, -0.115315, -0.0298521, -0.0770928, 0.451714, 0.129586, 0.112257, -0.129959, -0.343488, 0.17122
0.0200028, -0.159582, 0.227685, -0.0162126, 0.267982, -0.0332984, 0.0250397, 0.157898, -0.155932, 0.158386, 0.104822, -0.214298, -0.18499, 0.003685, -0.13694, 0.00856018, -0.426485, -0.357135, 0.0795705, -0.188753, -0.320409, 0.0793271, -1.00007, 0.0617591, -0.00608277, 0.145328, 0.0821777, -0.213051, 0.266529, 0.146004, 0.0837722, 0.0811998, -0.116881, -0.0479496, -0.122424, -0.0309868, -0.0743749, 0.461997, 0.134698, 0.114367, -0.139283, -0.345533, 0.179689
0.0300042, -0.165094, 0.226152, -0.0132896, 0.272176, -0.0265849, 0.0270309, 0.153343, -0.16629, 0.152689, 0.102761, -0.213631, -0.187653, 0.00396729, -0.137383, 0.0209732, -0.429876, -0.355626, 0.0819859, -0.185651, -0.32255, 0.0757426, -1.00808, 0.0518789, -0.00810248, 0.162594, 0.0858277, -0.23418, 0.262683, 0.163347, 0.0874071, 0.0688197, -0.121553, -0.0535993, -0.129599, -0.0308238, -0.0702949, 0.476991, 0.146518, 0.119155, -0.148828, -0.342607, 0.190095
0.0400056, -0.172827, 0.224914, -0.011971, 0.274898, -0.0235839, 0.027092, 0.148598, -0.177357, 0.152022, 0.100148, -0.213644, -0.18792, 0.00719452, -0.136063, 0.0228348, -0.43358, -0.354224, 0.0821787, -0.184341, -0.323157, 0.0709984, -1.02395, 0.0421319, -0.00740143, 0.185239, 0.0966255, -0.255603, 0.260841, 0.186075, 0.0981906, 0.0527169, -0.127104, -0.0611783, -0.135534, -0.0289663, -0.0663044, 0.493952, 0.154294, 0.126353, -0.156921, -0.340368, 0.200883
0.050007, -0.18165, 0.224273, -0.0108766, 0.275598, -0.0242496, 0.0272675, 0.143814, -0.188846, 0.155514, 0.0969827, -0.214438, -0.187164, 0.0130081, -0.131462, 0.0181046, -0.432108, -0.356214, 0.0806668, -0.186009, -0.322015, 0.0651194, -1.04195, 0.0312314, -0.0039986, 0.206297, 0.106756, -0.271401, 0.258019, 0.207206, 0.108273, 0.0374191, -0.130946, -0.0686935, -0.137846, -0.0277183, -0.0635441, 0.503862, 0.157289, 0.133428, -0.164661, -0.340958, 0.211319
0.0600084, -0.19267, 0.226101, -0.0110816, 0.273522, -0.0283932, 0.0276566, 0.141693, -0.199683, 0.163012, 0.0932967, -0.216055, -0.186684, 0.019043, -0.124176, 0.017334, -0.43092, -0.361521, 0.0798388, -0.189509, -0.319058, 0.0582084, -1.05457, 0.0232899, -0.00547709, 0.218715, 0.108492, -0.284141, 0.256542, 0.219705, 0.109948, 0.0261515, -0.129981, -0.074969, -0.134856, -0.0290546, -0.0614092, 0.505353, 0.152393, 0.141651, -0.169614, -0.345406, 0.220329
0.0700098, -0.19267, 0.226101, -0.0110816, 0.273522, -0.0283932, 0.0276566, 0.141693, -0.199683, 0.163012, 0.0932967, -0.216055, -0.186684, 0.019043, -0.124176, 0.017334, -0.43092, -0.361521, 0.0798388, -0.189509, -0.319058, 0.0582084, -1.05457, 0.0232899, -0.00547709, 0.218715, 0.108492, -0.284141, 0.256542, 0.219705, 0.109948, 0.0261515, -0.129981, -0.074969, -0.134856, -0.0290546, -0.0614092, 0.505353, 0.152393, 0.141651, -0.169614, -0.345406, 0.220329
0.0800112, -0.221743, 0.223868, -0.0145723, 0.271777, -0.0311649, 0.0253983, 0.141563, -0.211963, 0.18704, 0.0846695, -0.221631, -0.187981, 0.0201035, -0.110779, 0.0215683, -0.4399, -0.362753, 0.0791922, -0.18723, -0.308253, 0.0420475, -1.0636, 0.00828356, -0.0241667, 0.214455, 0.0952376, -0.303546, 0.248271, 0.215678, 0.096532, 0.0225184, -0.108425, -0.0803386, -0.119851, -0.0298708, -0.0710606, 0.489929, 0.125024, 0.153058, -0.170719, -0.357087, 0.228576
0.0900126, -0.238482, 0.217989, -0.0159277, 0.274398, -0.0270048, 0.022316, 0.142784, -0.218412, 0.202247, 0.0799549, -0.225393, -0.187057, 0.0212631, -0.103775, 0.00773621, -0.446409, -0.368618, 0.0797429, -0.187566, -0.301022, 0.0333094, -1.06437, -0.000459924, -0.0381863, 0.205878, 0.090629, -0.313793, 0.244075, 0.207252, 0.0918499, 0.0274128, -0.09518, -0.0789396, -0.108909, -0.0279892, -0.0775253, 0.477571, 0.112127, 0.154438, -0.172081, -0.367509, 0.230484
