Tiempo,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Eversión-inversión tobillo derecho_X,Eversión-inversión tobillo derecho_Y,Eversión-inversión tobillo izquierdo_X,Eversión-inversión tobillo izquierdo_Y,Rotación tobillo derecho_X,Rotación tobillo derecho_Y,Rotación tobillo izquierdo_X,Rotación tobillo izquierdo_Y
0.00000,0.00000,-0.42151,0.00000,-0.35487,0.00000,0.07827,0.00000,-0.18742,0.00000,-0.31292,0.00000,0.08328
0.01000,0.01000,-0.42306,0.01000,-0.35517,0.01000,0.07853,0.01000,-0.18734,0.01000,-0.31707,0.01000,0.08180
0.02000,0.02000,-0.42497,0.02000,-0.35574,0.02000,0.07881,0.02000,-0.18730,0.02000,-0.32041,0.02000,0.07933
0.03000,0.03000,-0.42725,0.03000,-0.35662,0.03000,0.07911,0.03000,-0.18734,0.03000,-0.32255,0.03000,0.07574
0.04001,0.04000,-0.42992,0.04000,-0.35786,0.04000,0.07943,0.04000,-0.18748,0.04000,-0.32316,0.04000,0.07100
0.05001,0.05000,-0.43295,0.05000,-0.35951,0.05000,0.07977,0.05000,-0.18772,0.05000,-0.32202,0.05000,0.06512
0.06001,0.06000,-0.43632,0.06000,-0.36159,0.06000,0.08016,0.06000,-0.18809,0.06000,-0.31906,0.06000,0.05821
0.07001,0.07000,-0.44000,0.07000,-0.36409,0.07000,0.08061,0.07000,-0.18856,0.07000,-0.31439,0.07000,0.05044
0.08001,0.08000,-0.44394,0.08000,-0.36700,0.08000,0.08113,0.08000,-0.18915,0.08000,-0.30825,0.08000,0.04205
0.09001,0.09000,-0.44804,0.09000,-0.37027,0.09000,0.08173,0.09000,-0.18982,0.09000,-0.30102,0.09000,0.03331
0.10001,0.10000,-0.45224,0.10000,-0.37385,0.10000,0.08240,0.10000,-0.19055,0.10000,-0.29312,0.10000,0.02452
0.11002,0.11000,-0.45643,0.11000,-0.37766,0.11000,0.08313,0.11000,-0.19130,0.11000,-0.28498,0.11000,0.01596
0.12002,0.12000,-0.46053,0.12000,-0.38161,0.12000,0.08389,0.12000,-0.19205,0.12000,-0.27698,0.12000,0.00786
0.13002,0.13000,-0.46447,0.13000,-0.38562,0.13000,0.08465,0.13000,-0.19274,0.13000,-0.26941,0.13000,0.00038
0.14002,0.14000,-0.46820,0.14000,-0.38959,0.14000,0.08537,0.14000,-0.19334,0.14000,-0.26244,0.14000,-0.00641
0.15002,0.15000,-0.47167,0.15000,-0.39344,0.15000,0.08601,0.15000,-0.19379,0.15000,-0.25614,0.15000,-0.01254
0.16002,0.16000,-0.47487,0.16000,-0.39707,0.16000,0.08653,0.16000,-0.19407,0.16000,-0.25049,0.16000,-0.01812
0.17002,0.17000,-0.47780,0.17000,-0.40038,0.17000,0.08691,0.17000,-0.19413,0.17000,-0.24541,0.17000,-0.02331
0.18003,0.18000,-0.48044,0.18000,-0.40328,0.18000,0.08713,0.18000,-0.19393,0.18000,-0.24081,0.18000,-0.02827
0.19003,0.19000,-0.48278,0.19000,-0.40566,0.19000,0.08716,0.19000,-0.19345,0.19000,-0.23660,0.19000,-0.03316
0.20003,0.20000,-0.48481,0.20000,-0.40746,0.20000,0.08701,0.20000,-0.19267,0.20000,-0.23272,0.20000,-0.03808
0.21003,0.21000,-0.48648,0.21000,-0.40860,0.21000,0.08668,0.21000,-0.19158,0.21000,-0.22914,0.21000,-0.04307
0.22003,0.22000,-0.48775,0.22000,-0.40904,0.22000,0.08618,0.22000,-0.19019,0.22000,-0.22589,0.22000,-0.04810
0.23003,0.23000,-0.48855,0.23000,-0.40879,0.23000,0.08552,0.23000,-0.18851,0.23000,-0.22298,0.23000,-0.05303
0.24003,0.24000,-0.48882,0.24000,-0.40784,0.24000,0.08468,0.24000,-0.18658,0.24000,-0.22044,0.24000,-0.05768
0.25004,0.25000,-0.48849,0.25000,-0.40625,0.25000,0.08368,0.25000,-0.18443,0.25000,-0.21828,0.25000,-0.06184
0.26004,0.26000,-0.48754,0.26000,-0.40409,0.26000,0.08248,0.26000,-0.18210,0.26000,-0.21646,0.26000,-0.06527
0.27004,0.27000,-0.48594,0.27000,-0.40143,0.27000,0.08109,0.27000,-0.17964,0.27000,-0.21493,0.27000,-0.06776
0.28004,0.28000,-0.48370,0.28000,-0.39836,0.28000,0.07949,0.28000,-0.17709,0.28000,-0.21365,0.28000,-0.06915
0.29004,0.29000,-0.48086,0.29000,-0.39498,0.29000,0.07769,0.29000,-0.17447,0.29000,-0.21256,0.29000,-0.06934
0.30004,0.30000,-0.47748,0.30000,-0.39138,0.30000,0.07572,0.30000,-0.17181,0.30000,-0.21165,0.30000,-0.06831
0.31004,0.31000,-0.47361,0.31000,-0.38761,0.31000,0.07362,0.31000,-0.16913,0.31000,-0.21098,0.31000,-0.06611
0.32005,0.32000,-0.46934,0.32000,-0.38375,0.32000,0.07145,0.32000,-0.16642,0.32000,-0.21063,0.32000,-0.06284
0.33005,0.33000,-0.46471,0.33000,-0.37983,0.33000,0.06928,0.33000,-0.16370,0.33000,-0.21073,0.33000,-0.05864
0.34005,0.34000,-0.45979,0.34000,-0.37591,0.34000,0.06718,0.34000,-0.16097,0.34000,-0.21142,0.34000,-0.05370
0.35005,0.35000,-0.45462,0.35000,-0.37200,0.35000,0.06519,0.35000,-0.15821,0.35000,-0.21282,0.35000,-0.04819
0.36005,0.36000,-0.44922,0.36000,-0.36814,0.36000,0.06336,0.36000,-0.15546,0.36000,-0.21495,0.36000,-0.04230
0.37005,0.37000,-0.44362,0.37000,-0.36435,0.37000,0.06171,0.37000,-0.15273,0.37000,-0.21780,0.37000,-0.03618
0.38005,0.38000,-0.43788,0.38000,-0.36068,0.38000,0.06024,0.38000,-0.15003,0.38000,-0.22123,0.38000,-0.02997
0.39005,0.39000,-0.43204,0.39000,-0.35715,0.39000,0.05894,0.39000,-0.14742,0.39000,-0.22505,0.39000,-0.02379
0.40006,0.40000,-0.42617,0.40000,-0.35380,0.40000,0.05779,0.40000,-0.14491,0.40000,-0.22900,0.40000,-0.01774
0.41006,0.41000,-0.42034,0.41000,-0.35063,0.41000,0.05675,0.41000,-0.14254,0.41000,-0.23280,0.41000,-0.01190
0.42006,0.42000,-0.41464,0.42000,-0.34768,0.42000,0.05581,0.42000,-0.14033,0.42000,-0.23615,0.42000,-0.00634
0.43006,0.43000,-0.40916,0.43000,-0.34494,0.43000,0.05494,0.43000,-0.13832,0.43000,-0.23881,0.43000,-0.00114
0.44006,0.44000,-0.40398,0.44000,-0.34241,0.44000,0.05412,0.44000,-0.13651,0.44000,-0.24055,0.44000,0.00362
0.45006,0.45000,-0.39917,0.45000,-0.34008,0.45000,0.05335,0.45000,-0.13490,0.45000,-0.24122,0.45000,0.00784
0.46006,0.46000,-0.39477,0.46000,-0.33793,0.46000,0.05263,0.46000,-0.13349,0.46000,-0.24076,0.46000,0.01138
0.47007,0.47000,-0.39079,0.47000,-0.33594,0.47000,0.05198,0.47000,-0.13227,0.47000,-0.23917,0.47000,0.01412
0.48007,0.48000,-0.38724,0.48000,-0.33408,0.48000,0.05143,0.48000,-0.13121,0.48000,-0.23656,0.48000,0.01592
0.49007,0.49000,-0.38408,0.49000,-0.33232,0.49000,0.05096,0.49000,-0.13030,0.49000,-0.23312,0.49000,0.01665
0.50007,0.50000,-0.38125,0.50000,-0.33066,0.50000,0.05059,0.50000,-0.12950,0.50000,-0.22903,0.50000,0.01624
0.51007,0.51000,-0.37872,0.51000,-0.32905,0.51000,0.05029,0.51000,-0.12880,0.51000,-0.22453,0.51000,0.01470
0.52007,0.52000,-0.37643,0.52000,-0.32749,0.52000,0.05004,0.52000,-0.12817,0.52000,-0.21981,0.52000,0.01209
0.53007,0.53000,-0.37434,0.53000,-0.32596,0.53000,0.04981,0.53000,-0.12757,0.53000,-0.21504,0.53000,0.00857
0.54008,0.54000,-0.37243,0.54000,-0.32443,0.54000,0.04958,0.54000,-0.12698,0.54000,-0.21034,0.54000,0.00437
0.55008,0.55000,-0.37069,0.55000,-0.32290,0.55000,0.04933,0.55000,-0.12639,0.55000,-0.20580,0.55000,-0.00023
0.56008,0.56000,-0.36910,0.56000,-0.32137,0.56000,0.04906,0.56000,-0.12580,0.56000,-0.20151,0.56000,-0.00493
0.57008,0.57000,-0.36765,0.57000,-0.31982,0.57000,0.04878,0.57000,-0.12519,0.57000,-0.19753,0.57000,-0.00939
0.58008,0.58000,-0.36635,0.58000,-0.31828,0.58000,0.04851,0.58000,-0.12457,0.58000,-0.19393,0.58000,-0.01332
0.59008,0.59000,-0.36516,0.59000,-0.31677,0.59000,0.04827,0.59000,-0.12395,0.59000,-0.19080,0.59000,-0.01648
