Tiempo,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Eversión-inversión tobillo derecho_X,Eversión-inversión tobillo derecho_Y,Eversión-inversión tobillo izquierdo_X,Eversión-inversión tobillo izquierdo_Y,Rotación tobillo derecho_X,Rotación tobillo derecho_Y,Rotación tobillo izquierdo_X,Rotación tobillo izquierdo_Y
0.00000,0.00000,-1.81332,0.00000,0.87350,0.00000,-3.05642,0.00000,2.01345,0.00000,1.76467,0.00000,-0.88303
0.01000,0.01000,-1.81420,0.01000,0.86905,0.01000,-3.05394,0.01000,2.01068,0.01000,1.76014,0.01000,-0.88833
0.02000,0.02000,-1.81552,0.02000,0.86407,0.02000,-3.05165,0.02000,2.00756,0.02000,1.75504,0.02000,-0.89482
0.03000,0.03000,-1.81736,0.03000,0.85871,0.03000,-3.04980,0.03000,2.00417,0.03000,1.74947,0.03000,-0.90240
0.04001,0.04000,-1.81979,0.04000,0.85313,0.04000,-3.04863,0.04000,2.00065,0.04000,1.74351,0.04000,-0.91089
0.05001,0.05000,-1.82284,0.05000,0.84752,0.05000,-3.04835,0.05000,1.99710,0.05000,1.73723,0.05000,-0.92004
0.06001,0.06000,-1.82655,0.06000,0.84204,0.06000,-3.04917,0.06000,1.99365,0.06000,1.73065,0.06000,-0.92954
0.07001,0.07000,-1.83089,0.07000,0.83685,0.07000,-3.05122,0.07000,1.99042,0.07000,1.72380,0.07000,-0.93904
0.08001,0.08000,-1.83583,0.08000,0.83205,0.08000,-3.05454,0.08000,1.98748,0.08000,1.71666,0.08000,-0.94819
0.09001,0.09000,-1.84128,0.09000,0.82772,0.09000,-3.05911,0.09000,1.98489,0.09000,1.70923,0.09000,-0.95664
0.10001,0.10000,-1.84710,0.10000,0.82387,0.10000,-3.06481,0.10000,1.98265,0.10000,1.70153,0.10000,-0.96410
0.11002,0.11000,-1.85313,0.11000,0.82049,0.11000,-3.07140,0.11000,1.98076,0.11000,1.69364,0.11000,-0.97036
0.12002,0.12000,-1.85917,0.12000,0.81753,0.12000,-3.07862,0.12000,1.97917,0.12000,1.68571,0.12000,-0.97529
0.13002,0.13000,-1.86502,0.13000,0.81490,0.13000,-3.08614,0.13000,1.97781,0.13000,1.67794,0.13000,-0.97883
