Tiempo,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Eversión-inversión tobillo derecho_X,Eversión-inversión tobillo derecho_Y,Eversión-inversión tobillo izquierdo_X,Eversión-inversión tobillo izquierdo_Y,Rotación tobillo derecho_X,Rotación tobillo derecho_Y,Rotación tobillo izquierdo_X,Rotación tobillo izquierdo_Y
0.00000,0.00000,-0.23497,0.00000,-1.15467,0.00000,-2.13710,0.00000,2.48543,0.00000,1.17195,0.00000,-1.08461
0.01001,0.01000,-0.23012,0.01000,-1.15685,0.01000,-2.13844,0.01000,2.48875,0.01000,1.18008,0.01000,-1.08276
0.02001,0.02000,-0.22461,0.02000,-1.15898,0.02000,-2.14008,0.02000,2.49287,0.02000,1.18956,0.02000,-1.08077
0.03002,0.03000,-0.21864,0.03000,-1.16095,0.03000,-2.14202,0.03000,2.49778,0.03000,1.20025,0.03000,-1.07876
0.04003,0.04000,-0.21242,0.04000,-1.16262,0.04000,-2.14424,0.04000,2.50338,0.04000,1.21200,0.04000,-1.07684
0.05003,0.05000,-0.20621,0.05000,-1.16390,0.05000,-2.14674,0.05000,2.50956,0.05000,1.22460,0.05000,-1.07511
0.06004,0.06000,-0.20026,0.06000,-1.16472,0.06000,-2.14949,0.06000,2.51617,0.06000,1.23784,0.06000,-1.07366
0.07005,0.07000,-0.19480,0.07000,-1.16504,0.07000,-2.15247,0.07000,2.52301,0.07000,1.25149,0.07000,-1.07256
0.08005,0.08000,-0.19004,0.08000,-1.16489,0.08000,-2.15563,0.08000,2.52991,0.08000,1.26536,0.08000,-1.07182
0.09006,0.09000,-0.18612,0.09000,-1.16428,0.09000,-2.15894,0.09000,2.53668,0.09000,1.27925,0.09000,-1.07138
0.10006,0.10000,-0.18311,0.10000,-1.16329,0.10000,-2.16234,0.10000,2.54316,0.10000,1.29303,0.10000,-1.07115
0.11007,0.11000,-0.18104,0.11000,-1.16199,0.11000,-2.16576,0.11000,2.54920,0.11000,1.30659,0.11000,-1.07099
0.12008,0.12000,-0.17988,0.12000,-1.16047,0.12000,-2.16911,0.12000,2.55470,0.12000,1.31986,0.12000,-1.07072
0.13008,0.13000,-0.17953,0.13000,-1.15878,0.13000,-2.17233,0.13000,2.55962,0.13000,1.33279,0.13000,-1.07018
0.14009,0.14000,-0.17990,0.14000,-1.15698,0.14000,-2.17531,0.14000,2.56392,0.14000,1.34537,0.14000,-1.06916
0.15010,0.15000,-0.18084,0.15000,-1.15509,0.15000,-2.17798,0.15000,2.56763,0.15000,1.35756,0.15000,-1.06751
0.16010,0.16000,-0.18223,0.16000,-1.15310,0.16000,-2.18029,0.16000,2.57080,0.16000,1.36929,0.16000,-1.06510
0.17011,0.17000,-0.18395,0.17000,-1.15097,0.17000,-2.18219,0.17000,2.57349,0.17000,1.38050,0.17000,-1.06183
0.18012,0.18000,-0.18588,0.18000,-1.14868,0.18000,-2.18367,0.18000,2.57579,0.18000,1.39107,0.18000,-1.05767
0.19012,0.19000,-0.18798,0.19000,-1.14618,0.19000,-2.18474,0.19000,2.57779,0.19000,1.40088,0.19000,-1.05264
0.20013,0.20000,-0.19022,0.20000,-1.14344,0.20000,-2.18546,0.20000,2.57953,0.20000,1.40979,0.20000,-1.04681
0.21013,0.21000,-0.19260,0.21000,-1.14048,0.21000,-2.18587,0.21000,2.58105,0.21000,1.41767,0.21000,-1.04029
0.22014,0.22000,-0.19515,0.22000,-1.13735,0.22000,-2.18602,0.22000,2.58237,0.22000,1.42442,0.22000,-1.03325
0.23015,0.23000,-0.19793,0.23000,-1.13414,0.23000,-2.18596,0.23000,2.58342,0.23000,1.42993,0.23000,-1.02583
0.24015,0.24000,-0.20097,0.24000,-1.13098,0.24000,-2.18573,0.24000,2.58413,0.24000,1.43413,0.24000,-1.01825
0.25016,0.25000,-0.20431,0.25000,-1.12806,0.25000,-2.18534,0.25000,2.58439,0.25000,1.43698,0.25000,-1.01072
0.26017,0.26000,-0.20794,0.26000,-1.12555,0.26000,-2.18480,0.26000,2.58406,0.26000,1.43846,0.26000,-1.00346
0.27017,0.27000,-0.21183,0.27000,-1.12366,0.27000,-2.18410,0.27000,2.58300,0.27000,1.43855,0.27000,-0.99673
0.28018,0.28000,-0.21594,0.28000,-1.12253,0.28000,-2.18322,0.28000,2.58111,0.28000,1.43731,0.28000,-0.99079
0.29018,0.29000,-0.22019,0.29000,-1.12230,0.29000,-2.18213,0.29000,2.57829,0.29000,1.43481,0.29000,-0.98587
