Tiempo,Flexo-extensión cuello_X,Flexo-extensión cuello_Y,Flexión lateral cuello_X,Flexión lateral cuello_Y,Rotación cuello_X,Rotación cuello_Y
0.00000,0.00000,-0.65240,0.00000,-0.16097,0.00000,1.69394
0.01000,0.01000,-0.62676,0.01000,-0.15683,0.01000,1.69682
0.02000,0.02000,-0.59504,0.02000,-0.15057,0.02000,1.70244
0.03000,0.03000,-0.55707,0.03000,-0.14229,0.03000,1.71104
0.04001,0.04000,-0.51281,0.04000,-0.13239,0.04000,1.72262
0.05001,0.05000,-0.46239,0.05000,-0.12154,0.05000,1.73684
0.06001,0.06000,-0.40609,0.06000,-0.11067,0.06000,1.75303
0.07001,0.07000,-0.34437,0.07000,-0.10089,0.07000,1.77025
0.08001,0.08000,-0.27791,0.08000,-0.09333,0.08000,1.78733
0.09001,0.09000,-0.20762,0.09000,-0.08903,0.09000,1.80306
0.10001,0.10000,-0.13464,0.10000,-0.08878,0.10000,1.81629
0.11002,0.11000,-0.06030,0.11000,-0.09297,0.11000,1.82609
0.12002,0.12000,0.01389,0.12000,-0.10155,0.12000,1.83187
0.13002,0.13000,0.08638,0.13000,-0.11396,0.13000,1.83343
0.14002,0.14000,0.15573,0.14000,-0.12928,0.14000,1.83098
0.15002,0.15000,0.22070,0.15000,-0.14626,0.15000,1.82507
0.16002,0.16000,0.28046,0.16000,-0.16356,0.16000,1.81652
0.17002,0.17000,0.33468,0.17000,-0.17986,0.17000,1.80629
0.18003,0.18000,0.38363,0.18000,-0.19407,0.18000,1.79535
0.19003,0.19000,0.42813,0.19000,-0.20543,0.19000,1.78458
0.20003,0.20000,0.46949,0.20000,-0.21357,0.20000,1.77472
0.21003,0.21000,0.50933,0.21000,-0.21849,0.21000,1.76625
0.22003,0.22000,0.54941,0.22000,-0.22052,0.22000,1.75947
0.23003,0.23000,0.59138,0.23000,-0.22022,0.23000,1.75446
0.24003,0.24000,0.63665,0.24000,-0.21825,0.24000,1.75114
0.25004,0.25000,0.68622,0.25000,-0.21531,0.25000,1.74934
0.26004,0.26000,0.74056,0.26000,-0.21202,0.26000,1.74884
0.27004,0.27000,0.79965,0.27000,-0.20888,0.27000,1.74942
0.28004,0.28000,0.86298,0.28000,-0.20625,0.28000,1.75088
0.29004,0.29000,0.92963,0.29000,-0.20434,0.29000,1.75308
