Tiempo,Flexo-extensión cuello_X,Flexo-extensión cuello_Y,Flexión lateral cuello_X,Flexión lateral cuello_Y,Rotación cuello_X,Rotación cuello_Y
0.00000,0.00000,3.79209,0.00000,0.24610,0.00000,2.89698
0.01001,0.01000,3.78818,0.01000,0.24226,0.01000,2.89487
0.02001,0.02000,3.78297,0.02000,0.23790,0.02000,2.89257
0.03002,0.03000,3.77644,0.03000,0.23312,0.03000,2.89023
0.04002,0.04000,3.76863,0.04000,0.22805,0.04000,2.88803
0.05003,0.05000,3.75965,0.05000,0.22284,0.05000,2.88617
0.06003,0.06000,3.74975,0.06000,0.21762,0.06000,2.88482
0.07004,0.07000,3.73925,0.07000,0.21251,0.07000,2.88411
0.08004,0.08000,3.72857,0.08000,0.20762,0.08000,2.88407
0.09005,0.09000,3.71821,0.09000,0.20299,0.09000,2.88462
0.10005,0.10000,3.70874,0.10000,0.19863,0.10000,2.88553
0.11006,0.11000,3.70076,0.11000,0.19453,0.11000,2.88644
0.12006,0.12000,3.69493,0.12000,0.19062,0.12000,2.88691
0.13007,0.13000,3.69186,0.13000,0.18685,0.13000,2.88646
0.14007,0.14000,3.69215,0.14000,0.18315,0.14000,2.88464
0.15008,0.15000,3.69631,0.15000,0.17948,0.15000,2.88110
0.16008,0.16000,3.70473,0.16000,0.17585,0.16000,2.87569
0.17009,0.17000,3.71765,0.17000,0.17226,0.17000,2.86845
0.18010,0.18000,3.73515,0.18000,0.16877,0.18000,2.85967
0.19010,0.19000,3.75713,0.19000,0.16544,0.19000,2.84985
0.20011,0.20000,3.78330,0.20000,0.16234,0.20000,2.83965
0.21011,0.21000,3.81323,0.21000,0.15949,0.21000,2.82980
0.22012,0.22000,3.84637,0.22000,0.15687,0.22000,2.82103
0.23012,0.23000,3.88214,0.23000,0.15437,0.23000,2.81395
0.24013,0.24000,3.91995,0.24000,0.15172,0.24000,2.80898
0.25013,0.25000,3.95931,0.25000,0.14854,0.25000,2.80619
0.26014,0.26000,3.99987,0.26000,0.14425,0.26000,2.80532
0.27014,0.27000,4.04148,0.27000,0.13812,0.27000,2.80572
0.28015,0.28000,4.08424,0.28000,0.12931,0.28000,2.80639
0.29015,0.29000,4.12847,0.29000,0.11688,0.29000,2.80605
0.30016,0.30000,4.17468,0.30000,0.09991,0.30000,2.80330
0.31016,0.31000,4.22353,0.31000,0.07756,0.31000,2.79668
0.32017,0.32000,4.27572,0.32000,0.04916,0.32000,2.78485
0.33017,0.33000,4.33190,0.33000,0.01431,0.33000,2.76671
0.34018,0.34000,4.39258,0.34000,-0.02708,0.34000,2.74150
0.35018,0.35000,4.45802,0.35000,-0.07475,0.35000,2.70888
0.36019,0.36000,4.52816,0.36000,-0.12807,0.36000,2.66892
0.37019,0.37000,4.60255,0.37000,-0.18611,0.37000,2.62214
0.38020,0.38000,4.68037,0.38000,-0.24766,0.38000,2.56944
0.39021,0.39000,4.76041,0.39000,-0.31139,0.39000,2.51201
0.40021,0.40000,4.84116,0.40000,-0.37589,0.40000,2.45120
0.41022,0.41000,4.92087,0.41000,-0.43987,0.41000,2.38840
0.42022,0.42000,4.99766,0.42000,-0.50219,0.42000,2.32489
0.43023,0.43000,5.06963,0.43000,-0.56203,0.43000,2.26166
0.44023,0.44000,5.13499,0.44000,-0.61888,0.44000,2.19935
0.45024,0.45000,5.19212,0.45000,-0.67258,0.45000,2.13816
0.46024,0.46000,5.23966,0.46000,-0.72334,0.46000,2.07781
0.47025,0.47000,5.27657,0.47000,-0.77161,0.47000,2.01758
0.48025,0.48000,5.30212,0.48000,-0.81806,0.48000,1.95641
0.49026,0.49000,5.31593,0.49000,-0.86345,0.49000,1.89302
0.50026,0.50000,5.31793,0.50000,-0.90853,0.50000,1.82605
0.51027,0.51000,5.30830,0.51000,-0.95395,0.51000,1.75421
0.52027,0.52000,5.28749,0.52000,-1.00015,0.52000,1.67647
0.53028,0.53000,5.25610,0.53000,-1.04729,0.53000,1.59219
0.54028,0.54000,5.21489,0.54000,-1.09527,0.54000,1.50121
0.55029,0.55000,5.16470,0.55000,-1.14364,0.55000,1.40393
0.56029,0.56000,5.10645,0.56000,-1.19174,0.56000,1.30127
0.57030,0.57000,5.04111,0.57000,-1.23867,0.57000,1.19470
