Time, Pelvis Rotation, Pelvis Tilt, Pelvis Obliquity, Right Hip Flexion - Extension, Left Hip Flexion - Extension, Right Hip Abduction - Adduction, Left Hip Abduction - Adduction,  Right Hip Rotation,  Left Hip Rotation,  Right Knee Flexion - Extension,  Left Knee Flexion - Extension,  Right Knee Abduction - Adduction,  Left Knee Abduction - Adduction,  Right Knee Rotation,  Left Knee Rotation,  Right Ankle Dorsiflexion - Plantarflexion,  Left Ankle Dorsiflexion - Plantarflexion,  Right Ankle Eversion - Inversion,  Left Ankle Eversion - Inversion,  Right Ankle Abduction - Adduction,  Left Ankle Abduction - Adduction, Neck Flexion - Extension, Neck Lateral Flexion, Neck Rotation, Right Shoulder Flexion - Extension, Left Shoulder Flexion - Extension, Right Shoulder Abduction - Adduction, Left Shoulder Abduction - Adduction, Right Shoulder Rotation, Left Shoulder Rotation, Right Elbow Flexion - Extension, Left Elbow Flexion - Extension, Right Wrist Flexion - Extension, Left Wrist Flexion - Extension, Right Wrist Adduction - Abduction, Left Wrist Adduction - Abduction, Right Wrist Rotation, Left Wrist Rotation, Torso Flexion - Extension, Torso Abduction - Adduction, Torso Rotation, Torso Inclination
0, -4.62293, 0.50411, 0.106853, 0.184811, -0.701443, 0.13401, -0.897827, 0.907934, -0.14424, 0.791564, -1.24917, 0.580864, 0.631577, 0.97541, 3.15617, 0.0211412, -1.19659, -0.049885, 0.512542, -1.00609, -3.10923, 3.7934, 0.254629, 2.90114, 0.320302, 0.329339, 0.603484, 0.154707, 0.332205, 0.329655, -0.139399, 0.912636, 0.230934, 0.295, -0.583161, 0.038663, -0.737056, -1.57133, 0.0482913, -0.391565, 0.852438, 0.395243
0.0100053, -4.63059, 0.496348, 0.107882, 0.19984, -0.701251, 0.128288, -0.901558, 0.905435, -0.138574, 0.801048, -1.25058, 0.596565, 0.630814, 0.97229, 3.15361, 0.0273895, -1.19736, -0.0556544, 0.514486, -1.00532, -3.11074, 3.79074, 0.248147, 2.90407, 0.320846, 0.332121, 0.595937, 0.156841, 0.332635, 0.332429, -0.13578, 0.905645, 0.231753, 0.293553, -0.590306, 0.050759, -0.75762, -1.56896, 0.0418336, -0.39951, 0.845769, 0.402308
0.0200105, -4.63733, 0.489279, 0.108902, 0.215428, -0.699933, 0.125748, -0.904778, 0.904389, -0.137387, 0.812269, -1.25124, 0.608002, 0.632332, 0.962761, 3.15675, 0.0334588, -1.1995, -0.0622667, 0.515498, -1.00437, -3.11281, 3.78773, 0.24031, 2.90451, 0.321422, 0.332765, 0.589901, 0.16006, 0.333025, 0.333069, -0.13074, 0.898176, 0.230122, 0.295344, -0.597501, 0.0568167, -0.77061, -1.56067, 0.0325896, -0.405456, 0.846598, 0.407245
0.0300158, -4.64249, 0.483254, 0.108644, 0.230958, -0.698581, 0.123482, -0.905945, 0.90545, -0.138107, 0.825123, -1.25092, 0.617317, 0.633003, 0.955803, 3.15847, 0.0359276, -1.20173, -0.072106, 0.518234, -1.00323, -3.11554, 3.78278, 0.233165, 2.9023, 0.32055, 0.331315, 0.582172, 0.16336, 0.331913, 0.331631, -0.123015, 0.892832, 0.226304, 0.301116, -0.603296, 0.0544059, -0.773998, -1.5517, 0.024021, -0.409552, 0.856238, 0.410619
0.040021, -4.64733, 0.478651, 0.106606, 0.245359, -0.694418, 0.11998, -0.903435, 0.90818, -0.136627, 0.839453, -1.24942, 0.625793, 0.632568, 0.946938, 3.15923, 0.0381768, -1.20183, -0.078226, 0.520706, -1.00188, -3.11903, 3.77434, 0.227834, 2.89777, 0.320607, 0.330482, 0.573044, 0.167588, 0.331701, 0.330818, -0.113242, 0.889415, 0.22015, 0.30375, -0.606386, 0.0477409, -0.768188, -1.54622, 0.020252, -0.410643, 0.8687, 0.411449
0.0500263, -4.65339, 0.47597, 0.10473, 0.257856, -0.688489, 0.118416, -0.901611, 0.909544, -0.13065, 0.855069, -1.24663, 0.632492, 0.631775, 0.936378, 3.15581, 0.0415881, -1.20073, -0.084179, 0.524843, -1.00032, -3.12338, 3.7648, 0.222051, 2.8918, 0.320072, 0.328661, 0.568429, 0.17212, 0.330989, 0.329024, -0.100906, 0.888105, 0.215169, 0.304057, -0.608614, 0.0396872, -0.759463, -1.54037, 0.0218414, -0.411378, 0.879813, 0.412292
0.0600315, -4.65945, 0.472294, 0.102769, 0.271252, -0.678848, 0.117691, -0.899033, 0.911615, -0.121923, 0.871768, -1.24252, 0.639084, 0.630852, 0.927177, 3.14924, 0.04404, -1.19808, -0.0915391, 0.526389, -0.998556, -3.12867, 3.75468, 0.213578, 2.87767, 0.319524, 0.327441, 0.567884, 0.174954, 0.330329, 0.327838, -0.0886327, 0.885586, 0.210443, 0.303579, -0.610243, 0.0317083, -0.750169, -1.53532, 0.0240341, -0.411734, 0.888242, 0.412808
0.0700368, -4.66551, 0.470492, 0.102998, 0.282243, -0.671944, 0.117477, -0.898643, 0.914393, -0.107678, 0.889355, -1.23719, 0.646706, 0.629723, 0.924149, 3.14388, 0.0474279, -1.19411, -0.0982615, 0.528127, -0.996636, -3.13499, 3.74337, 0.206365, 2.86449, 0.32194, 0.326896, 0.565994, 0.180271, 0.332676, 0.32733, -0.0784621, 0.884488, 0.208612, 0.302954, -0.610585, 0.0268065, -0.750331, -1.53153, 0.0308856, -0.414291, 0.892625, 0.415925
0.080042, -4.67018, 0.47048, 0.104926, 0.290319, -0.668286, 0.11763, -0.896896, 0.919487, -0.0933422, 0.907653, -1.23082, 0.65538, 0.625458, 0.922485, 3.13817, 0.052584, -1.19006, -0.106305, 0.528341, -0.994624, -3.14242, 3.73287, 0.200668, 2.8573, 0.325419, 0.325324, 0.559424, 0.186548, 0.336054, 0.325782, -0.0708191, 0.885878, 0.211621, 0.299307, -0.605995, 0.0258501, -0.760133, -1.52809, 0.040556, -0.417282, 0.8941, 0.419877
0.0900473, -4.67476, 0.469683, 0.10693, 0.299652, -0.663517, 0.117332, -0.896713, 0.925282, -0.0831939, 0.926504, -1.22369, 0.664291, 0.618462, 0.91996, 3.13577, 0.0555898, -1.18196, -0.111587, 0.533706, -0.992615, -3.15099, 3.72417, 0.194375, 2.85535, 0.328697, 0.321613, 0.557476, 0.188076, 0.339308, 0.322079, -0.0671359, 0.891045, 0.217567, 0.294538, -0.59607, 0.0276371, -0.774391, -1.52328, 0.0479857, -0.420516, 0.893022, 0.423991
