Time, Pelvis Rotation, Pelvis Tilt, Pelvis Obliquity, Right Hip Flexion - Extension, Left Hip Flexion - Extension, Right Hip Abduction - Adduction, Left Hip Abduction - Adduction,  Right Hip Rotation,  Left Hip Rotation,  Right Knee Flexion - Extension,  Left Knee Flexion - Extension,  Right Knee Abduction - Adduction,  Left Knee Abduction - Adduction,  Right Knee Rotation,  Left Knee Rotation,  Right Ankle Dorsiflexion - Plantarflexion,  Left Ankle Dorsiflexion - Plantarflexion,  Right Ankle Eversion - Inversion,  Left Ankle Eversion - Inversion,  Right Ankle Abduction - Adduction,  Left Ankle Abduction - Adduction, Neck Flexion - Extension, Neck Lateral Flexion, Neck Rotation, Right Shoulder Flexion - Extension, Left Shoulder Flexion - Extension, Right Shoulder Abduction - Adduction, Left Shoulder Abduction - Adduction, Right Shoulder Rotation, Left Shoulder Rotation, Right Elbow Flexion - Extension, Left Elbow Flexion - Extension, Right Wrist Flexion - Extension, Left Wrist Flexion - Extension, Right Wrist Adduction - Abduction, Left Wrist Adduction - Abduction, Right Wrist Rotation, Left Wrist Rotation, Torso Flexion - Extension, Torso Abduction - Adduction, Torso Rotation, Torso Inclination
0, 0.130139, 0.362289, 0.016776, -0.0228612, 0.0385059, -0.112572, 0.168854, -0.279723, -0.242327, 0.0778091, 0.144947, 0.0215912, -0.0112457, 0.438843, 0.379021, -0.229866, -0.214798, 0.121643, -0.144988, 0.144165, 0.0133701, 0.127907, 0.0129953, -0.621612, -0.245611, -0.0602029, 0.0868928, -0.236863, -0.245643, -0.0622891, -0.339922, -0.343532, -0.0410978, 0.141575, -0.202008, 0.0398171, 1.1282, 0.975206, -1.04888, 0.219894, -0.0355588, 1.07156
0.0100065, 0.139365, 0.36331, 0.0164006, -0.0199185, 0.0402974, -0.111038, 0.172386, -0.281223, -0.250229, 0.0837157, 0.146079, 0.0186615, -0.0134583, 0.444702, 0.377861, -0.227044, -0.222571, 0.123063, -0.145563, 0.138315, 0.0139237, 0.119468, 0.0145194, -0.609328, -0.257694, -0.0608322, 0.0716352, -0.230277, -0.257723, -0.062868, -0.374949, -0.345827, -0.033303, 0.137057, -0.222032, 0.0463322, 1.20703, 0.952498, -1.05315, 0.220207, -0.0354111, 1.0758
0.020013, 0.149076, 0.364735, 0.0164914, -0.0157153, 0.0421875, -0.109398, 0.17334, -0.28202, -0.257853, 0.0899906, 0.147693, 0.0165482, -0.0163269, 0.443497, 0.371841, -0.222453, -0.228223, 0.121572, -0.144481, 0.131905, 0.0146502, 0.113085, 0.00907815, -0.614799, -0.273754, -0.0564803, 0.0569223, -0.226822, -0.273774, -0.0585032, -0.399058, -0.348982, -0.0229892, 0.131037, -0.24533, 0.0514773, 1.29529, 0.926011, -1.05389, 0.224422, -0.0323982, 1.0774
0.0300195, 0.157528, 0.369905, 0.0174742, -0.0134931, 0.0403424, -0.108978, 0.174118, -0.272912, -0.265164, 0.0962838, 0.149795, 0.0165634, -0.0190506, 0.431145, 0.362625, -0.217862, -0.234684, 0.120072, -0.143084, 0.125204, 0.0155601, 0.105652, -0.000886747, -0.624973, -0.291076, -0.0475281, 0.042876, -0.22609, -0.291085, -0.0495698, -0.405302, -0.350956, -0.011089, 0.127712, -0.273384, 0.0542914, 1.38935, 0.903131, -1.04833, 0.231816, -0.0292274, 1.07355
0.040026, 0.164921, 0.377567, 0.018737, -0.0142245, 0.0379241, -0.107918, 0.175858, -0.264524, -0.273243, 0.102191, 0.15235, 0.0161972, -0.0207977, 0.418442, 0.360344, -0.213357, -0.238095, 0.118572, -0.143957, 0.118531, 0.0166548, 0.097139, -0.0135285, -0.633667, -0.309755, -0.0372278, 0.0363703, -0.228439, -0.309755, -0.0393165, -0.392527, -0.350219, -0.00242956, 0.128688, -0.301317, 0.0560754, 1.47889, 0.885481, -1.03991, 0.241911, -0.0272939, 1.06757
0.0500325, 0.172002, 0.385371, 0.0213543, -0.0171177, 0.0342678, -0.105888, 0.175415, -0.258787, -0.279353, 0.107287, 0.155276, 0.0189362, -0.022522, 0.409653, 0.363342, -0.208055, -0.237837, 0.114039, -0.142741, 0.11222, 0.0179257, 0.0913912, -0.0268068, -0.64942, -0.330347, -0.025706, 0.0409194, -0.232059, -0.330338, -0.0278563, -0.361224, -0.350483, -0.00609035, 0.126171, -0.325634, 0.0598732, 1.56729, 0.866026, -1.02953, 0.252894, -0.0185828, 1.06006
0.060039, 0.178619, 0.393357, 0.0240554, -0.0233025, 0.0301238, -0.104454, 0.174469, -0.252193, -0.28557, 0.111166, 0.158447, 0.0213928, -0.0224991, 0.400856, 0.368111, -0.203006, -0.239527, 0.110835, -0.142537, 0.106592, 0.019357, 0.0886401, -0.0399096, -0.670416, -0.346289, -0.0108891, 0.0431575, -0.235055, -0.34627, -0.0131076, -0.318683, -0.350508, -0.0246161, 0.124382, -0.348848, 0.062662, 1.66473, 0.855041, -1.01826, 0.264255, -0.00748893, 1.05197
0.0700455, 0.185659, 0.401827, 0.0268027, -0.0342947, 0.0246977, -0.101433, 0.170738, -0.246137, -0.286498, 0.113475, 0.161704, 0.0241928, -0.0210037, 0.393135, 0.370308, -0.198709, -0.239235, 0.108182, -0.141015, 0.101928, 0.0209339, 0.0877075, -0.049152, -0.692817, -0.352929, 0.00666827, 0.0443695, -0.236462, -0.352898, 0.00438568, -0.272024, -0.349536, -0.0467336, 0.125305, -0.373413, 0.0644361, 1.75536, 0.854602, -1.00442, 0.274592, 0.00231064, 1.0413
0.080052, 0.189937, 0.4115, 0.0306481, -0.0508588, 0.0156026, -0.0980682, 0.168892, -0.241832, -0.280046, 0.113952, 0.164868, 0.0271301, -0.0251083, 0.388634, 0.367622, -0.194797, -0.235153, 0.103508, -0.136079, 0.0984464, 0.0226533, 0.0896068, -0.0557345, -0.717638, -0.351588, 0.0243712, 0.0527997, -0.237298, -0.351542, 0.022022, -0.227831, -0.348057, -0.0748921, 0.126785, -0.394097, 0.0659579, 1.82985, 0.858781, -0.987413, 0.28207, 0.00904834, 1.02696
0.0900585, 0.194357, 0.418121, 0.0328779, -0.0664788, 0.00964269, -0.0957108, 0.169724, -0.234964, -0.27489, 0.112443, 0.167758, 0.0285339, -0.027504, 0.383911, 0.360481, -0.191667, -0.232, 0.100753, -0.134642, 0.0962922, 0.024534, 0.0951691, -0.0605256, -0.740283, -0.345041, 0.0408932, 0.066231, -0.238127, -0.344972, 0.0384815, -0.190048, -0.348536, -0.109066, 0.126119, -0.408258, 0.0674135, 1.88069, 0.857504, -0.971424, 0.28942, 0.0150022, 1.0137
0.100065, 0.198432, 0.423077, 0.0336009, -0.0805764, 0.00609806, -0.0949173, 0.171646, -0.223465, -0.271122, 0.108915, 0.170211, 0.0270767, -0.0317764, 0.374451, 0.357635, -0.190301, -0.224865, 0.10029, -0.130178, 0.0955311, 0.0266228, 0.105125, -0.0626101, -0.757032, -0.33356, 0.0563083, 0.0793541, -0.236711, -0.333471, 0.0538625, -0.160193, -0.35045, -0.149858, 0.126738, -0.412101, 0.0649566, 1.89956, 0.855854, -0.956038, 0.294626, 0.0142769, 1.00049
0.110071, 0.201745, 0.426252, 0.0344365, -0.0913088, 0.00264072, -0.0944748, 0.175591, -0.207921, -0.270815, 0.10345, 0.172099, 0.0249252, -0.0355911, 0.358253, 0.359802, -0.189796, -0.21993, 0.10248, -0.128724, 0.0961506, 0.0289931, 0.118194, -0.062576, -0.766898, -0.319856, 0.0677533, 0.0919387, -0.232467, -0.31974, 0.0653254, -0.134819, -0.351622, -0.194327, 0.12988, -0.405875, 0.0574758, 1.88505, 0.855646, -0.942578, 0.295699, 0.00852334, 0.987923
0.120078, 0.205751, 0.426555, 0.0335195, -0.0980005, 0.000737532, -0.0961227, 0.178185, -0.195043, -0.27006, 0.0962365, 0.17335, 0.0232391, -0.0378113, 0.346565, 0.358971, -0.192839, -0.216464, 0.104788, -0.12682, 0.0980646, 0.0317373, 0.1324, -0.0605912, -0.768839, -0.305781, 0.0739555, 0.103506, -0.22677, -0.305644, 0.0715758, -0.115785, -0.352809, -0.237294, 0.136116, -0.393394, 0.0486223, 1.84154, 0.855113, -0.934641, 0.294161, 0.00196043, 0.979856
0.130084, 0.205751, 0.426555, 0.0335195, -0.0980005, 0.000737532, -0.0961227, 0.178185, -0.195043, -0.27006, 0.0962365, 0.17335, 0.0232391, -0.0378113, 0.346565, 0.358971, -0.192839, -0.216464, 0.104788, -0.12682, 0.0980646, 0.0317373, 0.1324, -0.0605912, -0.768839, -0.305781, 0.0739555, 0.103506, -0.22677, -0.305644, 0.0715758, -0.115785, -0.352809, -0.237294, 0.136116, -0.393394, 0.0486223, 1.84154, 0.855113, -0.934641, 0.294161, 0.00196043, 0.979856
0.140091, 0.210336, 0.422573, 0.0313298, -0.101349, -0.0012531, -0.102821, 0.183815, -0.193286, -0.26143, 0.0777406, 0.173969, 0.0235901, -0.043129, 0.359276, 0.347603, -0.201471, -0.212603, 0.106903, -0.123006, 0.105109, 0.0387165, 0.153409, -0.0499439, -0.757049, -0.276693, 0.0727928, 0.104263, -0.216566, -0.276539, 0.0705365, -0.1091, -0.354729, -0.302322, 0.138415, -0.347325, 0.0312755, 1.66935, 0.843431, -0.934831, 0.28122, -0.0161929, 0.976145
0.150097, 0.212271, 0.418932, 0.0285962, -0.101774, 0.00129442, -0.107811, 0.188553, -0.194681, -0.262985, 0.0671937, 0.173512, 0.0245132, -0.0453568, 0.37059, 0.349396, -0.205044, -0.210167, 0.107298, -0.12187, 0.109783, 0.0430706, 0.154169, -0.0419616, -0.748784, -0.261064, 0.067965, 0.100977, -0.211341, -0.260918, 0.0657825, -0.122339, -0.354821, -0.315681, 0.131951, -0.318502, 0.0244466, 1.5573, 0.834499, -0.940245, 0.271638, -0.0263686, 0.978583
0.160104, 0.215884, 0.413956, 0.0274262, -0.10161, 0.00625606, -0.110252, 0.187767, -0.192049, -0.270175, 0.0563284, 0.172751, 0.0242462, -0.0420837, 0.379036, 0.353607, -0.209852, -0.208381, 0.109988, -0.123114, 0.114869, 0.0479918, 0.150994, -0.0328997, -0.739854, -0.250909, 0.0570277, 0.0949751, -0.207073, -0.250785, 0.054909, -0.143516, -0.353553, -0.317537, 0.11973, -0.287162, 0.0196975, 1.44402, 0.81696, -0.947222, 0.259016, -0.034124, 0.981854
0.17011, 0.220358, 0.408369, 0.0258748, -0.101107, 0.00920378, -0.112808, 0.185509, -0.18371, -0.280458, 0.0455692, 0.171889, 0.0240402, -0.0363998, 0.380951, 0.367706, -0.214642, -0.208589, 0.110751, -0.12605, 0.120098, 0.0533816, 0.141102, -0.0217318, -0.726919, -0.240266, 0.0429988, 0.0844188, -0.202505, -0.240167, 0.0409592, -0.177544, -0.349305, -0.31318, 0.102777, -0.253587, 0.0171026, 1.34451, 0.797637, -0.954775, 0.246512, -0.0380215, 0.985933
0.180117, 0.223794, 0.404798, 0.0268008, -0.102131, 0.00999137, -0.112206, 0.179031, -0.173301, -0.28587, 0.0353291, 0.171146, 0.0243912, -0.0296555, 0.378654, 0.377754, -0.220046, -0.211158, 0.111699, -0.128609, 0.125215, 0.0590646, 0.124327, -0.00990016, -0.709633, -0.232017, 0.0296447, 0.0727623, -0.197187, -0.231946, 0.0277029, -0.218194, -0.345712, -0.305303, 0.0834069, -0.224401, 0.0169732, 1.2698, 0.779691, -0.96111, 0.23372, -0.0396832, 0.988968
0.190123, 0.227813, 0.400065, 0.0270469, -0.101646, 0.0136457, -0.110237, 0.175926, -0.161225, -0.29004, 0.0259926, 0.170736, 0.0242691, -0.027565, 0.37542, 0.382309, -0.221251, -0.211703, 0.108131, -0.129493, 0.130002, 0.0648016, 0.104189, 8.04667e-05, -0.693638, -0.22829, 0.0169049, 0.0632997, -0.192287, -0.228246, 0.0150529, -0.261346, -0.341969, -0.296744, 0.0634757, -0.20247, 0.018464, 1.22752, 0.763807, -0.967885, 0.223163, -0.0406169, 0.993131
0.20013, 0.228043, 0.397217, 0.0268349, -0.103926, 0.0169824, -0.108017, 0.17334, -0.151192, -0.288676, 0.017898, 0.170846, 0.0218048, -0.0249405, 0.372742, 0.389595, -0.22398, -0.210722, 0.10966, -0.129864, 0.134288, 0.0703162, 0.0792088, 0.00659635, -0.678611, -0.228377, 0.0071352, 0.0565574, -0.186115, -0.228355, 0.00538686, -0.301015, -0.337068, -0.284926, 0.0494602, -0.192291, 0.0176626, 1.20194, 0.749568, -0.969789, 0.214146, -0.0481887, 0.99298
0.210136, 0.224465, 0.39509, 0.0266879, -0.105786, 0.0211944, -0.107742, 0.173531, -0.145157, -0.286713, 0.0113208, 0.171618, 0.0190506, -0.0254288, 0.371307, 0.39933, -0.228399, -0.210364, 0.112378, -0.128977, 0.137952, 0.0753291, 0.0539209, 0.0101145, -0.663263, -0.233381, 0.000493419, 0.0503517, -0.179343, -0.233377, -0.00114813, -0.337648, -0.334605, -0.275466, 0.0438647, -0.188408, 0.0176433, 1.18836, 0.731309, -0.966408, 0.206845, -0.0613222, 0.988085
0.220143, 0.218384, 0.393809, 0.0270804, -0.105385, 0.0256574, -0.106323, 0.169937, -0.145721, -0.275946, 0.0064587, 0.173137, 0.0153046, -0.021904, 0.370705, 0.397522, -0.232709, -0.208116, 0.115596, -0.128822, 0.140927, 0.0795954, 0.0305745, 0.0101324, -0.648002, -0.246112, -0.00514095, 0.0438121, -0.173848, -0.246115, -0.00669234, -0.36892, -0.333225, -0.263215, 0.0457402, -0.190268, 0.0203614, 1.19229, 0.695114, -0.958793, 0.201302, -0.0759962, 0.979441
0.230149, 0.212085, 0.392101, 0.0264611, -0.101711, 0.0298814, -0.104355, 0.169052, -0.148903, -0.264618, 0.00341941, 0.175419, 0.0120392, -0.0200653, 0.369385, 0.39537, -0.235506, -0.20634, 0.11456, -0.12858, 0.143192, 0.0829396, 0.00477986, 0.0101229, -0.631833, -0.255117, -0.00631171, 0.0372934, -0.169203, -0.255126, -0.0077889, -0.397844, -0.331064, -0.248879, 0.0455867, -0.195686, 0.021571, 1.21326, 0.655897, -0.949154, 0.199397, -0.0905853, 0.969568
