Tiempo,Flexo-extensión cuello_X,Flexo-extensión cuello_Y,Flexión lateral cuello_X,Flexión lateral cuello_Y,Rotación cuello_X,Rotación cuello_Y
0.00000,0.00000,0.26933,0.00000,0.34179,0.00000,1.15557
0.01000,0.01000,0.25837,0.01000,0.33846,0.01000,1.15424
0.02000,0.02000,0.24700,0.02000,0.33445,0.02000,1.15249
0.03000,0.03000,0.23587,0.03000,0.32982,0.03000,1.15040
0.04001,0.04000,0.22569,0.04000,0.32468,0.04000,1.14810
0.05001,0.05000,0.21714,0.05000,0.31915,0.05000,1.14577
0.06001,0.06000,0.21086,0.06000,0.31342,0.06000,1.14363
0.07001,0.07000,0.20734,0.07000,0.30767,0.07000,1.14191
0.08001,0.08000,0.20691,0.08000,0.30212,0.08000,1.14085
0.09001,0.09000,0.20965,0.09000,0.29699,0.09000,1.14064
0.10002,0.10000,0.21548,0.10000,0.29248,0.10000,1.14141
0.11002,0.11000,0.22408,0.11000,0.28876,0.11000,1.14323
0.12002,0.12000,0.23499,0.12000,0.28596,0.12000,1.14605
0.13002,0.13000,0.24760,0.13000,0.28411,0.13000,1.14976
0.14002,0.14000,0.26128,0.14000,0.28319,0.14000,1.15416
0.15002,0.15000,0.27537,0.15000,0.28310,0.15000,1.15897
0.16002,0.16000,0.28926,0.16000,0.28366,0.16000,1.16388
0.17003,0.17000,0.30246,0.17000,0.28464,0.17000,1.16857
0.18003,0.18000,0.31459,0.18000,0.28579,0.18000,1.17273
0.19003,0.19000,0.32538,0.19000,0.28686,0.19000,1.17608
0.20003,0.20000,0.33474,0.20000,0.28762,0.20000,1.17845
0.21003,0.21000,0.34265,0.21000,0.28792,0.21000,1.17972
0.22003,0.22000,0.34924,0.22000,0.28767,0.22000,1.17991
0.23003,0.23000,0.35466,0.23000,0.28686,0.23000,1.17911
0.24004,0.24000,0.35917,0.24000,0.28560,0.24000,1.17751
0.25004,0.25000,0.36301,0.25000,0.28403,0.25000,1.17536
0.26004,0.26000,0.36645,0.26000,0.28237,0.26000,1.17290
0.27004,0.27000,0.36977,0.27000,0.28088,0.27000,1.17041
0.28004,0.28000,0.37319,0.28000,0.27980,0.28000,1.16808
0.29004,0.29000,0.37693,0.29000,0.27935,0.29000,1.16608
0.30005,0.30000,0.38113,0.30000,0.27968,0.30000,1.16444
0.31005,0.31000,0.38587,0.31000,0.28090,0.31000,1.16314
0.32005,0.32000,0.39114,0.32000,0.28301,0.32000,1.16203
0.33005,0.33000,0.39685,0.33000,0.28592,0.33000,1.16089
0.34005,0.34000,0.40286,0.34000,0.28949,0.34000,1.15944
0.35005,0.35000,0.40897,0.35000,0.29349,0.35000,1.15737
