Time, Pelvis Rotation, Pelvis Tilt, Pelvis Obliquity, Right Hip Flexion - Extension, Left Hip Flexion - Extension, Right Hip Abduction - Adduction, Left Hip Abduction - Adduction,  Right Hip Rotation,  Left Hip Rotation,  Right Knee Flexion - Extension,  Left Knee Flexion - Extension,  Right Knee Abduction - Adduction,  Left Knee Abduction - Adduction,  Right Knee Rotation,  Left Knee Rotation,  Right Ankle Dorsiflexion - Plantarflexion,  Left Ankle Dorsiflexion - Plantarflexion,  Right Ankle Eversion - Inversion,  Left Ankle Eversion - Inversion,  Right Ankle Abduction - Adduction,  Left Ankle Abduction - Adduction, Neck Flexion - Extension, Neck Lateral Flexion, Neck Rotation, Right Shoulder Flexion - Extension, Left Shoulder Flexion - Extension, Right Shoulder Abduction - Adduction, Left Shoulder Abduction - Adduction, Right Shoulder Rotation, Left Shoulder Rotation, Right Elbow Flexion - Extension, Left Elbow Flexion - Extension, Right Wrist Flexion - Extension, Left Wrist Flexion - Extension, Right Wrist Adduction - Abduction, Left Wrist Adduction - Abduction, Right Wrist Rotation, Left Wrist Rotation, Torso Flexion - Extension, Torso Abduction - Adduction, Torso Rotation, Torso Inclination
0, 0.31242, -0.119203, -0.277225, -0.297424, -0.160803, 0.167542, -0.222733, 0.404678, -0.286621, -0.341022, -0.307554, 0.00904846, 0.009552, -0.151703, -0.114212, 0.0649915, -0.0044613, -0.343857, 0.406787, -0.22397, -0.219244, 0.301787, 0.34684, 1.15442, -0.0205136, 0.115452, -0.209591, 0.184109, -0.0215554, 0.115628, -0.477905, -0.268998, -1.32085, -0.0711991, -1.06029, 0.129222, 0.879125, 0.351752, -0.489437, -0.175172, 0.173498, 0.519344
0.010003, 0.302921, -0.122614, -0.276713, -0.283521, -0.158535, 0.163101, -0.22728, 0.396199, -0.276146, -0.337908, -0.310347, 0.0120544, 0.0167465, -0.15461, -0.124771, 0.064762, -0.00263501, -0.340631, 0.404346, -0.229617, -0.223573, 0.278984, 0.344081, 1.16232, -0.0173004, 0.120456, -0.211179, 0.185506, -0.0183487, 0.120634, -0.473697, -0.26942, -1.31912, -0.0743684, -1.05694, 0.126559, 0.867449, 0.340574, -0.474154, -0.171726, 0.166184, 0.503828
0.020006, 0.293606, -0.125282, -0.275186, -0.271008, -0.156187, 0.159782, -0.230476, 0.383415, -0.264763, -0.334691, -0.313997, 0.0146637, 0.0216904, -0.155418, -0.137924, 0.0664469, -0.00348045, -0.339589, 0.402719, -0.235753, -0.228626, 0.256816, 0.336262, 1.16565, -0.0207316, 0.122588, -0.207495, 0.185109, -0.0217438, 0.122767, -0.464762, -0.26776, -1.31791, -0.0778875, -1.05684, 0.12406, 0.866128, 0.333237, -0.453727, -0.171232, 0.156835, 0.484526
0.030009, 0.282841, -0.125613, -0.272382, -0.261272, -0.155949, 0.162155, -0.233475, 0.367564, -0.254638, -0.331538, -0.318539, 0.0128326, 0.0260544, -0.157341, -0.152145, 0.0673628, -0.0036643, -0.338172, 0.400664, -0.242079, -0.234313, 0.235749, 0.329642, 1.16324, -0.0206128, 0.1252, -0.201847, 0.184799, -0.0215742, 0.125386, -0.456819, -0.265081, -1.32295, -0.0822635, -1.05952, 0.124309, 0.874332, 0.326399, -0.430562, -0.173763, 0.143669, 0.463902
0.040012, 0.270308, -0.127565, -0.269253, -0.250702, -0.153934, 0.167793, -0.237206, 0.34699, -0.243102, -0.328615, -0.323966, 0.0076828, 0.0325165, -0.158188, -0.163239, 0.0678727, -0.00362873, -0.335336, 0.394687, -0.248244, -0.240509, 0.218119, 0.325431, 1.15571, -0.0164496, 0.124427, -0.194323, 0.183263, -0.0173546, 0.12461, -0.454193, -0.260313, -1.32972, -0.0865227, -1.06291, 0.123624, 0.888704, 0.316399, -0.412227, -0.176236, 0.130869, 0.44795
0.050015, 0.259194, -0.1324, -0.266942, -0.240148, -0.149828, 0.171425, -0.240486, 0.324639, -0.233034, -0.326076, -0.330228, 0.00222778, 0.0397568, -0.155518, -0.171196, 0.0681977, -0.0062776, -0.333125, 0.388895, -0.253877, -0.247069, 0.203281, 0.323362, 1.14961, -0.0119374, 0.119806, -0.186092, 0.182475, -0.0127712, 0.119978, -0.454427, -0.253528, -1.33694, -0.0860735, -1.06564, 0.119501, 0.90434, 0.305523, -0.400046, -0.176649, 0.122204, 0.436969
0.060018, 0.250013, -0.13806, -0.266548, -0.230964, -0.146418, 0.170845, -0.240761, 0.307163, -0.232412, -0.324041, -0.337224, -0.00238037, 0.0459747, -0.155525, -0.173813, 0.0673927, -0.00766772, -0.329363, 0.383208, -0.258633, -0.25384, 0.19171, 0.317953, 1.1436, -0.00905507, 0.113257, -0.178922, 0.18416, -0.00982374, 0.113403, -0.453463, -0.244898, -1.34196, -0.0875854, -1.0669, 0.11341, 0.914338, 0.292891, -0.388102, -0.174439, 0.11744, 0.425179
0.070021, 0.243469, -0.14183, -0.266964, -0.224806, -0.145043, 0.168671, -0.240181, 0.295071, -0.24049, -0.322584, -0.344808, -0.00428772, 0.0518646, -0.154915, -0.172585, 0.0643687, -0.012365, -0.32632, 0.376929, -0.262229, -0.260668, 0.185542, 0.31147, 1.13816, -0.00951635, 0.105092, -0.173315, 0.189133, -0.0102181, 0.105214, -0.449172, -0.232769, -1.3471, -0.0900797, -1.07077, 0.103519, 0.933639, 0.284747, -0.374542, -0.172985, 0.114253, 0.412248
0.080024, 0.237361, -0.142501, -0.266372, -0.22147, -0.145571, 0.166656, -0.241753, 0.285601, -0.248224, -0.321728, -0.352789, -0.00455475, 0.0603943, -0.151611, -0.168198, 0.0630617, -0.0185388, -0.326433, 0.36942, -0.264475, -0.267415, 0.183709, 0.304946, 1.13469, -0.0127327, 0.0990969, -0.17232, 0.196861, -0.01338, 0.0992031, -0.441544, -0.223582, -1.35273, -0.0961781, -1.07482, 0.0969512, 0.959117, 0.276108, -0.35813, -0.173382, 0.109936, 0.397593
0.090027, 0.229729, -0.142536, -0.264552, -0.218325, -0.146642, 0.166351, -0.244194, 0.27691, -0.253672, -0.321446, -0.360945, -0.00598145, 0.0665588, -0.14817, -0.160149, 0.0592311, -0.0221653, -0.324834, 0.363882, -0.265296, -0.273955, 0.186862, 0.297806, 1.13333, -0.0160456, 0.096506, -0.17452, 0.203997, -0.0166696, 0.0965945, -0.432308, -0.219426, -1.36192, -0.104711, -1.07895, 0.0918428, 0.986501, 0.269926, -0.339677, -0.176359, 0.101589, 0.382454
