Tiempo,Flexo-extensión cuello_X,Flexo-extensión cuello_Y,Flexión lateral cuello_X,Flexión lateral cuello_Y,Rotación cuello_X,Rotación cuello_Y
0.00000,0.00000,-0.37497,0.00000,0.13767,0.00000,0.01094
0.01000,0.01000,-0.37854,0.01000,0.13504,0.01000,0.01075
0.02000,0.02000,-0.38178,0.02000,0.13215,0.02000,0.01022
0.03000,0.03000,-0.38444,0.03000,0.12917,0.03000,0.00934
0.04001,0.04000,-0.38628,0.04000,0.12626,0.04000,0.00815
0.05001,0.05000,-0.38715,0.05000,0.12361,0.05000,0.00673
0.06001,0.06000,-0.38697,0.06000,0.12140,0.06000,0.00517
0.07001,0.07000,-0.38574,0.07000,0.11979,0.07000,0.00363
0.08001,0.08000,-0.38357,0.08000,0.11887,0.08000,0.00225
0.09001,0.09000,-0.38061,0.09000,0.11869,0.09000,0.00118
0.10001,0.10000,-0.37710,0.10000,0.11922,0.10000,0.00050
0.11002,0.11000,-0.37326,0.11000,0.12040,0.11000,0.00030
0.12002,0.12000,-0.36934,0.12000,0.12209,0.12000,0.00057
0.13002,0.13000,-0.36556,0.13000,0.12412,0.13000,0.00128
0.14002,0.14000,-0.36207,0.14000,0.12630,0.14000,0.00237
0.15002,0.15000,-0.35903,0.15000,0.12844,0.15000,0.00373
0.16002,0.16000,-0.35647,0.16000,0.13032,0.16000,0.00525
0.17002,0.17000,-0.35442,0.17000,0.13176,0.17000,0.00685
0.18003,0.18000,-0.35280,0.18000,0.13261,0.18000,0.00842
0.19003,0.19000,-0.35147,0.19000,0.13274,0.19000,0.00991
0.20003,0.20000,-0.35025,0.20000,0.13210,0.20000,0.01132
0.21003,0.21000,-0.34888,0.21000,0.13065,0.21000,0.01266
0.22003,0.22000,-0.34710,0.22000,0.12843,0.22000,0.01402
0.23003,0.23000,-0.34462,0.23000,0.12550,0.23000,0.01550
0.24003,0.24000,-0.34117,0.24000,0.12198,0.24000,0.01719
0.25004,0.25000,-0.33651,0.25000,0.11798,0.25000,0.01920
0.26004,0.26000,-0.33049,0.26000,0.11365,0.26000,0.02159
0.27004,0.27000,-0.32301,0.27000,0.10914,0.27000,0.02437
0.28004,0.28000,-0.31412,0.28000,0.10459,0.28000,0.02749
0.29004,0.29000,-0.30394,0.29000,0.10015,0.29000,0.03087
0.30004,0.30000,-0.29274,0.30000,0.09593,0.30000,0.03434
0.31004,0.31000,-0.28086,0.31000,0.09206,0.31000,0.03773
0.32005,0.32000,-0.26870,0.32000,0.08864,0.32000,0.04084
0.33005,0.33000,-0.25670,0.33000,0.08575,0.33000,0.04348
0.34005,0.34000,-0.24529,0.34000,0.08346,0.34000,0.04549
0.35005,0.35000,-0.23486,0.35000,0.08180,0.35000,0.04676
0.36005,0.36000,-0.22574,0.36000,0.08079,0.36000,0.04726
0.37005,0.37000,-0.21814,0.37000,0.08042,0.37000,0.04703
0.38005,0.38000,-0.21221,0.38000,0.08064,0.38000,0.04616
0.39006,0.39000,-0.20794,0.39000,0.08140,0.39000,0.04481
