Time, Pelvis Rotation, Pelvis Tilt, Pelvis Obliquity, Right Hip Flexion - Extension, Left Hip Flexion - Extension, Right Hip Abduction - Adduction, Left Hip Abduction - Adduction,  Right Hip Rotation,  Left Hip Rotation,  Right Knee Flexion - Extension,  Left Knee Flexion - Extension,  Right Knee Abduction - Adduction,  Left Knee Abduction - Adduction,  Right Knee Rotation,  Left Knee Rotation,  Right Ankle Dorsiflexion - Plantarflexion,  Left Ankle Dorsiflexion - Plantarflexion,  Right Ankle Eversion - Inversion,  Left Ankle Eversion - Inversion,  Right Ankle Abduction - Adduction,  Left Ankle Abduction - Adduction, Neck Flexion - Extension, Neck Lateral Flexion, Neck Rotation, Right Shoulder Flexion - Extension, Left Shoulder Flexion - Extension, Right Shoulder Abduction - Adduction, Left Shoulder Abduction - Adduction, Right Shoulder Rotation, Left Shoulder Rotation, Right Elbow Flexion - Extension, Left Elbow Flexion - Extension, Right Wrist Flexion - Extension, Left Wrist Flexion - Extension, Right Wrist Adduction - Abduction, Left Wrist Adduction - Abduction, Right Wrist Rotation, Left Wrist Rotation, Torso Flexion - Extension, Torso Abduction - Adduction, Torso Rotation, Torso Inclination
0, 0.290844, -1.06199, -0.107165, 5.58649, 0.515937, 2.72318, -1.5332, 3.06218, -1.10847, 7.00988, -2.13885, -2.35042, 1.45458, -1.63706, 0.862808, -1.92656, -1.29288, -1.81153, -0.209919, -0.0356498, 0.269088, -0.292401, 0.484689, -0.150067, -0.241039, -0.370562, -0.174724, 0.341379, -0.241308, -0.370926, 0.937131, -0.207563, 0.127896, 0.0185501, 1.66029, 0.558512, 1.01016, -1.76218, -0.986449, -0.32284, 0.397526, 1.03584
0.0100015, 0.322811, -1.09626, -0.111805, 5.74608, 0.520073, 2.73585, -1.52391, 2.92135, -1.14059, 7.15367, -2.14208, -2.38578, 1.49386, -1.68245, 0.836693, -2.01799, -1.31843, -1.90196, -0.248193, -0.0997746, 0.270438, -0.318046, 0.485131, -0.152714, -0.324529, -0.382001, -0.1374, 0.336066, -0.324721, -0.382299, 1.15863, -0.182978, -0.0178012, -0.0209175, 1.79308, 0.580941, 1.28237, -1.93238, -1.00598, -0.33524, 0.426057, 1.05804
0.020003, 0.355455, -1.13285, -0.11811, 5.90704, 0.540103, 2.74796, -1.50117, 2.76231, -1.15477, 7.31157, -2.14131, -2.41223, 1.52113, -1.67145, 0.807076, -2.10272, -1.33134, -1.99038, -0.287329, -0.172948, 0.272353, -0.340683, 0.47744, -0.16405, -0.395389, -0.392837, -0.102614, 0.323453, -0.395552, -0.393108, 1.38187, -0.177394, -0.238059, -0.0655391, 1.89319, 0.58918, 1.45648, -2.04644, -1.03036, -0.350758, 0.456219, 1.08582
0.0300044, 0.391981, -1.16317, -0.125837, 6.05006, 0.570736, 2.73203, -1.46712, 2.5996, -1.16512, 7.4767, -2.13548, -2.41349, 1.53555, -1.65997, 0.772011, -2.17166, -1.33924, -2.07422, -0.322418, -0.253599, 0.274573, -0.354844, 0.464757, -0.182606, -0.457015, -0.408838, -0.0843197, 0.30237, -0.457201, -0.40914, 1.59945, -0.185784, -0.450868, -0.125045, 1.99775, 0.594257, 1.34593, -2.08069, -1.05005, -0.370307, 0.488891, 1.1105
0.0400059, 0.43559, -1.17639, -0.136033, 6.14717, 0.600813, 2.70653, -1.42545, 2.46228, -1.1799, 7.64066, -2.12367, -2.40071, 1.54188, -1.69345, 0.738884, -2.20865, -1.34094, -2.16188, -0.353214, -0.339768, 0.276656, -0.357118, 0.449863, -0.213775, -0.507943, -0.431145, -0.0868963, 0.276711, -0.50821, -0.431518, 1.77926, -0.212406, -0.643711, -0.169571, 2.15954, 0.620317, 1.14742, -2.06825, -1.0586, -0.39351, 0.527065, 1.12603
0.0500074, 0.484268, -1.17045, -0.147958, 6.18435, 0.621876, 2.67395, -1.38103, 2.33115, -1.1929, 7.79403, -2.10529, -2.36689, 1.54596, -1.70712, 0.704735, -2.21701, -1.33792, -2.24995, -0.383814, -0.429244, 0.277988, -0.344646, 0.437614, -0.252006, -0.522919, -0.451295, -0.105129, 0.253884, -0.523363, -0.451723, 1.88807, -0.267402, -0.854913, -0.148141, 2.25917, 0.678697, 1.04374, -2.01006, -1.05585, -0.417881, 0.570535, 1.13173
0.0600089, 0.541965, -1.1537, -0.157136, 6.17434, 0.635003, 2.62135, -1.34431, 2.21295, -1.20076, 7.92695, -2.08007, -2.30151, 1.54871, -1.67841, 0.668037, -2.19869, -1.32485, -2.33745, -0.406616, -0.519665, 0.277826, -0.313082, 0.430953, -0.286492, -0.50226, -0.467024, -0.134684, 0.235685, -0.50303, -0.467489, 1.94567, -0.34035, -1.01908, -0.0733536, 2.19537, 0.751299, 0.858521, -1.93476, -1.05025, -0.445561, 0.622548, 1.13647
0.0700104, 0.60333, -1.12973, -0.162553, 6.13589, 0.63962, 2.56091, -1.31701, 2.13377, -1.20267, 8.02967, -2.04806, -2.22835, 1.55692, -1.67976, 0.644272, -2.15325, -1.30454, -2.41217, -0.428535, -0.608552, 0.275391, -0.261723, 0.433013, -0.312394, -0.433135, -0.484699, -0.192742, 0.220615, -0.434579, -0.485187, 1.92871, -0.413924, -1.07018, -0.00737485, 2.03973, 0.808773, 0.653227, -1.91121, -1.04813, -0.476875, 0.676687, 1.14646
0.0800118, 0.659159, -1.09504, -0.162907, 6.07237, 0.633358, 2.52347, -1.29345, 2.08175, -1.20792, 8.09303, -2.0096, -2.17634, 1.55466, -1.73029, 0.641624, -2.0819, -1.27456, -2.46337, -0.443191, -0.693283, 0.269991, -0.197213, 0.447385, -0.324055, -0.352183, -0.503536, -0.280384, 0.214428, -0.354735, -0.504049, 1.8996, -0.469375, -1.077, -0.00527682, 1.82572, 0.835533, 0.614011, -2.01169, -1.04545, -0.512818, 0.723387, 1.15873
0.0900133, 0.705005, -1.04828, -0.158439, 5.97469, 0.61514, 2.48952, -1.27213, 2.03986, -1.22334, 8.10891, -1.96524, -2.11234, 1.54676, -1.78091, 0.644562, -1.98894, -1.2436, -2.50828, -0.453767, -0.771025, 0.261161, -0.128926, 0.473696, -0.318707, -0.271821, -0.512113, -0.387754, 0.22137, -0.27578, -0.512638, 1.88773, -0.507964, -1.04779, -0.0416547, 1.55021, 0.825737, 0.643282, -2.20474, -1.03733, -0.552597, 0.757332, 1.16898
