Time, Pelvis Rotation, Pelvis Tilt, Pelvis Obliquity, Right Hip Flexion - Extension, Left Hip Flexion - Extension, Right Hip Abduction - Adduction, Left Hip Abduction - Adduction,  Right Hip Rotation,  Left Hip Rotation,  Right Knee Flexion - Extension,  Left Knee Flexion - Extension,  Right Knee Abduction - Adduction,  Left Knee Abduction - Adduction,  Right Knee Rotation,  Left Knee Rotation,  Right Ankle Dorsiflexion - Plantarflexion,  Left Ankle Dorsiflexion - Plantarflexion,  Right Ankle Eversion - Inversion,  Left Ankle Eversion - Inversion,  Right Ankle Abduction - Adduction,  Left Ankle Abduction - Adduction, Neck Flexion - Extension, Neck Lateral Flexion, Neck Rotation, Right Shoulder Flexion - Extension, Left Shoulder Flexion - Extension, Right Shoulder Abduction - Adduction, Left Shoulder Abduction - Adduction, Right Shoulder Rotation, Left Shoulder Rotation, Right Elbow Flexion - Extension, Left Elbow Flexion - Extension, Right Wrist Flexion - Extension, Left Wrist Flexion - Extension, Right Wrist Adduction - Abduction, Left Wrist Adduction - Abduction, Right Wrist Rotation, Left Wrist Rotation, Torso Flexion - Extension, Torso Abduction - Adduction, Torso Rotation, Torso Inclination
0, -0.136734, -0.672584, -0.160119, -0.217712, -0.345242, 0.0767136, 0.0794601, -0.146025, -0.513617, -0.311006, -0.457628, 0.145538, -0.251228, 0.287918, 0.840218, 0.439133, 0.471342, -0.384187, 0.168435, 0.50575, -0.0321783, 0.21487, -0.0594308, -0.408847, -0.168646, -0.118467, -0.00161395, 0.0627216, -0.168646, -0.118457, -0.192867, 0.0390084, -0.194259, -0.0272232, -0.0692217, 0.0229888, 0.438586, -0.210821, -0.450853, 0.056606, 0.449752, 0.454847
0.010007, -0.138483, -0.671406, -0.160025, -0.210574, -0.344561, 0.0722122, 0.0841675, -0.151132, -0.510098, -0.303906, -0.45943, 0.14045, -0.249641, 0.299088, 0.851761, 0.435488, 0.470447, -0.374683, 0.163259, 0.505006, -0.029546, 0.217381, -0.0607105, -0.413274, -0.17246, -0.119786, -0.00682623, 0.0583781, -0.17246, -0.119774, -0.197513, 0.0343839, -0.192933, -0.0303963, -0.0695214, 0.0193314, 0.425581, -0.207811, -0.457524, 0.0564799, 0.450809, 0.461452
0.0200139, -0.142448, -0.667563, -0.158044, -0.202164, -0.346519, 0.0699692, 0.0863647, -0.158518, -0.508166, -0.295789, -0.461923, 0.137146, -0.249176, 0.296387, 0.8694, 0.434525, 0.471178, -0.368742, 0.158624, 0.504085, -0.0270429, 0.22011, -0.059851, -0.417427, -0.178247, -0.121345, -0.0117135, 0.0554543, -0.178244, -0.12133, -0.20303, 0.0280876, -0.191737, -0.0319828, -0.0693548, 0.0145538, 0.408808, -0.2043, -0.457931, 0.0553431, 0.438495, 0.461696
0.0300209, -0.142845, -0.66226, -0.155234, -0.194283, -0.350004, 0.0650024, 0.0871429, -0.162251, -0.513016, -0.286898, -0.465132, 0.140663, -0.245316, 0.289421, 0.892265, 0.437514, 0.466129, -0.364668, 0.154027, 0.502944, -0.0248082, 0.223464, -0.0613055, -0.428079, -0.187023, -0.125493, -0.013185, 0.0515184, -0.187018, -0.125476, -0.207197, 0.020627, -0.189093, -0.033088, -0.0684696, 0.0106625, 0.398146, -0.200479, -0.454732, 0.0522471, 0.423546, 0.45812
0.0400278, -0.139177, -0.658064, -0.153285, -0.186702, -0.351905, 0.0568619, 0.0874634, -0.164184, -0.519738, -0.277542, -0.469032, 0.148735, -0.24234, 0.292213, 0.896507, 0.444362, 0.462604, -0.361466, 0.150095, 0.50152, -0.0229479, 0.217936, -0.063721, -0.435119, -0.192727, -0.126452, -0.0133809, 0.0483734, -0.192723, -0.126438, -0.207072, 0.0148636, -0.185571, -0.0364224, -0.0682783, 0.00740605, 0.401112, -0.196359, -0.451199, 0.0484306, 0.40989, 0.454147
0.0500348, -0.137288, -0.652325, -0.149172, -0.183578, -0.356277, 0.0539703, 0.08284, -0.167571, -0.519114, -0.268071, -0.473533, 0.15519, -0.237541, 0.29805, 0.891525, 0.454566, 0.460543, -0.359957, 0.143892, 0.499733, -0.0215162, 0.209605, -0.0661195, -0.4406, -0.196271, -0.125857, -0.0149071, 0.0482338, -0.196265, -0.125842, -0.206237, 0.00989068, -0.179835, -0.0397108, -0.0668637, 0.00568435, 0.405065, -0.1926, -0.445088, 0.0405777, 0.391041, 0.44722
0.0600418, -0.135648, -0.64639, -0.145565, -0.182653, -0.362599, 0.0546265, 0.0775375, -0.1675, -0.515176, -0.258833, -0.478484, 0.158104, -0.229637, 0.30117, 0.882576, 0.463256, 0.455205, -0.358969, 0.136994, 0.497489, -0.0205087, 0.197572, -0.0702136, -0.444068, -0.197805, -0.125657, -0.0134201, 0.0465902, -0.197798, -0.125643, -0.204466, 0.00861885, -0.17192, -0.0420136, -0.0663184, 0.00364924, 0.404091, -0.19017, -0.437358, 0.0314562, 0.371345, 0.438701
0.0700487, -0.135648, -0.64639, -0.145565, -0.182653, -0.362599, 0.0546265, 0.0775375, -0.1675, -0.515176, -0.258833, -0.478484, 0.158104, -0.229637, 0.30117, 0.882576, 0.463256, 0.455205, -0.358969, 0.136994, 0.497489, -0.0205087, 0.197572, -0.0702136, -0.444068, -0.197805, -0.125657, -0.0134201, 0.0465902, -0.197798, -0.125643, -0.204466, 0.00861885, -0.17192, -0.0420136, -0.0663184, 0.00364924, 0.404091, -0.19017, -0.437358, 0.0314562, 0.371345, 0.438701
0.0800557, -0.122469, -0.642756, -0.13919, -0.17943, -0.368637, 0.0524597, 0.0685654, -0.176164, -0.50901, -0.24223, -0.488822, 0.163277, -0.212456, 0.333572, 0.859856, 0.471587, 0.441684, -0.357491, 0.12223, 0.491293, -0.0194958, 0.180117, -0.0820997, -0.447449, -0.199304, -0.129219, -0.00486994, 0.0406862, -0.199301, -0.129216, -0.198673, 0.00859973, -0.165524, -0.0459917, -0.0654154, 0.00563938, 0.380409, -0.189679, -0.429119, 0.0159837, 0.349861, 0.429523
0.0900626, -0.107053, -0.643671, -0.137899, -0.178655, -0.368749, 0.0499954, 0.0661163, -0.170634, -0.513006, -0.235274, -0.493642, 0.163116, -0.203224, 0.338203, 0.849472, 0.470853, 0.435027, -0.354707, 0.114441, 0.48725, -0.0192758, 0.178878, -0.0896788, -0.445738, -0.196517, -0.13414, -0.00405347, 0.0363841, -0.196515, -0.134142, -0.199408, 0.0120712, -0.169872, -0.0460229, -0.0644569, 0.00639681, 0.370782, -0.191524, -0.429244, 0.011461, 0.350814, 0.429475
