Tiempo,Flexo-extensión cuello_X,Flexo-extensión cuello_Y,Flexión lateral cuello_X,Flexión lateral cuello_Y,Rotación cuello_X,Rotación cuello_Y
0.00000,0.00000,-7.64928,0.00000,2.49736,0.00000,-3.81267
0.01001,0.01000,-7.63811,0.01000,2.50784,0.01000,-3.79774
0.02001,0.02000,-7.61740,0.02000,2.51654,0.02000,-3.78851
0.03001,0.03000,-7.58618,0.03000,2.52293,0.03000,-3.78731
0.04002,0.04000,-7.54428,0.04000,2.52685,0.04000,-3.79614
0.05002,0.05000,-7.49250,0.05000,2.52859,0.05000,-3.81636
0.06003,0.06000,-7.43274,0.06000,2.52894,0.06000,-3.84841
0.07003,0.07000,-7.36785,0.07000,2.52913,0.07000,-3.89161
0.08004,0.08000,-7.30152,0.08000,2.53060,0.08000,-3.94406
0.09004,0.09000,-7.23786,0.09000,2.53483,0.09000,-4.00274
0.10005,0.10000,-7.18108,0.10000,2.54305,0.10000,-4.06381
0.11005,0.11000,-7.13497,0.11000,2.55606,0.11000,-4.12295
0.12006,0.12000,-7.10255,0.12000,2.57410,0.12000,-4.17586
0.13006,0.13000,-7.08577,0.13000,2.59685,0.13000,-4.21870
0.14007,0.14000,-7.08526,0.14000,2.62342,0.14000,-4.24850
0.15007,0.15000,-7.10030,0.15000,2.65257,0.15000,-4.26343
0.16008,0.16000,-7.12894,0.16000,2.68282,0.16000,-4.26293
0.17008,0.17000,-7.16817,0.17000,2.71264,0.17000,-4.24768
0.18009,0.18000,-7.21425,0.18000,2.74061,0.18000,-4.21945
0.19009,0.19000,-7.26302,0.19000,2.76549,0.19000,-4.18095
0.20010,0.20000,-7.31022,0.20000,2.78633,0.20000,-4.13547
0.21010,0.21000,-7.35183,0.21000,2.80248,0.21000,-4.08674
0.22011,0.22000,-7.38430,0.22000,2.81364,0.22000,-4.03860
0.23011,0.23000,-7.40475,0.23000,2.81982,0.23000,-3.99484
0.24012,0.24000,-7.41119,0.24000,2.82142,0.24000,-3.95897
0.25012,0.25000,-7.40256,0.25000,2.81920,0.25000,-3.93402
0.26013,0.26000,-7.37889,0.26000,2.81428,0.26000,-3.92241
0.27013,0.27000,-7.34130,0.27000,2.80816,0.27000,-3.92570
0.28014,0.28000,-7.29198,0.28000,2.80255,0.28000,-3.94452
0.29014,0.29000,-7.23410,0.29000,2.79934,0.29000,-3.97841
0.30015,0.30000,-7.17159,0.30000,2.80036,0.30000,-4.02584
0.31015,0.31000,-7.10891,0.31000,2.80717,0.31000,-4.08425
0.32015,0.32000,-7.05069,0.32000,2.82090,0.32000,-4.15021
0.33016,0.33000,-7.00137,0.33000,2.84201,0.33000,-4.21968
0.34016,0.34000,-6.96487,0.34000,2.87029,0.34000,-4.28833
0.35017,0.35000,-6.94421,0.35000,2.90483,0.35000,-4.35189
0.36017,0.36000,-6.94129,0.36000,2.94414,0.36000,-4.40651
0.37018,0.37000,-6.95676,0.37000,2.98634,0.37000,-4.44901
0.38018,0.38000,-6.98991,0.38000,3.02931,0.38000,-4.47715
0.39019,0.39000,-7.03880,0.39000,3.07099,0.39000,-4.48977
0.40019,0.40000,-7.10044,0.40000,3.10947,0.40000,-4.48682
0.41020,0.41000,-7.17100,0.41000,3.14320,0.41000,-4.46932
0.42020,0.42000,-7.24617,0.42000,3.17105,0.42000,-4.43926
0.43021,0.43000,-7.32145,0.43000,3.19235,0.43000,-4.39944
0.44021,0.44000,-7.39249,0.44000,3.20687,0.44000,-4.35322
