Tiempo,Flexo-extensión rodilla derecha_X,Flexo-extensión rodilla derecha_Y,Flexo-extensión rodilla izquierda_X,Flexo-extensión rodilla izquierda_Y,Abducción-aducción rodilla derecha_X,Abducción-aducción rodilla derecha_Y,Abducción-aducción rodilla izquierda_X,Abducción-aducción rodilla izquierda_Y,Rotación rodilla derecha_X,Rotación rodilla derecha_Y,Rotación rodilla izquierda_X,Rotación rodilla izquierda_Y
0.00000,0.00000,-0.21757,0.00000,0.05217,0.00000,-0.14621,0.00000,-0.15518,0.00000,-0.26856,0.00000,0.53590
0.01000,0.01000,-0.21789,0.01000,0.05162,0.01000,-0.14670,0.01000,-0.15498,0.01000,-0.26928,0.01000,0.53567
0.02000,0.02000,-0.21819,0.02000,0.05095,0.02000,-0.14735,0.02000,-0.15480,0.02000,-0.27412,0.02000,0.53529
0.03000,0.03000,-0.21845,0.03000,0.05014,0.03000,-0.14821,0.03000,-0.15464,0.03000,-0.28133,0.03000,0.53471
0.04001,0.04000,-0.21866,0.04000,0.04922,0.04000,-0.14926,0.04000,-0.15452,0.04000,-0.28354,0.04000,0.53392
0.05001,0.05000,-0.21879,0.05000,0.04815,0.05000,-0.15053,0.05000,-0.15441,0.05000,-0.27762,0.05000,0.53287
0.06001,0.06000,-0.21884,0.06000,0.04695,0.06000,-0.15198,0.06000,-0.15431,0.06000,-0.26466,0.06000,0.53155
0.07001,0.07000,-0.21881,0.07000,0.04559,0.07000,-0.15361,0.07000,-0.15414,0.07000,-0.25608,0.07000,0.52993
0.08001,0.08000,-0.21869,0.08000,0.04404,0.08000,-0.15537,0.08000,-0.15386,0.08000,-0.24938,0.08000,0.52804
0.09001,0.09000,-0.21851,0.09000,0.04226,0.09000,-0.15724,0.09000,-0.15337,0.09000,-0.24278,0.09000,0.52591
0.10002,0.10000,-0.21826,0.10000,0.04020,0.10000,-0.15917,0.10000,-0.15259,0.10000,-0.23650,0.10000,0.52363
0.11002,0.11000,-0.21799,0.11000,0.03780,0.11000,-0.16113,0.11000,-0.15143,0.11000,-0.23730,0.11000,0.52133
0.12002,0.12000,-0.21771,0.12000,0.03498,0.12000,-0.16310,0.12000,-0.14984,0.12000,-0.23920,0.12000,0.51917
0.13002,0.13000,-0.21747,0.13000,0.03166,0.13000,-0.16505,0.13000,-0.14776,0.13000,-0.24165,0.13000,0.51732
0.14002,0.14000,-0.21730,0.14000,0.02777,0.14000,-0.16695,0.14000,-0.14518,0.14000,-0.24663,0.14000,0.51591
0.15002,0.15000,-0.21722,0.15000,0.02322,0.15000,-0.16879,0.15000,-0.14209,0.15000,-0.24986,0.15000,0.51504
0.16002,0.16000,-0.21724,0.16000,0.01797,0.16000,-0.17052,0.16000,-0.13850,0.16000,-0.25243,0.16000,0.51477
0.17003,0.17000,-0.21739,0.17000,0.01197,0.17000,-0.17210,0.17000,-0.13445,0.17000,-0.25228,0.17000,0.51511
0.18003,0.18000,-0.21765,0.18000,0.00524,0.18000,-0.17350,0.18000,-0.12997,0.18000,-0.25027,0.18000,0.51601
0.19003,0.19000,-0.21802,0.19000,-0.00217,0.19000,-0.17467,0.19000,-0.12513,0.19000,-0.24300,0.19000,0.51738
0.20003,0.20000,-0.21848,0.20000,-0.01017,0.20000,-0.17559,0.20000,-0.11998,0.20000,-0.23450,0.20000,0.51911
0.21003,0.21000,-0.21904,0.21000,-0.01860,0.21000,-0.17625,0.21000,-0.11462,0.21000,-0.23097,0.21000,0.52107
0.22003,0.22000,-0.21969,0.22000,-0.02726,0.22000,-0.17668,0.22000,-0.10913,0.22000,-0.22738,0.22000,0.52310
0.23003,0.23000,-0.22045,0.23000,-0.03593,0.23000,-0.17694,0.23000,-0.10364,0.23000,-0.22467,0.23000,0.52500
0.24004,0.24000,-0.22131,0.24000,-0.04438,0.24000,-0.17710,0.24000,-0.09826,0.24000,-0.22471,0.24000,0.52655
0.25004,0.25000,-0.22229,0.25000,-0.05239,0.25000,-0.17727,0.25000,-0.09310,0.25000,-0.22699,0.25000,0.52748
0.26004,0.26000,-0.22338,0.26000,-0.05983,0.26000,-0.17754,0.26000,-0.08826,0.26000,-0.22495,0.26000,0.52749
0.27004,0.27000,-0.22457,0.27000,-0.06662,0.27000,-0.17802,0.27000,-0.08381,0.27000,-0.22289,0.27000,0.52624
0.28004,0.28000,-0.22583,0.28000,-0.07280,0.28000,-0.17879,0.28000,-0.07975,0.28000,-0.21917,0.28000,0.52340
0.29004,0.29000,-0.22712,0.29000,-0.07855,0.29000,-0.17993,0.29000,-0.07608,0.29000,-0.21518,0.29000,0.51862
0.30004,0.30000,-0.22838,0.30000,-0.08414,0.30000,-0.18148,0.30000,-0.07273,0.30000,-0.21426,0.30000,0.51157
0.31005,0.31000,-0.22951,0.31000,-0.08999,0.31000,-0.18348,0.31000,-0.06956,0.31000,-0.21733,0.31000,0.50195
0.32005,0.32000,-0.23042,0.32000,-0.09660,0.32000,-0.18593,0.32000,-0.06644,0.32000,-0.22320,0.32000,0.48947
0.33005,0.33000,-0.23101,0.33000,-0.10452,0.33000,-0.18883,0.33000,-0.06319,0.33000,-0.22741,0.33000,0.47393
0.34005,0.34000,-0.23115,0.34000,-0.11434,0.34000,-0.19215,0.34000,-0.05961,0.34000,-0.22842,0.34000,0.45521
0.35005,0.35000,-0.23073,0.35000,-0.12656,0.35000,-0.19583,0.35000,-0.05551,0.35000,-0.23650,0.35000,0.43329
0.36005,0.36000,-0.22964,0.36000,-0.14161,0.36000,-0.19978,0.36000,-0.05074,0.36000,-0.24431,0.36000,0.40833
0.37006,0.37000,-0.22779,0.37000,-0.15969,0.37000,-0.20387,0.37000,-0.04515,0.37000,-0.25187,0.37000,0.38064
0.38006,0.38000,-0.22514,0.38000,-0.18078,0.38000,-0.20794,0.38000,-0.03870,0.38000,-0.25783,0.38000,0.35066
0.39006,0.39000,-0.22170,0.39000,-0.20460,0.39000,-0.21183,0.39000,-0.03139,0.39000,-0.26540,0.39000,0.31896
0.40006,0.40000,-0.21754,0.40000,-0.23054,0.40000,-0.21536,0.40000,-0.02332,0.40000,-0.27070,0.40000,0.28622
0.41006,0.41000,-0.21281,0.41000,-0.25774,0.41000,-0.21836,0.41000,-0.01472,0.41000,-0.27916,0.41000,0.25313
0.42006,0.42000,-0.20771,0.42000,-0.28511,0.42000,-0.22073,0.42000,-0.00589,0.42000,-0.28111,0.42000,0.22039
0.43006,0.43000,-0.20254,0.43000,-0.31142,0.43000,-0.22239,0.43000,0.00277,0.43000,-0.28429,0.43000,0.18867
0.44007,0.44000,-0.19762,0.44000,-0.33545,0.44000,-0.22335,0.44000,0.01081,0.44000,-0.28442,0.44000,0.15859
0.45007,0.45000,-0.19335,0.45000,-0.35605,0.45000,-0.22366,0.45000,0.01780,0.45000,-0.26714,0.45000,0.13071
0.46007,0.46000,-0.19011,0.46000,-0.37231,0.46000,-0.22345,0.46000,0.02335,0.46000,-0.25716,0.46000,0.10551
0.47007,0.47000,-0.18828,0.47000,-0.38364,0.47000,-0.22285,0.47000,0.02721,0.47000,-0.26130,0.47000,0.08341
0.48007,0.48000,-0.18821,0.48000,-0.38982,0.48000,-0.22207,0.48000,0.02932,0.48000,-0.26154,0.48000,0.06472
0.49007,0.49000,-0.19016,0.49000,-0.39107,0.49000,-0.22129,0.49000,0.02977,0.49000,-0.27848,0.49000,0.04963
0.50007,0.50000,-0.19431,0.50000,-0.38793,0.50000,-0.22070,0.50000,0.02888,0.50000,-0.28783,0.50000,0.03819
0.51008,0.51000,-0.20068,0.51000,-0.38129,0.51000,-0.22044,0.51000,0.02712,0.51000,-0.28040,0.51000,0.03027
0.52008,0.52000,-0.20914,0.52000,-0.37220,0.52000,-0.22062,0.52000,0.02507,0.52000,-0.26746,0.52000,0.02558
0.53008,0.53000,-0.21939,0.53000,-0.36178,0.53000,-0.22126,0.53000,0.02335,0.53000,-0.26054,0.53000,0.02370
0.54008,0.54000,-0.23096,0.54000,-0.35108,0.54000,-0.22236,0.54000,0.02253,0.54000,-0.25913,0.54000,0.02409
0.55008,0.55000,-0.24328,0.55000,-0.34097,0.55000,-0.22383,0.55000,0.02309,0.55000,-0.25830,0.55000,0.02618
0.56008,0.56000,-0.25569,0.56000,-0.33204,0.56000,-0.22556,0.56000,0.02535,0.56000,-0.25979,0.56000,0.02942
0.57008,0.57000,-0.26754,0.57000,-0.32462,0.57000,-0.22743,0.57000,0.02946,0.57000,-0.26445,0.57000,0.03329
0.58009,0.58000,-0.27822,0.58000,-0.31872,0.58000,-0.22932,0.58000,0.03538,0.58000,-0.27224,0.58000,0.03734
0.59009,0.59000,-0.28725,0.59000,-0.31419,0.59000,-0.23112,0.59000,0.04292,0.59000,-0.28439,0.59000,0.04126
0.60009,0.60000,-0.29429,0.60000,-0.31071,0.60000,-0.23274,0.60000,0.05177,0.60000,-0.29681,0.60000,0.04479
0.61009,0.61000,-0.29917,0.61000,-0.30794,0.61000,-0.23413,0.61000,0.06156,0.61000,-0.30769,0.61000,0.04774
0.62009,0.62000,-0.30188,0.62000,-0.30560,0.62000,-0.23528,0.62000,0.07185,0.62000,-0.31632,0.62000,0.04997
0.63009,0.63000,-0.30255,0.63000,-0.30352,0.63000,-0.23621,0.63000,0.08225,0.63000,-0.31872,0.63000,0.05134
0.64009,0.64000,-0.30142,0.64000,-0.30168,0.64000,-0.23697,0.64000,0.09238,0.64000,-0.31554,0.64000,0.05170
0.65010,0.65000,-0.29876,0.65000,-0.30020,0.65000,-0.23762,0.65000,0.10191,0.65000,-0.30719,0.65000,0.05087
0.66010,0.66000,-0.29485,0.66000,-0.29932,0.66000,-0.23823,0.66000,0.11060,0.66000,-0.29725,0.66000,0.04863
0.67010,0.67000,-0.28996,0.67000,-0.29935,0.67000,-0.23883,0.67000,0.11823,0.67000,-0.29151,0.67000,0.04476
0.68010,0.68000,-0.28430,0.68000,-0.30059,0.68000,-0.23947,0.68000,0.12469,0.68000,-0.29177,0.68000,0.03903
0.69010,0.69000,-0.27805,0.69000,-0.30326,0.69000,-0.24012,0.69000,0.12994,0.69000,-0.29506,0.69000,0.03130
0.70010,0.70000,-0.27135,0.70000,-0.30748,0.70000,-0.24075,0.70000,0.13402,0.70000,-0.30576,0.70000,0.02149
0.71011,0.71000,-0.26432,0.71000,-0.31318,0.71000,-0.24131,0.71000,0.13704,0.71000,-0.32307,0.71000,0.00972
0.72011,0.72000,-0.25707,0.72000,-0.32012,0.72000,-0.24174,0.72000,0.13917,0.72000,-0.34275,0.72000,-0.00371
0.73011,0.73000,-0.24972,0.73000,-0.32786,0.73000,-0.24198,0.73000,0.14061,0.73000,-0.36144,0.73000,-0.01832
0.74011,0.74000,-0.24240,0.74000,-0.33585,0.74000,-0.24201,0.74000,0.14156,0.74000,-0.38010,0.74000,-0.03346
0.75011,0.75000,-0.23524,0.75000,-0.34345,0.75000,-0.24184,0.75000,0.14219,0.75000,-0.39300,0.75000,-0.04837
0.76011,0.76000,-0.22836,0.76000,-0.34999,0.76000,-0.24150,0.76000,0.14264,0.76000,-0.39610,0.76000,-0.06229
0.77011,0.77000,-0.22184,0.77000,-0.35493,0.77000,-0.24108,0.77000,0.14300,0.77000,-0.39292,0.77000,-0.07449
0.78012,0.78000,-0.21576,0.78000,-0.35786,0.78000,-0.24066,0.78000,0.14334,0.78000,-0.38827,0.78000,-0.08439
0.79012,0.79000,-0.21013,0.79000,-0.35856,0.79000,-0.24032,0.79000,0.14371,0.79000,-0.38089,0.79000,-0.09159
0.80012,0.80000,-0.20491,0.80000,-0.35709,0.80000,-0.24012,0.80000,0.14417,0.80000,-0.37513,0.80000,-0.09592
0.81012,0.81000,-0.20008,0.81000,-0.35369,0.81000,-0.24009,0.81000,0.14483,0.81000,-0.36605,0.81000,-0.09741
0.82012,0.82000,-0.19558,0.82000,-0.34883,0.82000,-0.24025,0.82000,0.14580,0.82000,-0.35182,0.82000,-0.09629
0.83012,0.83000,-0.19135,0.83000,-0.34307,0.83000,-0.24058,0.83000,0.14720,0.83000,-0.34419,0.83000,-0.09297
0.84012,0.84000,-0.18737,0.84000,-0.33704,0.84000,-0.24103,0.84000,0.14913,0.84000,-0.34234,0.84000,-0.08793
0.85013,0.85000,-0.18362,0.85000,-0.33135,0.85000,-0.24158,0.85000,0.15166,0.85000,-0.34597,0.85000,-0.08170
0.86013,0.86000,-0.18010,0.86000,-0.32648,0.86000,-0.24218,0.86000,0.15476,0.86000,-0.35410,0.86000,-0.07480
0.87013,0.87000,-0.17682,0.87000,-0.32278,0.87000,-0.24278,0.87000,0.15836,0.87000,-0.35763,0.87000,-0.06768
0.88013,0.88000,-0.17377,0.88000,-0.32043,0.88000,-0.24336,0.88000,0.16227,0.88000,-0.35223,0.88000,-0.06069
0.89013,0.89000,-0.17094,0.89000,-0.31945,0.89000,-0.24389,0.89000,0.16626,0.89000,-0.34657,0.89000,-0.05409
0.90013,0.90000,-0.16829,0.90000,-0.31967,0.90000,-0.24436,0.90000,0.17006,0.90000,-0.34391,0.90000,-0.04799
0.91013,0.91000,-0.16577,0.91000,-0.32086,0.91000,-0.24472,0.91000,0.17338,0.91000,-0.34146,0.91000,-0.04244
0.92014,0.92000,-0.16330,0.92000,-0.32270,0.92000,-0.24497,0.92000,0.17601,0.92000,-0.34023,0.92000,-0.03737
0.93014,0.93000,-0.16080,0.93000,-0.32487,0.93000,-0.24505,0.93000,0.17775,0.93000,-0.34029,0.93000,-0.03264
0.94014,0.94000,-0.15820,0.94000,-0.32708,0.94000,-0.24493,0.94000,0.17853,0.94000,-0.33875,0.94000,-0.02807
0.95014,0.95000,-0.15543,0.95000,-0.32909,0.95000,-0.24457,0.95000,0.17833,0.95000,-0.33506,0.95000,-0.02344
0.96014,0.96000,-0.15244,0.96000,-0.33073,0.96000,-0.24392,0.96000,0.17723,0.96000,-0.32704,0.96000,-0.01856
0.97014,0.97000,-0.14920,0.97000,-0.33189,0.97000,-0.24293,0.97000,0.17538,0.97000,-0.31018,0.97000,-0.01325
0.98015,0.98000,-0.14573,0.98000,-0.33254,0.98000,-0.24156,0.98000,0.17296,0.98000,-0.29620,0.98000,-0.00740
0.99015,0.99000,-0.14203,0.99000,-0.33265,0.99000,-0.23977,0.99000,0.17015,0.99000,-0.28433,0.99000,-0.00098
1.00015,1.00000,-0.13817,1.00000,-0.33223,1.00000,-0.23755,1.00000,0.16714,1.00000,-0.27769,1.00000,0.00597
1.01015,1.01000,-0.13421,1.01000,-0.33131,1.01000,-0.23488,1.01000,0.16408,1.01000,-0.27284,1.01000,0.01334
1.02015,1.02000,-0.13021,1.02000,-0.32986,1.02000,-0.23175,1.02000,0.16107,1.02000,-0.27798,1.02000,0.02096
1.03015,1.03000,-0.12624,1.03000,-0.32788,1.03000,-0.22820,1.03000,0.15815,1.03000,-0.28413,1.03000,0.02863
1.04015,1.04000,-0.12234,1.04000,-0.32530,1.04000,-0.22422,1.04000,0.15534,1.04000,-0.29494,1.04000,0.03610
1.05016,1.05000,-0.11854,1.05000,-0.32209,1.05000,-0.21986,1.05000,0.15257,1.05000,-0.30160,1.05000,0.04315
1.06016,1.06000,-0.11484,1.06000,-0.31818,1.06000,-0.21516,1.06000,0.14977,1.06000,-0.30579,1.06000,0.04953
1.07016,1.07000,-0.11117,1.07000,-0.31352,1.07000,-0.21016,1.07000,0.14683,1.07000,-0.29711,1.07000,0.05503
1.08016,1.08000,-0.10745,1.08000,-0.30806,1.08000,-0.20490,1.08000,0.14366,1.08000,-0.28508,1.08000,0.05948
1.09016,1.09000,-0.10353,1.09000,-0.30178,1.09000,-0.19943,1.09000,0.14012,1.09000,-0.27863,1.09000,0.06274
1.10016,1.10000,-0.09925,1.10000,-0.29468,1.10000,-0.19377,1.10000,0.13613,1.10000,-0.26995,1.10000,0.06474
1.11016,1.11000,-0.09441,1.11000,-0.28673,1.11000,-0.18796,1.11000,0.13162,1.11000,-0.26437,1.11000,0.06546
1.12017,1.12000,-0.08883,1.12000,-0.27792,1.12000,-0.18198,1.12000,0.12653,1.12000,-0.25528,1.12000,0.06496
1.13017,1.13000,-0.08232,1.13000,-0.26823,1.13000,-0.17583,1.13000,0.12084,1.13000,-0.24759,1.13000,0.06337
1.14017,1.14000,-0.07474,1.14000,-0.25763,1.14000,-0.16950,1.14000,0.11458,1.14000,-0.24197,1.14000,0.06092
1.15017,1.15000,-0.06602,1.15000,-0.24606,1.15000,-0.16297,1.15000,0.10777,1.15000,-0.22778,1.15000,0.05788
1.16017,1.16000,-0.05613,1.16000,-0.23350,1.16000,-0.15622,1.16000,0.10048,1.16000,-0.20718,1.16000,0.05460
1.17017,1.17000,-0.04515,1.17000,-0.21993,1.17000,-0.14926,1.17000,0.09277,1.17000,-0.19563,1.17000,0.05142
1.18017,1.18000,-0.03323,1.18000,-0.20537,1.18000,-0.14210,1.18000,0.08471,1.18000,-0.19115,1.18000,0.04870
1.19018,1.19000,-0.02061,1.19000,-0.18990,1.19000,-0.13478,1.19000,0.07636,1.19000,-0.17516,1.19000,0.04675
1.20018,1.20000,-0.00759,1.20000,-0.17365,1.20000,-0.12735,1.20000,0.06778,1.20000,-0.15929,1.20000,0.04577
1.21018,1.21000,0.00552,1.21000,-0.15681,1.21000,-0.11989,1.21000,0.05901,1.21000,-0.15168,1.21000,0.04589
1.22018,1.22000,0.01834,1.22000,-0.13963,1.22000,-0.11248,1.22000,0.05012,1.22000,-0.14009,1.22000,0.04712
1.23018,1.23000,0.03056,1.23000,-0.12235,1.23000,-0.10520,1.23000,0.04113,1.23000,-0.12129,1.23000,0.04939
1.24018,1.24000,0.04188,1.24000,-0.10526,1.24000,-0.09814,1.24000,0.03209,1.24000,-0.11790,1.24000,0.05258
1.25018,1.25000,0.05206,1.25000,-0.08859,1.25000,-0.09139,1.25000,0.02304,1.25000,-0.11217,1.25000,0.05652
1.26019,1.26000,0.06091,1.26000,-0.07258,1.26000,-0.08502,1.26000,0.01403,1.26000,-0.09574,1.26000,0.06105
1.27019,1.27000,0.06834,1.27000,-0.05738,1.27000,-0.07908,1.27000,0.00511,1.27000,-0.08395,1.27000,0.06599
1.28019,1.28000,0.07431,1.28000,-0.04312,1.28000,-0.07363,1.28000,-0.00367,1.28000,-0.07963,1.28000,0.07120
