Time, Pelvis Rotation, Pelvis Tilt, Pelvis Obliquity, Right Hip Flexion - Extension, Left Hip Flexion - Extension, Right Hip Abduction - Adduction, Left Hip Abduction - Adduction,  Right Hip Rotation,  Left Hip Rotation,  Right Knee Flexion - Extension,  Left Knee Flexion - Extension,  Right Knee Abduction - Adduction,  Left Knee Abduction - Adduction,  Right Knee Rotation,  Left Knee Rotation,  Right Ankle Dorsiflexion - Plantarflexion,  Left Ankle Dorsiflexion - Plantarflexion,  Right Ankle Eversion - Inversion,  Left Ankle Eversion - Inversion,  Right Ankle Abduction - Adduction,  Left Ankle Abduction - Adduction, Neck Flexion - Extension, Neck Lateral Flexion, Neck Rotation, Right Shoulder Flexion - Extension, Left Shoulder Flexion - Extension, Right Shoulder Abduction - Adduction, Left Shoulder Abduction - Adduction, Right Shoulder Rotation, Left Shoulder Rotation, Right Elbow Flexion - Extension, Left Elbow Flexion - Extension, Right Wrist Flexion - Extension, Left Wrist Flexion - Extension, Right Wrist Adduction - Abduction, Left Wrist Adduction - Abduction, Right Wrist Rotation, Left Wrist Rotation, Torso Flexion - Extension, Torso Abduction - Adduction, Torso Rotation, Torso Inclination
0, -0.385056, 0.602378, -0.0923263, 0.0426839, 0.0420214, 0.163971, 0.00727081, 0.0190008, -0.115378, -0.21757, 0.0521728, -0.145966, -0.156189, -0.268555, 0.5355, -0.931393, -0.335862, -0.128597, 0.0956762, 0.169445, 0.0155644, 0.237085, 0.0105929, -0.0571006, -0.089772, -0.146297, -0.108829, 0.214703, -0.0901148, -0.146893, -0.111364, -0.111262, 0.0900111, 0.0932817, -0.103814, -0.0915077, -0.0976927, -0.307405, -0.0844088, -0.0440655, 0.104362, 0.0951459
0.0100015, -0.382049, 0.602715, -0.0959318, 0.0401617, 0.041828, 0.164413, 0.00837708, 0.0206699, -0.11642, -0.21789, 0.0516207, -0.148331, -0.157127, -0.269279, 0.537086, -0.931272, -0.334772, -0.130171, 0.0971709, 0.166251, 0.0141831, 0.228989, 0.00444879, -0.0595837, -0.0915384, -0.142059, -0.102319, 0.210541, -0.0918673, -0.14264, -0.112677, -0.122049, 0.0844634, 0.0943766, -0.0910607, -0.0929124, -0.110483, -0.313784, -0.0813126, -0.0422736, 0.103242, 0.0915778
0.020003, -0.377804, 0.601843, -0.0996319, 0.0406047, 0.0425495, 0.161957, 0.00767517, 0.0259535, -0.117535, -0.21819, 0.0509457, -0.148651, -0.155975, -0.274117, 0.536957, -0.930407, -0.333869, -0.132014, 0.0991535, 0.162928, 0.0121924, 0.227131, -0.00035846, -0.0611425, -0.0951576, -0.141639, -0.0937167, 0.207647, -0.0954653, -0.142226, -0.114756, -0.132116, 0.0831959, 0.0968721, -0.0842821, -0.0941851, -0.119512, -0.322997, -0.0814673, -0.0422209, 0.10269, 0.0916905
0.0300044, -0.374849, 0.601968, -0.101763, 0.0398021, 0.0414261, 0.159172, 0.00602722, 0.0291555, -0.115413, -0.218451, 0.0501445, -0.146408, -0.156181, -0.281326, 0.53376, -0.927539, -0.331647, -0.134282, 0.101631, 0.159605, 0.00955185, 0.228961, -0.00316092, -0.0627891, -0.100179, -0.144292, -0.0861364, 0.20816, -0.100469, -0.144909, -0.116168, -0.137344, 0.0834421, 0.100822, -0.0855701, -0.0965501, -0.117418, -0.327933, -0.0806307, -0.0437297, 0.100828, 0.0916576
0.0400059, -0.372365, 0.604153, -0.10278, 0.0366525, 0.0381638, 0.160355, 0.00233459, 0.0265537, -0.111257, -0.218655, 0.0492148, -0.146133, -0.152107, -0.283539, 0.526955, -0.926408, -0.330137, -0.137006, 0.10214, 0.156394, 0.00626243, 0.233135, -0.00351465, -0.0649583, -0.10406, -0.14823, -0.0843023, 0.211505, -0.104348, -0.148892, -0.118605, -0.137555, 0.0850896, 0.107942, -0.0943143, -0.100915, -0.107089, -0.321833, -0.0784808, -0.0467006, 0.0984324, 0.0912549
0.0500074, -0.370551, 0.6063, -0.103576, 0.0320765, 0.0345088, 0.163254, -0.000274658, 0.0187557, -0.111973, -0.218789, 0.0481528, -0.147766, -0.148529, -0.277618, 0.525612, -0.925149, -0.330034, -0.139554, 0.100867, 0.153374, 0.00237336, 0.23913, -0.00468101, -0.0678737, -0.108013, -0.153643, -0.0877477, 0.213655, -0.108309, -0.154343, -0.12564, -0.137981, 0.0891801, 0.114697, -0.105045, -0.102011, -0.10425, -0.314585, -0.0801019, -0.051504, 0.0946587, 0.0951609
0.0600089, -0.370904, 0.607539, -0.104842, 0.0283713, 0.0322274, 0.166145, -1.52588e-05, 0.0078993, -0.113912, -0.218841, 0.0469494, -0.15023, -0.14846, -0.264656, 0.528946, -0.923944, -0.32831, -0.141794, 0.102035, 0.150576, -0.00201492, 0.245951, -0.00708631, -0.0724905, -0.111635, -0.158182, -0.0947431, 0.21542, -0.111949, -0.158907, -0.13413, -0.13864, 0.0954301, 0.121287, -0.116135, -0.102062, -0.0996367, -0.307698, -0.0842158, -0.0562452, 0.0865083, 0.1012
0.0700103, -0.371677, 0.607462, -0.107755, 0.0271308, 0.0319377, 0.167656, 0.00241089, -0.00104124, -0.116905, -0.218808, 0.0455873, -0.15274, -0.150291, -0.256081, 0.533516, -0.921153, -0.32604, -0.143707, 0.105098, 0.147981, -0.00675303, 0.250239, -0.00863015, -0.0757545, -0.112938, -0.160106, -0.102271, 0.21842, -0.113269, -0.160838, -0.144352, -0.138999, 0.0999785, 0.126066, -0.12341, -0.102212, -0.0874484, -0.307486, -0.0893709, -0.0603032, 0.0783255, 0.107743
0.0800118, -0.373575, 0.607265, -0.112036, 0.026591, 0.0323699, 0.168175, 0.0065918, -0.00930758, -0.122415, -0.218693, 0.0440379, -0.156479, -0.152138, -0.249382, 0.539764, -0.919539, -0.323075, -0.145054, 0.105961, 0.145532, -0.0116506, 0.255145, -0.00936872, -0.079868, -0.11436, -0.162517, -0.107469, 0.220527, -0.114698, -0.163226, -0.155157, -0.140661, 0.10008, 0.126393, -0.123621, -0.0999613, -0.0762928, -0.309248, -0.0957544, -0.0622375, 0.0724526, 0.114137
0.0900133, -0.377402, 0.60786, -0.11624, 0.0252102, 0.0311047, 0.168373, 0.0106354, -0.0178359, -0.12679, -0.218506, 0.0422604, -0.160103, -0.154091, -0.242783, 0.544464, -0.918824, -0.321745, -0.145974, 0.106377, 0.143144, -0.0164906, 0.258962, -0.00933589, -0.0822596, -0.117103, -0.164469, -0.10914, 0.222904, -0.117436, -0.165144, -0.161233, -0.143818, 0.10037, 0.125519, -0.11729, -0.0977211, -0.0704472, -0.312484, -0.102443, -0.0640295, 0.0653682, 0.120746
