Tiempo,Flexo-extensión cadera derecha_X,Flexo-extensión cadera derecha_Y,Flexo-extensión cadera izquierda_X,Flexo-extensión cadera izquierda_Y,Abducción-aducción cadera derecha_X,Abducción-aducción cadera derecha_Y,Abducción-aducción cadera izquierda_X,Abducción-aducción cadera izquierda_Y,Rotación cadera derecha_X,Rotación cadera derecha_Y,Rotación cadera izquierda_X,Rotación cadera izquierda_Y
0.00000,0.00000,-2.29646,0.00000,-1.51108,0.00000,0.89796,0.00000,-0.28576,0.00000,0.43659,0.00000,0.49372
0.01001,0.01000,-2.29641,0.01000,-1.54002,0.01000,0.88076,0.01000,-0.28742,0.01000,0.35719,0.01000,0.45737
0.02001,0.02000,-2.29637,0.02000,-1.57210,0.02000,0.86013,0.02000,-0.28884,0.02000,0.26742,0.02000,0.41977
0.03002,0.03000,-2.29581,0.03000,-1.60598,0.03000,0.83637,0.03000,-0.29000,0.03000,0.16970,0.03000,0.38297
0.04002,0.04000,-2.29398,0.04000,-1.63997,0.04000,0.80997,0.04000,-0.29094,0.04000,0.06696,0.04000,0.34914
0.05003,0.05000,-2.28986,0.05000,-1.67217,0.05000,0.78160,0.05000,-0.29177,0.05000,-0.03763,0.05000,0.32033
0.06004,0.06000,-2.28227,0.06000,-1.70061,0.06000,0.75203,0.06000,-0.29263,0.06000,-0.14090,0.06000,0.29827
0.07004,0.07000,-2.26997,0.07000,-1.72346,0.07000,0.72210,0.07000,-0.29369,0.07000,-0.23995,0.07000,0.28416
0.08005,0.08000,-2.25179,0.08000,-1.73914,0.08000,0.69260,0.08000,-0.29511,0.08000,-0.33231,0.08000,0.27860
0.09005,0.09000,-2.22684,0.09000,-1.74649,0.09000,0.66425,0.09000,-0.29703,0.09000,-0.41605,0.09000,0.28156
0.10006,0.10000,-2.19459,0.10000,-1.74492,0.10000,0.63760,0.10000,-0.29951,0.10000,-0.48982,0.10000,0.29242
0.11007,0.11000,-2.15497,0.11000,-1.73447,0.11000,0.61301,0.11000,-0.30255,0.11000,-0.55292,0.11000,0.31009
0.12007,0.12000,-2.10842,0.12000,-1.71581,0.12000,0.59064,0.12000,-0.30610,0.12000,-0.60521,0.12000,0.33317
0.13008,0.13000,-2.05589,0.13000,-1.69025,0.13000,0.57043,0.13000,-0.31002,0.13000,-0.64709,0.13000,0.36005
0.14008,0.14000,-1.99871,0.14000,-1.65957,0.14000,0.55213,0.14000,-0.31410,0.14000,-0.67943,0.14000,0.38906
0.15009,0.15000,-1.93850,0.15000,-1.62591,0.15000,0.53532,0.15000,-0.31811,0.15000,-0.70341,0.15000,0.41861
0.16010,0.16000,-1.87703,0.16000,-1.59157,0.16000,0.51949,0.16000,-0.32174,0.16000,-0.72046,0.16000,0.44720
0.17010,0.17000,-1.81603,0.17000,-1.55878,0.17000,0.50401,0.17000,-0.32473,0.17000,-0.73211,0.17000,0.47357
0.18011,0.18000,-1.75705,0.18000,-1.52955,0.18000,0.48829,0.18000,-0.32679,0.18000,-0.73985,0.18000,0.49669
0.19011,0.19000,-1.70136,0.19000,-1.50546,0.19000,0.47177,0.19000,-0.32769,0.19000,-0.74510,0.19000,0.51585
0.20012,0.20000,-1.64982,0.20000,-1.48759,0.20000,0.45399,0.20000,-0.32724,0.20000,-0.74907,0.20000,0.53067
0.21013,0.21000,-1.60289,0.21000,-1.47649,0.21000,0.43470,0.21000,-0.32534,0.21000,-0.75275,0.21000,0.54108
0.22013,0.22000,-1.56058,0.22000,-1.47212,0.22000,0.41379,0.22000,-0.32192,0.22000,-0.75688,0.22000,0.54734
0.23014,0.23000,-1.52258,0.23000,-1.47396,0.23000,0.39138,0.23000,-0.31701,0.23000,-0.76193,0.23000,0.54998
0.24014,0.24000,-1.48826,0.24000,-1.48110,0.24000,0.36775,0.24000,-0.31067,0.24000,-0.76812,0.24000,0.54974
0.25015,0.25000,-1.45688,0.25000,-1.49235,0.25000,0.34332,0.25000,-0.30303,0.25000,-0.77546,0.25000,0.54743
0.26016,0.26000,-1.42757,0.26000,-1.50640,0.26000,0.31857,0.26000,-0.29426,0.26000,-0.78377,0.26000,0.54385
0.27016,0.27000,-1.39956,0.27000,-1.52194,0.27000,0.29400,0.27000,-0.28451,0.27000,-0.79277,0.27000,0.53969
0.28017,0.28000,-1.37214,0.28000,-1.53776,0.28000,0.27004,0.28000,-0.27397,0.28000,-0.80210,0.28000,0.53544
0.29017,0.29000,-1.34475,0.29000,-1.55286,0.29000,0.24702,0.29000,-0.26279,0.29000,-0.81139,0.29000,0.53131
0.30018,0.30000,-1.31697,0.30000,-1.56642,0.30000,0.22511,0.30000,-0.25110,0.30000,-0.82032,0.30000,0.52725
