Tiempo,Flexo-extensión rodilla derecha_X,Flexo-extensión rodilla derecha_Y,Flexo-extensión rodilla izquierda_X,Flexo-extensión rodilla izquierda_Y,Abducción-aducción rodilla derecha_X,Abducción-aducción rodilla derecha_Y,Abducción-aducción rodilla izquierda_X,Abducción-aducción rodilla izquierda_Y,Rotación rodilla derecha_X,Rotación rodilla derecha_Y,Rotación rodilla izquierda_X,Rotación rodilla izquierda_Y
0.00000,0.00000,-1.26977,0.00000,0.42467,0.00000,-0.03459,0.00000,-1.06422,0.00000,-0.38757,0.00000,-1.59545
0.01001,0.01000,-1.20236,0.01000,0.44852,0.01000,0.00575,0.01000,-1.07322,0.01000,-0.43262,0.01000,-1.48461
0.02001,0.02000,-1.12647,0.02000,0.47601,0.02000,0.04988,0.02000,-1.08353,0.02000,-0.46344,0.02000,-1.36158
0.03002,0.03000,-1.04369,0.03000,0.50684,0.03000,0.09637,0.03000,-1.09490,0.03000,-0.46308,0.03000,-1.23034
0.04002,0.04000,-0.95577,0.04000,0.54068,0.04000,0.14375,0.04000,-1.10705,0.04000,-0.42384,0.04000,-1.09554
0.05003,0.05000,-0.86441,0.05000,0.57723,0.05000,0.19060,0.05000,-1.11968,0.05000,-0.33798,0.05000,-0.96194
0.06004,0.06000,-0.77100,0.06000,0.61626,0.06000,0.23579,0.06000,-1.13252,0.06000,-0.24259,0.06000,-0.83399
0.07004,0.07000,-0.67658,0.07000,0.65765,0.07000,0.27852,0.07000,-1.14535,0.07000,-0.18359,0.07000,-0.71541
0.08005,0.08000,-0.58178,0.08000,0.70131,0.08000,0.31837,0.08000,-1.15798,0.08000,-0.15725,0.08000,-0.60884
0.09005,0.09000,-0.48688,0.09000,0.74718,0.09000,0.35527,0.09000,-1.17031,0.09000,-0.13850,0.09000,-0.51581
0.10006,0.10000,-0.39191,0.10000,0.79507,0.10000,0.38940,0.10000,-1.18221,0.10000,-0.11321,0.10000,-0.43664
0.11007,0.11000,-0.29683,0.11000,0.84461,0.11000,0.42112,0.11000,-1.19356,0.11000,-0.09010,0.11000,-0.37069
0.12007,0.12000,-0.20165,0.12000,0.89515,0.12000,0.45079,0.12000,-1.20417,0.12000,-0.09093,0.12000,-0.31649
0.13008,0.13000,-0.10656,0.13000,0.94569,0.13000,0.47869,0.13000,-1.21378,0.13000,-0.12325,0.13000,-0.27203
0.14008,0.14000,-0.01205,0.14000,0.99485,0.14000,0.50499,0.14000,-1.22200,0.14000,-0.17148,0.14000,-0.23501
0.15009,0.15000,0.08104,0.15000,1.04094,0.15000,0.52965,0.15000,-1.22832,0.15000,-0.21788,0.15000,-0.20304
0.16010,0.16000,0.17158,0.16000,1.08202,0.16000,0.55249,0.16000,-1.23212,0.16000,-0.25719,0.16000,-0.17385
0.17010,0.17000,0.25818,0.17000,1.11605,0.17000,0.57321,0.17000,-1.23273,0.17000,-0.27934,0.17000,-0.14537
0.18011,0.18000,0.33932,0.18000,1.14105,0.18000,0.59149,0.18000,-1.22942,0.18000,-0.27903,0.18000,-0.11589
0.19011,0.19000,0.41348,0.19000,1.15525,0.19000,0.60708,0.19000,-1.22154,0.19000,-0.25451,0.19000,-0.08409
0.20012,0.20000,0.47932,0.20000,1.15726,0.20000,0.61981,0.20000,-1.20854,0.20000,-0.21825,0.20000,-0.04910
0.21013,0.21000,0.53578,0.21000,1.14616,0.21000,0.62966,0.21000,-1.19006,0.21000,-0.18798,0.21000,-0.01050
0.22013,0.22000,0.58215,0.22000,1.12163,0.22000,0.63680,0.22000,-1.16598,0.22000,-0.17819,0.22000,0.03170
