Tiempo,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Eversión-inversión tobillo derecho_X,Eversión-inversión tobillo derecho_Y,Eversión-inversión tobillo izquierdo_X,Eversión-inversión tobillo izquierdo_Y,Rotación tobillo derecho_X,Rotación tobillo derecho_Y,Rotación tobillo izquierdo_X,Rotación tobillo izquierdo_Y
0.00000,0.00000,1.81726,0.00000,-6.34728,0.00000,-15.37402,0.00000,3.13987,0.00000,4.43505,0.00000,-10.76796
0.01000,0.01000,1.91380,0.01000,-6.33670,0.01000,-15.35522,0.01000,3.11897,0.01000,4.45964,0.01000,-10.76636
0.02000,0.02000,2.01957,0.02000,-6.32238,0.02000,-15.33236,0.02000,3.09514,0.02000,4.48037,0.02000,-10.76715
0.03000,0.03000,2.13114,0.03000,-6.30411,0.03000,-15.30582,0.03000,3.06892,0.03000,4.49565,0.03000,-10.77125
0.04001,0.04000,2.24474,0.04000,-6.28185,0.04000,-15.27627,0.04000,3.04096,0.04000,4.50452,0.04000,-10.77953
0.05001,0.05000,2.35671,0.05000,-6.25580,0.05000,-15.24454,0.05000,3.01194,0.05000,4.50680,0.05000,-10.79283
0.06001,0.06000,2.46384,0.06000,-6.22637,0.06000,-15.21157,0.06000,2.98255,0.06000,4.50321,0.06000,-10.81187
0.07001,0.07000,2.56366,0.07000,-6.19418,0.07000,-15.17829,0.07000,2.95341,0.07000,4.49522,0.07000,-10.83717
0.08001,0.08000,2.65460,0.08000,-6.16004,0.08000,-15.14555,0.08000,2.92498,0.08000,4.48485,0.08000,-10.86903
0.09001,0.09000,2.73597,0.09000,-6.12488,0.09000,-15.11398,0.09000,2.89755,0.09000,4.47442,0.09000,-10.90746
0.10001,0.10000,2.80780,0.10000,-6.08976,0.10000,-15.08388,0.10000,2.87123,0.10000,4.46629,0.10000,-10.95219
0.11001,0.11000,2.87066,0.11000,-6.05576,0.11000,-15.05504,0.11000,2.84590,0.11000,4.46270,0.11000,-11.00265
0.12002,0.12000,2.92534,0.12000,-6.02400,0.12000,-15.02654,0.12000,2.82126,0.12000,4.46555,0.12000,-11.05803
0.13002,0.13000,2.97277,0.13000,-5.99555,0.13000,-14.99655,0.13000,2.79682,0.13000,4.47619,0.13000,-11.11738
0.14002,0.14000,3.01387,0.14000,-5.97141,0.14000,-14.96212,0.14000,2.77197,0.14000,4.49513,0.14000,-11.17965
0.15002,0.15000,3.04955,0.15000,-5.95248,0.15000,-14.91906,0.15000,2.74597,0.15000,4.52162,0.15000,-11.24388
0.16002,0.16000,3.08063,0.16000,-5.93951,0.16000,-14.86212,0.16000,2.71804,0.16000,4.55323,0.16000,-11.30928
0.17002,0.17000,3.10772,0.17000,-5.93312,0.17000,-14.78552,0.17000,2.68738,0.17000,4.58538,0.17000,-11.37534
0.18002,0.18000,3.13104,0.18000,-5.93373,0.18000,-14.68387,0.18000,2.65319,0.18000,4.61118,0.18000,-11.44184
0.19002,0.19000,3.15045,0.19000,-5.94158,0.19000,-14.55317,0.19000,2.61474,0.19000,4.62169,0.19000,-11.50891
0.20003,0.20000,3.16554,0.20000,-5.95670,0.20000,-14.39158,0.20000,2.57141,0.20000,4.60684,0.20000,-11.57695
0.21003,0.21000,3.17570,0.21000,-5.97896,0.21000,-14.19981,0.21000,2.52272,0.21000,4.55702,0.21000,-11.64660
0.22003,0.22000,3.18020,0.22000,-6.00806,0.22000,-13.98091,0.22000,2.46836,0.22000,4.46499,0.22000,-11.71863
0.23003,0.23000,3.17834,0.23000,-6.04357,0.23000,-13.73986,0.23000,2.40821,0.23000,4.32764,0.23000,-11.79388
0.24003,0.24000,3.16958,0.24000,-6.08501,0.24000,-13.48290,0.24000,2.34235,0.24000,4.14724,0.24000,-11.87315
0.25003,0.25000,3.15365,0.25000,-6.13189,0.25000,-13.21683,0.25000,2.27105,0.25000,3.93172,0.25000,-11.95716
0.26003,0.26000,3.13072,0.26000,-6.18375,0.26000,-12.94831,0.26000,2.19472,0.26000,3.69407,0.26000,-12.04642
0.27003,0.27000,3.10135,0.27000,-6.24018,0.27000,-12.68317,0.27000,2.11392,0.27000,3.45067,0.27000,-12.14123
0.28004,0.28000,3.06660,0.28000,-6.30091,0.28000,-12.42595,0.28000,2.02923,0.28000,3.21905,0.28000,-12.24154
0.29004,0.29000,3.02795,0.29000,-6.36576,0.29000,-12.17960,0.29000,1.94129,0.29000,3.01547,0.29000,-12.34701
0.30004,0.30000,2.98724,0.30000,-6.43467,0.30000,-11.94539,0.30000,1.85068,0.30000,2.85282,0.30000,-12.45693
0.31004,0.31000,2.94659,0.31000,-6.50769,0.31000,-11.72296,0.31000,1.75796,0.31000,2.73914,0.31000,-12.57031
0.32004,0.32000,2.90830,0.32000,-6.58491,0.32000,-11.51042,0.32000,1.66355,0.32000,2.67696,0.32000,-12.68598
0.33004,0.33000,2.87470,0.33000,-6.66645,0.33000,-11.30463,0.33000,1.56777,0.33000,2.66344,0.33000,-12.80264
0.34004,0.34000,2.84803,0.34000,-6.75238,0.34000,-11.10154,0.34000,1.47079,0.34000,2.69103,0.34000,-12.91905
0.35004,0.35000,2.83023,0.35000,-6.84270,0.35000,-10.89665,0.35000,1.37265,0.35000,2.74851,0.35000,-13.03415
0.36005,0.36000,2.82273,0.36000,-6.93727,0.36000,-10.68545,0.36000,1.27320,0.36000,2.82236,0.36000,-13.14715
