Tiempo,Flexo-extensión cuello_X,Flexo-extensión cuello_Y,Flexión lateral cuello_X,Flexión lateral cuello_Y,Rotación cuello_X,Rotación cuello_Y
0.00000,0.00000,-0.02889,0.00000,-0.04819,0.00000,-0.39760
0.01000,0.01000,-0.03086,0.01000,-0.04983,0.01000,-0.38621
0.02000,0.02000,-0.03367,0.02000,-0.05125,0.02000,-0.37278
0.03000,0.03000,-0.03739,0.03000,-0.05230,0.03000,-0.35761
0.04001,0.04000,-0.04207,0.04000,-0.05282,0.04000,-0.34117
0.05001,0.05000,-0.04771,0.05000,-0.05266,0.05000,-0.32404
0.06001,0.06000,-0.05422,0.06000,-0.05175,0.06000,-0.30688
0.07001,0.07000,-0.06149,0.07000,-0.05005,0.07000,-0.29040
0.08001,0.08000,-0.06931,0.08000,-0.04759,0.08000,-0.27524
0.09001,0.09000,-0.07746,0.09000,-0.04446,0.09000,-0.26195
0.10001,0.10000,-0.08567,0.10000,-0.04080,0.10000,-0.25091
0.11002,0.11000,-0.09364,0.11000,-0.03679,0.11000,-0.24228
0.12002,0.12000,-0.10111,0.12000,-0.03263,0.12000,-0.23602
0.13002,0.13000,-0.10786,0.13000,-0.02852,0.13000,-0.23191
0.14002,0.14000,-0.11373,0.14000,-0.02463,0.14000,-0.22954
0.15002,0.15000,-0.11863,0.15000,-0.02112,0.15000,-0.22844
0.16002,0.16000,-0.12259,0.16000,-0.01809,0.16000,-0.22810
0.17002,0.17000,-0.12569,0.17000,-0.01562,0.17000,-0.22805
0.18003,0.18000,-0.12813,0.18000,-0.01374,0.18000,-0.22793
0.19003,0.19000,-0.13015,0.19000,-0.01243,0.19000,-0.22748
0.20003,0.20000,-0.13205,0.20000,-0.01167,0.20000,-0.22659
0.21003,0.21000,-0.13415,0.21000,-0.01141,0.21000,-0.22527
0.22003,0.22000,-0.13672,0.22000,-0.01159,0.22000,-0.22365
0.23003,0.23000,-0.14001,0.23000,-0.01217,0.23000,-0.22191
0.24003,0.24000,-0.14417,0.24000,-0.01308,0.24000,-0.22028
0.25004,0.25000,-0.14925,0.25000,-0.01428,0.25000,-0.21898
0.26004,0.26000,-0.15516,0.26000,-0.01571,0.26000,-0.21817
0.27004,0.27000,-0.16168,0.27000,-0.01732,0.27000,-0.21796
0.28004,0.28000,-0.16847,0.28000,-0.01904,0.28000,-0.21837
0.29004,0.29000,-0.17509,0.29000,-0.02079,0.29000,-0.21935
0.30004,0.30000,-0.18109,0.30000,-0.02248,0.30000,-0.22079
0.31004,0.31000,-0.18600,0.31000,-0.02404,0.31000,-0.22252
0.32005,0.32000,-0.18944,0.32000,-0.02538,0.32000,-0.22437
0.33005,0.33000,-0.19116,0.33000,-0.02645,0.33000,-0.22615
0.34005,0.34000,-0.19104,0.34000,-0.02723,0.34000,-0.22772
0.35005,0.35000,-0.18915,0.35000,-0.02773,0.35000,-0.22893
0.36005,0.36000,-0.18570,0.36000,-0.02798,0.36000,-0.22969
0.37005,0.37000,-0.18104,0.37000,-0.02807,0.37000,-0.22995
0.38005,0.38000,-0.17560,0.38000,-0.02808,0.38000,-0.22972
0.39006,0.39000,-0.16985,0.39000,-0.02811,0.39000,-0.22905
0.40006,0.40000,-0.16426,0.40000,-0.02824,0.40000,-0.22802
0.41006,0.41000,-0.15924,0.41000,-0.02853,0.41000,-0.22675
0.42006,0.42000,-0.15513,0.42000,-0.02902,0.42000,-0.22535
0.43006,0.43000,-0.15218,0.43000,-0.02968,0.43000,-0.22393
0.44006,0.44000,-0.15051,0.44000,-0.03050,0.44000,-0.22255
0.45006,0.45000,-0.15018,0.45000,-0.03142,0.45000,-0.22122
0.46007,0.46000,-0.15113,0.46000,-0.03237,0.46000,-0.21990
0.47007,0.47000,-0.15324,0.47000,-0.03328,0.47000,-0.21852
0.48007,0.48000,-0.15635,0.48000,-0.03410,0.48000,-0.21694
0.49007,0.49000,-0.16026,0.49000,-0.03479,0.49000,-0.21502
0.50007,0.50000,-0.16477,0.50000,-0.03535,0.50000,-0.21261
0.51007,0.51000,-0.16967,0.51000,-0.03578,0.51000,-0.20957
0.52008,0.52000,-0.17476,0.52000,-0.03608,0.52000,-0.20579
0.53008,0.53000,-0.17986,0.53000,-0.03629,0.53000,-0.20119
0.54008,0.54000,-0.18478,0.54000,-0.03639,0.54000,-0.19576
0.55008,0.55000,-0.18935,0.55000,-0.03640,0.55000,-0.18950
0.56008,0.56000,-0.19341,0.56000,-0.03628,0.56000,-0.18246
0.57008,0.57000,-0.19680,0.57000,-0.03599,0.57000,-0.17472
0.58008,0.58000,-0.19936,0.58000,-0.03548,0.58000,-0.16637
0.59009,0.59000,-0.20100,0.59000,-0.03471,0.59000,-0.15753
0.60009,0.60000,-0.20165,0.60000,-0.03367,0.60000,-0.14831
0.61009,0.61000,-0.20128,0.61000,-0.03237,0.61000,-0.13887
0.62009,0.62000,-0.19995,0.62000,-0.03089,0.62000,-0.12936
0.63009,0.63000,-0.19777,0.63000,-0.02934,0.63000,-0.11997
0.64009,0.64000,-0.19487,0.64000,-0.02784,0.64000,-0.11091
0.65009,0.65000,-0.19142,0.65000,-0.02657,0.65000,-0.10243
0.66010,0.66000,-0.18761,0.66000,-0.02566,0.66000,-0.09479
0.67010,0.67000,-0.18358,0.67000,-0.02526,0.67000,-0.08822
0.68010,0.68000,-0.17948,0.68000,-0.02546,0.68000,-0.08297
0.69010,0.69000,-0.17540,0.69000,-0.02633,0.69000,-0.07918
0.70010,0.70000,-0.17141,0.70000,-0.02788,0.70000,-0.07694
0.71010,0.71000,-0.16756,0.71000,-0.03008,0.71000,-0.07620
0.72010,0.72000,-0.16387,0.72000,-0.03283,0.72000,-0.07682
0.73011,0.73000,-0.16039,0.73000,-0.03603,0.73000,-0.07854
0.74011,0.74000,-0.15714,0.74000,-0.03951,0.74000,-0.08102
0.75011,0.75000,-0.15420,0.75000,-0.04312,0.75000,-0.08385
0.76011,0.76000,-0.15163,0.76000,-0.04670,0.76000,-0.08662
0.77011,0.77000,-0.14950,0.77000,-0.05009,0.77000,-0.08895
0.78011,0.78000,-0.14789,0.78000,-0.05317,0.78000,-0.09051
0.79011,0.79000,-0.14687,0.79000,-0.05584,0.79000,-0.09107
0.80012,0.80000,-0.14647,0.80000,-0.05803,0.80000,-0.09048
0.81012,0.81000,-0.14672,0.81000,-0.05973,0.81000,-0.08872
0.82012,0.82000,-0.14759,0.82000,-0.06097,0.82000,-0.08586
