Time, Pelvis Rotation, Pelvis Tilt, Pelvis Obliquity, Right Hip Flexion - Extension, Left Hip Flexion - Extension, Right Hip Abduction - Adduction, Left Hip Abduction - Adduction,  Right Hip Rotation,  Left Hip Rotation,  Right Knee Flexion - Extension,  Left Knee Flexion - Extension,  Right Knee Abduction - Adduction,  Left Knee Abduction - Adduction,  Right Knee Rotation,  Left Knee Rotation,  Right Ankle Dorsiflexion - Plantarflexion,  Left Ankle Dorsiflexion - Plantarflexion,  Right Ankle Eversion - Inversion,  Left Ankle Eversion - Inversion,  Right Ankle Abduction - Adduction,  Left Ankle Abduction - Adduction, Neck Flexion - Extension, Neck Lateral Flexion, Neck Rotation, Right Shoulder Flexion - Extension, Left Shoulder Flexion - Extension, Right Shoulder Abduction - Adduction, Left Shoulder Abduction - Adduction, Right Shoulder Rotation, Left Shoulder Rotation, Right Elbow Flexion - Extension, Left Elbow Flexion - Extension, Right Wrist Flexion - Extension, Left Wrist Flexion - Extension, Right Wrist Adduction - Abduction, Left Wrist Adduction - Abduction, Right Wrist Rotation, Left Wrist Rotation, Torso Flexion - Extension, Torso Abduction - Adduction, Torso Rotation, Torso Inclination
0, 0.0855533, -0.305651, -0.0292106, 0.0788773, 0.126158, 0.04953, -0.00701141, 0.0493943, -0.0772394, -0.165093, -0.107684, -0.0163498, -0.00816345, 0.0590439, -0.145309, 0.0921698, 0.0816121, -0.0197222, 0.0205275, 0.270552, -0.226254, -0.0294822, -0.0409918, -0.416347, -0.152563, 0.0791366, 0.0943199, 0.0769959, -0.152545, 0.0789981, -0.000584065, -0.0729961, 0.500274, 0.199256, -0.67261, -0.315283, 0.473145, 0.272702, -0.0903602, 0.0616326, 0.519666, 0.109842
0.0100014, 0.0819628, -0.302795, -0.0273969, 0.0776434, 0.121424, 0.0501022, -0.0110016, 0.0450433, -0.0817543, -0.164653, -0.108924, -0.0163498, -0.00559998, 0.0615463, -0.134636, 0.0942322, 0.0801309, -0.0185159, 0.0216935, 0.269914, -0.226978, -0.0302223, -0.0431564, -0.400464, -0.15275, 0.0790902, 0.0945129, 0.07752, -0.152717, 0.0789382, 0.00178631, -0.0765682, 0.502096, 0.198738, -0.674362, -0.317614, 0.463141, 0.258556, -0.0855413, 0.0605237, 0.514016, 0.105233
0.0200029, 0.0792239, -0.301212, -0.0252029, 0.0764542, 0.116575, 0.0541458, -0.0159073, 0.0390863, -0.0862619, -0.164471, -0.110151, -0.0191269, -0.00166321, 0.0643387, -0.127419, 0.0974554, 0.0777011, -0.0170704, 0.0210498, 0.269467, -0.227549, -0.0333983, -0.0485732, -0.389044, -0.150287, 0.078234, 0.0952504, 0.0759416, -0.15024, 0.0780805, 0.00385737, -0.0777078, 0.500142, 0.199284, -0.680878, -0.32121, 0.462535, 0.245227, -0.0831889, 0.0591943, 0.510995, 0.102531
0.0300043, 0.0780075, -0.300786, -0.0242714, 0.0747197, 0.113706, 0.0565033, -0.0156555, 0.0326392, -0.0943098, -0.164614, -0.111291, -0.0199356, -0.00328064, 0.0683517, -0.117035, 0.100933, 0.077099, -0.0164714, 0.0223741, 0.269299, -0.227872, -0.03524, -0.0546065, -0.377955, -0.147941, 0.0755521, 0.0952612, 0.0737539, -0.147882, 0.0754039, 0.00584931, -0.0787867, 0.4958, 0.20132, -0.688561, -0.324903, 0.465281, 0.235148, -0.0835178, 0.059864, 0.510992, 0.103193
0.0400057, 0.0755788, -0.300549, -0.0237573, 0.0727319, 0.112173, 0.0571365, -0.0135574, 0.0241706, -0.0969374, -0.165123, -0.112269, -0.0209961, -0.00418854, 0.0743179, -0.109001, 0.102903, 0.0747061, -0.0152459, 0.0217502, 0.269491, -0.227855, -0.037175, -0.059383, -0.361139, -0.14387, 0.07306, 0.0932491, 0.071352, -0.143802, 0.0729151, 0.00615462, -0.0820066, 0.494772, 0.201029, -0.695232, -0.327027, 0.468485, 0.224679, -0.0816417, 0.0606516, 0.508707, 0.102139
0.0500072, 0.072459, -0.301839, -0.0236862, 0.0701683, 0.113429, 0.0562973, -0.0106812, 0.0140517, -0.0941614, -0.166006, -0.113026, -0.0199051, -0.00746918, 0.0810852, -0.10891, 0.107338, 0.0739184, -0.0169148, 0.0221247, 0.270096, -0.227428, -0.0411667, -0.0603175, -0.335742, -0.139943, 0.069337, 0.0922613, 0.0677213, -0.139861, 0.0691998, 0.00586218, -0.0849324, 0.496124, 0.198952, -0.70031, -0.328578, 0.470748, 0.216324, -0.0843495, 0.0628104, 0.513304, 0.10562
0.0600086, 0.0707546, -0.304589, -0.0249729, 0.0698474, 0.115351, 0.0538254, -0.00668335, 0.0152612, -0.0911376, -0.167232, -0.113522, -0.0182877, -0.00959778, 0.0845566, -0.110825, 0.109384, 0.0730177, -0.0179199, 0.0220382, 0.271134, -0.226551, -0.0465317, -0.0599765, -0.308528, -0.136137, 0.0657021, 0.0912234, 0.0627554, -0.136043, 0.0655777, 0.00214226, -0.0884649, 0.498683, 0.196408, -0.702514, -0.330865, 0.470446, 0.213544, -0.0864298, 0.0656072, 0.521687, 0.108989
0.07001, 0.0685795, -0.307084, -0.0265022, 0.0684264, 0.117977, 0.0543137, -0.00289154, 0.0187073, -0.0856183, -0.168733, -0.113749, -0.0213089, -0.00960541, 0.0908585, -0.114441, 0.10763, 0.0695603, -0.0192869, 0.0201276, 0.272582, -0.225233, -0.053068, -0.0583502, -0.279754, -0.13307, 0.0635764, 0.0900523, 0.0597247, -0.132968, 0.063457, 0.00140489, -0.0935598, 0.499635, 0.195767, -0.706099, -0.330418, 0.462831, 0.212068, -0.0850775, 0.068222, 0.528607, 0.109545
0.0800115, 0.0653406, -0.309027, -0.0274329, 0.0663904, 0.120415, 0.0545883, -0.00115967, 0.0224487, -0.0797481, -0.170408, -0.113723, -0.0244522, -0.00814056, 0.0955658, -0.114342, 0.10573, 0.067617, -0.0187974, 0.0180615, 0.274373, -0.223538, -0.0631688, -0.0536688, -0.249038, -0.129802, 0.0634274, 0.0889738, 0.0563322, -0.129694, 0.0633129, 0.000825953, -0.0998635, 0.503042, 0.194434, -0.70693, -0.329875, 0.448844, 0.209785, -0.0805671, 0.0690582, 0.530752, 0.106601
0.0900129, 0.0633301, -0.310273, -0.028322, 0.0651796, 0.12242, 0.0529327, -0.00128174, 0.0269787, -0.0782482, -0.172139, -0.113494, -0.0245209, -0.00730133, 0.0992889, -0.108856, 0.102618, 0.0692862, -0.0182083, 0.0188276, 0.276406, -0.22158, -0.0736403, -0.048421, -0.232881, -0.126289, 0.0629346, 0.0890139, 0.0539276, -0.126177, 0.0628244, 0.00050924, -0.104032, 0.506851, 0.194412, -0.70647, -0.330607, 0.431973, 0.21006, -0.0765076, 0.0698213, 0.532109, 0.104059
