Tiempo,Flexo-extensión cadera derecha_X,Flexo-extensión cadera derecha_Y,Flexo-extensión cadera izquierda_X,Flexo-extensión cadera izquierda_Y,Abducción-aducción cadera derecha_X,Abducción-aducción cadera derecha_Y,Abducción-aducción cadera izquierda_X,Abducción-aducción cadera izquierda_Y,Rotación cadera derecha_X,Rotación cadera derecha_Y,Rotación cadera izquierda_X,Rotación cadera izquierda_Y
0.00000,0.00000,0.96801,0.00000,-0.19450,0.00000,0.54534,0.00000,0.88035,0.00000,1.40219,0.00000,-0.09691
0.01001,0.01000,0.96242,0.01000,-0.18999,0.01000,0.54442,0.01000,0.87202,0.01000,1.39459,0.01000,-0.10236
0.02001,0.02000,0.95623,0.02000,-0.18397,0.02000,0.54340,0.02000,0.86293,0.02000,1.38605,0.02000,-0.10897
0.03002,0.03000,0.94960,0.03000,-0.17631,0.03000,0.54227,0.03000,0.85345,0.03000,1.37672,0.03000,-0.11671
0.04002,0.04000,0.94272,0.04000,-0.16690,0.04000,0.54097,0.04000,0.84396,0.04000,1.36679,0.04000,-0.12552
0.05003,0.05000,0.93578,0.05000,-0.15571,0.05000,0.53941,0.05000,0.83490,0.05000,1.35639,0.05000,-0.13532
0.06004,0.06000,0.92896,0.06000,-0.14273,0.06000,0.53750,0.06000,0.82667,0.06000,1.34566,0.06000,-0.14601
0.07004,0.07000,0.92240,0.07000,-0.12802,0.07000,0.53511,0.07000,0.81960,0.07000,1.33472,0.07000,-0.15747
0.08005,0.08000,0.91623,0.08000,-0.11169,0.08000,0.53211,0.08000,0.81398,0.08000,1.32365,0.08000,-0.16962
0.09005,0.09000,0.91056,0.09000,-0.09389,0.09000,0.52840,0.09000,0.80998,0.09000,1.31256,0.09000,-0.18233
0.10006,0.10000,0.90545,0.10000,-0.07486,0.10000,0.52387,0.10000,0.80768,0.10000,1.30153,0.10000,-0.19553
0.11007,0.11000,0.90097,0.11000,-0.05485,0.11000,0.51848,0.11000,0.80704,0.11000,1.29067,0.11000,-0.20911
0.12007,0.12000,0.89712,0.12000,-0.03424,0.12000,0.51223,0.12000,0.80796,0.12000,1.28014,0.12000,-0.22301
0.13008,0.13000,0.89389,0.13000,-0.01343,0.13000,0.50514,0.13000,0.81025,0.13000,1.27006,0.13000,-0.23713
