Tiempo,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Eversión-inversión tobillo derecho_X,Eversión-inversión tobillo derecho_Y,Eversión-inversión tobillo izquierdo_X,Eversión-inversión tobillo izquierdo_Y,Rotación tobillo derecho_X,Rotación tobillo derecho_Y,Rotación tobillo izquierdo_X,Rotación tobillo izquierdo_Y
0.00000,0.00000,-0.06993,0.00000,0.07453,0.00000,-0.04910,0.00000,0.10966,0.00000,0.06462,0.00000,-0.44850
0.01000,0.01000,-0.06963,0.01000,0.07756,0.01000,-0.04942,0.01000,0.11291,0.01000,0.06391,0.01000,-0.43890
0.02000,0.02000,-0.06927,0.02000,0.08114,0.02000,-0.04971,0.02000,0.11695,0.02000,0.06249,0.02000,-0.42698
0.03000,0.03000,-0.06884,0.03000,0.08521,0.03000,-0.04994,0.03000,0.12178,0.03000,0.06028,0.03000,-0.41270
0.04001,0.04000,-0.06834,0.04000,0.08968,0.04000,-0.05011,0.04000,0.12743,0.04000,0.05730,0.04000,-0.39611
0.05001,0.05000,-0.06778,0.05000,0.09443,0.05000,-0.05023,0.05000,0.13385,0.05000,0.05360,0.05000,-0.37731
0.06001,0.06000,-0.06715,0.06000,0.09934,0.06000,-0.05029,0.06000,0.14102,0.06000,0.04932,0.06000,-0.35650
0.07001,0.07000,-0.06648,0.07000,0.10426,0.07000,-0.05032,0.07000,0.14887,0.07000,0.04464,0.07000,-0.33390
0.08001,0.08000,-0.06578,0.08000,0.10905,0.08000,-0.05035,0.08000,0.15731,0.08000,0.03974,0.08000,-0.30979
0.09001,0.09000,-0.06509,0.09000,0.11358,0.09000,-0.05041,0.09000,0.16623,0.09000,0.03484,0.09000,-0.28449
0.10001,0.10000,-0.06445,0.10000,0.11775,0.10000,-0.05055,0.10000,0.17552,0.10000,0.03012,0.10000,-0.25834
0.11002,0.11000,-0.06392,0.11000,0.12148,0.11000,-0.05079,0.11000,0.18505,0.11000,0.02574,0.11000,-0.23168
0.12002,0.12000,-0.06357,0.12000,0.12474,0.12000,-0.05117,0.12000,0.19468,0.12000,0.02186,0.12000,-0.20489
0.13002,0.13000,-0.06347,0.13000,0.12755,0.13000,-0.05171,0.13000,0.20430,0.13000,0.01860,0.13000,-0.17831
0.14002,0.14000,-0.06370,0.14000,0.12995,0.14000,-0.05241,0.14000,0.21379,0.14000,0.01608,0.14000,-0.15226
0.15002,0.15000,-0.06430,0.15000,0.13202,0.15000,-0.05329,0.15000,0.22306,0.15000,0.01439,0.15000,-0.12700
0.16002,0.16000,-0.06532,0.16000,0.13384,0.16000,-0.05432,0.16000,0.23202,0.16000,0.01360,0.16000,-0.10269
0.17002,0.17000,-0.06678,0.17000,0.13550,0.17000,-0.05547,0.17000,0.24058,0.17000,0.01376,0.17000,-0.07941
0.18002,0.18000,-0.06865,0.18000,0.13707,0.18000,-0.05671,0.18000,0.24868,0.18000,0.01485,0.18000,-0.05714
0.19003,0.19000,-0.07089,0.19000,0.13861,0.19000,-0.05801,0.19000,0.25627,0.19000,0.01684,0.19000,-0.03576
0.20003,0.20000,-0.07341,0.20000,0.14014,0.20000,-0.05931,0.20000,0.26331,0.20000,0.01964,0.20000,-0.01511
0.21003,0.21000,-0.07611,0.21000,0.14164,0.21000,-0.06059,0.21000,0.26978,0.21000,0.02315,0.21000,0.00494
0.22003,0.22000,-0.07884,0.22000,0.14308,0.22000,-0.06181,0.22000,0.27566,0.22000,0.02723,0.22000,0.02446
0.23003,0.23000,-0.08148,0.23000,0.14441,0.23000,-0.06296,0.23000,0.28092,0.23000,0.03176,0.23000,0.04344
0.24003,0.24000,-0.08388,0.24000,0.14559,0.24000,-0.06400,0.24000,0.28554,0.24000,0.03660,0.24000,0.06172
0.25003,0.25000,-0.08590,0.25000,0.14654,0.25000,-0.06494,0.25000,0.28948,0.25000,0.04166,0.25000,0.07905
0.26004,0.26000,-0.08745,0.26000,0.14724,0.26000,-0.06577,0.26000,0.29270,0.26000,0.04687,0.26000,0.09510
0.27004,0.27000,-0.08842,0.27000,0.14765,0.27000,-0.06648,0.27000,0.29517,0.27000,0.05219,0.27000,0.10950
0.28004,0.28000,-0.08877,0.28000,0.14778,0.28000,-0.06708,0.28000,0.29685,0.28000,0.05761,0.28000,0.12187
0.29004,0.29000,-0.08848,0.29000,0.14764,0.29000,-0.06757,0.29000,0.29772,0.29000,0.06312,0.29000,0.13189
0.30004,0.30000,-0.08755,0.30000,0.14724,0.30000,-0.06796,0.30000,0.29780,0.30000,0.06875,0.30000,0.13931
0.31004,0.31000,-0.08604,0.31000,0.14665,0.31000,-0.06826,0.31000,0.29713,0.31000,0.07452,0.31000,0.14401
0.32004,0.32000,-0.08403,0.32000,0.14591,0.32000,-0.06847,0.32000,0.29579,0.32000,0.08046,0.32000,0.14600
0.33005,0.33000,-0.08160,0.33000,0.14509,0.33000,-0.06861,0.33000,0.29388,0.33000,0.08656,0.33000,0.14543
0.34005,0.34000,-0.07890,0.34000,0.14423,0.34000,-0.06868,0.34000,0.29152,0.34000,0.09284,0.34000,0.14258
0.35005,0.35000,-0.07604,0.35000,0.14339,0.35000,-0.06870,0.35000,0.28884,0.35000,0.09926,0.35000,0.13782
0.36005,0.36000,-0.07318,0.36000,0.14261,0.36000,-0.06866,0.36000,0.28600,0.36000,0.10576,0.36000,0.13164
0.37005,0.37000,-0.07045,0.37000,0.14194,0.37000,-0.06859,0.37000,0.28313,0.37000,0.11225,0.37000,0.12453
0.38005,0.38000,-0.06796,0.38000,0.14139,0.38000,-0.06850,0.38000,0.28039,0.38000,0.11861,0.38000,0.11701
0.39005,0.39000,-0.06583,0.39000,0.14098,0.39000,-0.06840,0.39000,0.27787,0.39000,0.12468,0.39000,0.10957
0.40005,0.40000,-0.06414,0.40000,0.14071,0.40000,-0.06829,0.40000,0.27570,0.40000,0.13029,0.40000,0.10265
0.41006,0.41000,-0.06294,0.41000,0.14058,0.41000,-0.06819,0.41000,0.27393,0.41000,0.13528,0.41000,0.09662
0.42006,0.42000,-0.06226,0.42000,0.14057,0.42000,-0.06810,0.42000,0.27264,0.42000,0.13951,0.42000,0.09176
0.43006,0.43000,-0.06208,0.43000,0.14068,0.43000,-0.06804,0.43000,0.27184,0.43000,0.14295,0.43000,0.08828
0.44006,0.44000,-0.06236,0.44000,0.14086,0.44000,-0.06801,0.44000,0.27154,0.44000,0.14559,0.44000,0.08628
0.45006,0.45000,-0.06302,0.45000,0.14109,0.45000,-0.06803,0.45000,0.27171,0.45000,0.14753,0.45000,0.08576
0.46006,0.46000,-0.06399,0.46000,0.14132,0.46000,-0.06810,0.46000,0.27229,0.46000,0.14894,0.46000,0.08663
0.47006,0.47000,-0.06514,0.47000,0.14153,0.47000,-0.06823,0.47000,0.27323,0.47000,0.15002,0.47000,0.08873
0.48007,0.48000,-0.06636,0.48000,0.14167,0.48000,-0.06842,0.48000,0.27443,0.48000,0.15098,0.48000,0.09185
0.49007,0.49000,-0.06755,0.49000,0.14174,0.49000,-0.06870,0.49000,0.27582,0.49000,0.15202,0.49000,0.09575
0.50007,0.50000,-0.06860,0.50000,0.14172,0.50000,-0.06905,0.50000,0.27732,0.50000,0.15333,0.50000,0.10021
0.51007,0.51000,-0.06946,0.51000,0.14161,0.51000,-0.06949,0.51000,0.27883,0.51000,0.15500,0.51000,0.10503
0.52007,0.52000,-0.07008,0.52000,0.14143,0.52000,-0.07001,0.52000,0.28030,0.52000,0.15712,0.52000,0.11005
0.53007,0.53000,-0.07044,0.53000,0.14120,0.53000,-0.07059,0.53000,0.28166,0.53000,0.15969,0.53000,0.11513
0.54007,0.54000,-0.07055,0.54000,0.14093,0.54000,-0.07122,0.54000,0.28286,0.54000,0.16269,0.54000,0.12020
0.55008,0.55000,-0.07046,0.55000,0.14065,0.55000,-0.07187,0.55000,0.28389,0.55000,0.16606,0.55000,0.12518
0.56008,0.56000,-0.07024,0.56000,0.14040,0.56000,-0.07250,0.56000,0.28471,0.56000,0.16971,0.56000,0.13004
0.57008,0.57000,-0.06996,0.57000,0.14020,0.57000,-0.07308,0.57000,0.28535,0.57000,0.17355,0.57000,0.13474
0.58008,0.58000,-0.06972,0.58000,0.14006,0.58000,-0.07358,0.58000,0.28582,0.58000,0.17750,0.58000,0.13925
0.59008,0.59000,-0.06959,0.59000,0.13998,0.59000,-0.07396,0.59000,0.28613,0.59000,0.18147,0.59000,0.14353
0.60008,0.60000,-0.06967,0.60000,0.13995,0.60000,-0.07423,0.60000,0.28632,0.60000,0.18542,0.60000,0.14753
0.61008,0.61000,-0.07001,0.61000,0.13996,0.61000,-0.07437,0.61000,0.28642,0.61000,0.18936,0.61000,0.15120
0.62008,0.62000,-0.07066,0.62000,0.13998,0.62000,-0.07441,0.62000,0.28645,0.62000,0.19329,0.62000,0.15450
0.63009,0.63000,-0.07166,0.63000,0.13996,0.63000,-0.07435,0.63000,0.28642,0.63000,0.19728,0.63000,0.15739
0.64009,0.64000,-0.07301,0.64000,0.13989,0.64000,-0.07422,0.64000,0.28637,0.64000,0.20137,0.64000,0.15987
0.65009,0.65000,-0.07470,0.65000,0.13970,0.65000,-0.07406,0.65000,0.28632,0.65000,0.20562,0.65000,0.16198
0.66009,0.66000,-0.07672,0.66000,0.13937,0.66000,-0.07389,0.66000,0.28629,0.66000,0.21007,0.66000,0.16378
0.67009,0.67000,-0.07903,0.67000,0.13887,0.67000,-0.07372,0.67000,0.28631,0.67000,0.21474,0.67000,0.16539
0.68009,0.68000,-0.08158,0.68000,0.13816,0.68000,-0.07359,0.68000,0.28641,0.68000,0.21961,0.68000,0.16693
0.69009,0.69000,-0.08432,0.69000,0.13724,0.69000,-0.07350,0.69000,0.28663,0.69000,0.22467,0.69000,0.16854
