Time, Pelvis Rotation, Pelvis Tilt, Pelvis Obliquity, Right Hip Flexion - Extension, Left Hip Flexion - Extension, Right Hip Abduction - Adduction, Left Hip Abduction - Adduction,  Right Hip Rotation,  Left Hip Rotation,  Right Knee Flexion - Extension,  Left Knee Flexion - Extension,  Right Knee Abduction - Adduction,  Left Knee Abduction - Adduction,  Right Knee Rotation,  Left Knee Rotation,  Right Ankle Dorsiflexion - Plantarflexion,  Left Ankle Dorsiflexion - Plantarflexion,  Right Ankle Eversion - Inversion,  Left Ankle Eversion - Inversion,  Right Ankle Abduction - Adduction,  Left Ankle Abduction - Adduction, Neck Flexion - Extension, Neck Lateral Flexion, Neck Rotation, Right Shoulder Flexion - Extension, Left Shoulder Flexion - Extension, Right Shoulder Abduction - Adduction, Left Shoulder Abduction - Adduction, Right Shoulder Rotation, Left Shoulder Rotation, Right Elbow Flexion - Extension, Left Elbow Flexion - Extension, Right Wrist Flexion - Extension, Left Wrist Flexion - Extension, Right Wrist Adduction - Abduction, Left Wrist Adduction - Abduction, Right Wrist Rotation, Left Wrist Rotation, Torso Flexion - Extension, Torso Abduction - Adduction, Torso Rotation, Torso Inclination
0, 0.0929325, 0.087427, 0.66816, -0.651698, -0.702961, 0.5951, -0.580353, -0.0042449, 0.0453303, 0.0511904, -0.228549, -0.0100708, 0.304718, 0.229607, -0.306107, 0.479392, 0.199315, -0.0545906, -0.418831, -0.00822233, -0.189046, 0.900364, 0.0248077, -0.208202, -0.0738887, -0.229059, 0.231475, 0.144574, -0.0717261, -0.229408, -0.0786005, -0.122069, 0.0822671, 0.319018, -0.538564, 0.0242323, 2.02281, -0.747411, -0.335935, -0.144575, 0.150908, 0.365377
0.0100109, 0.105837, 0.0978168, 0.661828, -0.659054, -0.705997, 0.586502, -0.574181, 0.00518031, 0.0334536, 0.0517821, -0.224444, -0.00744629, 0.298752, 0.21067, -0.307335, 0.483931, 0.203101, -0.0503631, -0.415239, -0.0144651, -0.188109, 0.883689, 0.0208344, -0.206726, -0.0771081, -0.231251, 0.231997, 0.136303, -0.0749485, -0.231574, -0.0618789, -0.121489, 0.130044, 0.309994, -0.581382, 0.0225989, 2.01673, -0.726864, -0.33535, -0.140127, 0.171012, 0.363066
0.0200219, 0.110472, 0.106014, 0.653367, -0.664084, -0.711505, 0.575516, -0.567879, 0.00484267, 0.0325019, 0.0518953, -0.22048, -0.000617981, 0.293274, 0.190025, -0.306175, 0.487046, 0.211029, -0.0508351, -0.408, -0.0212796, -0.186514, 0.864595, 0.0144056, -0.201422, -0.0735762, -0.230565, 0.228496, 0.128824, -0.0714371, -0.230864, -0.0398734, -0.123921, 0.159669, 0.304986, -0.626258, 0.018932, 2.03556, -0.702642, -0.33528, -0.134281, 0.183418, 0.360773
0.0300328, 0.112548, 0.112125, 0.64414, -0.666328, -0.720672, 0.564178, -0.563896, 0.00519673, 0.0426893, 0.0513671, -0.216959, 0.00591278, 0.289185, 0.171524, -0.312653, 0.490224, 0.217209, -0.0512432, -0.400492, -0.0284904, -0.184156, 0.851084, 0.00399164, -0.197561, -0.0674215, -0.230505, 0.224529, 0.120735, -0.0653019, -0.230783, -0.015874, -0.128774, 0.166219, 0.297351, -0.665325, 0.0108188, 2.06715, -0.67344, -0.338317, -0.127858, 0.192738, 0.361271
0.0400437, 0.114365, 0.117808, 0.635245, -0.668475, -0.729391, 0.555191, -0.565804, 0.00912829, 0.0626485, 0.0500507, -0.214191, 0.0104523, 0.291817, 0.154694, -0.32943, 0.489668, 0.222651, -0.0539333, -0.391643, -0.0359276, -0.180958, 0.842836, -0.00502548, -0.196708, -0.0609028, -0.235059, 0.223176, 0.109262, -0.0587767, -0.235309, 0.00417111, -0.13443, 0.152893, 0.29129, -0.68826, -0.00126956, 2.09493, -0.639129, -0.345975, -0.122741, 0.202112, 0.366697
0.0500547, 0.115176, 0.123334, 0.628594, -0.670262, -0.737038, 0.551109, -0.570679, 0.0147848, 0.0855118, 0.0478293, -0.212464, 0.00952911, 0.297348, 0.141579, -0.344566, 0.483953, 0.226722, -0.0551225, -0.38635, -0.0434477, -0.176874, 0.838428, -0.00903674, -0.197568, -0.0541859, -0.243316, 0.22049, 0.0970549, -0.0520692, -0.24353, 0.0174487, -0.141788, 0.125598, 0.288378, -0.689314, -0.010613, 2.12173, -0.605563, -0.355599, -0.121359, 0.208036, 0.375323
0.0600656, 0.114328, 0.128842, 0.622927, -0.671425, -0.745406, 0.547287, -0.573044, 0.0196484, 0.0940485, 0.0446275, -0.212028, 0.00933838, 0.302917, 0.133133, -0.339272, 0.47677, 0.227484, -0.0539135, -0.38517, -0.0509422, -0.171893, 0.837514, -0.0119042, -0.203532, -0.0497286, -0.254232, 0.217003, 0.0844902, -0.0476522, -0.25441, 0.0228602, -0.148508, 0.0801643, 0.285007, -0.669582, -0.0194228, 2.17126, -0.580251, -0.367309, -0.121533, 0.211695, 0.386469
0.0700765, 0.112077, 0.134586, 0.6201, -0.671713, -0.749984, 0.545563, -0.578018, 0.0215796, 0.105498, 0.0404163, -0.213074, 0.00752258, 0.309204, 0.125465, -0.334007, 0.467652, 0.22469, -0.050697, -0.382936, -0.0583326, -0.166033, 0.834479, -0.0122646, -0.20926, -0.0485687, -0.267729, 0.211212, 0.0704034, -0.0465719, -0.267872, 0.0297119, -0.153961, 0.0169655, 0.285101, -0.642409, -0.0255468, 2.24848, -0.565022, -0.37768, -0.12506, 0.212702, 0.397409
0.0800875, 0.110039, 0.137146, 0.618396, -0.667652, -0.747293, 0.543732, -0.581459, 0.0205101, 0.111851, 0.035216, -0.215718, 0.00699615, 0.313881, 0.114548, -0.326637, 0.461666, 0.221906, -0.0469034, -0.38055, -0.0655532, -0.159334, 0.827296, -0.00830569, -0.211449, -0.0493754, -0.280196, 0.200012, 0.059648, -0.0475232, -0.280312, 0.0365233, -0.15892, -0.0616596, 0.290086, -0.603893, -0.0266387, 2.31608, -0.563444, -0.390037, -0.13011, 0.213071, 0.41071
0.0900984, 0.107262, 0.13884, 0.617544, -0.663952, -0.743556, 0.541275, -0.583435, 0.0123156, 0.117237, 0.0290955, -0.219996, 0.0087738, 0.319046, 0.113281, -0.321327, 0.453894, 0.215493, -0.0449184, -0.382252, -0.0725306, -0.151846, 0.813646, -0.000570469, -0.202794, -0.0493959, -0.288937, 0.187869, 0.0531625, -0.0476893, -0.289037, 0.0350875, -0.164477, -0.146964, 0.284033, -0.551361, -0.0257617, 2.38119, -0.576933, -0.402172, -0.136948, 0.212069, 0.424373
