Tiempo,Flexo-extensión cadera derecha_X,Flexo-extensión cadera derecha_Y,Flexo-extensión cadera izquierda_X,Flexo-extensión cadera izquierda_Y,Abducción-aducción cadera derecha_X,Abducción-aducción cadera derecha_Y,Abducción-aducción cadera izquierda_X,Abducción-aducción cadera izquierda_Y,Rotación cadera derecha_X,Rotación cadera derecha_Y,Rotación cadera izquierda_X,Rotación cadera izquierda_Y
0.00000,0.00000,-0.24037,0.00000,-0.13637,0.00000,0.01942,0.00000,-0.25476,0.00000,0.36154,0.00000,-0.40168
0.01001,0.01000,-0.23616,0.01000,-0.13072,0.01000,0.01987,0.01000,-0.24420,0.01000,0.36718,0.01000,-0.40161
0.02001,0.02000,-0.23214,0.02000,-0.12479,0.02000,0.02065,0.02000,-0.23211,0.02000,0.37318,0.02000,-0.40296
0.03002,0.03000,-0.22860,0.03000,-0.11890,0.03000,0.02178,0.03000,-0.21888,0.03000,0.37933,0.03000,-0.40599
0.04002,0.04000,-0.22575,0.04000,-0.11342,0.04000,0.02324,0.04000,-0.20501,0.04000,0.38545,0.04000,-0.41084
0.05003,0.05000,-0.22376,0.05000,-0.10865,0.05000,0.02497,0.05000,-0.19107,0.05000,0.39136,0.05000,-0.41753
0.06003,0.06000,-0.22265,0.06000,-0.10487,0.06000,0.02689,0.06000,-0.17765,0.06000,0.39700,0.06000,-0.42594
0.07004,0.07000,-0.22235,0.07000,-0.10224,0.07000,0.02888,0.07000,-0.16526,0.07000,0.40236,0.07000,-0.43581
0.08004,0.08000,-0.22269,0.08000,-0.10080,0.08000,0.03081,0.08000,-0.15428,0.08000,0.40751,0.08000,-0.44681
0.09005,0.09000,-0.22341,0.09000,-0.10048,0.09000,0.03253,0.09000,-0.14495,0.09000,0.41257,0.09000,-0.45856
0.10005,0.10000,-0.22422,0.10000,-0.10112,0.10000,0.03395,0.10000,-0.13735,0.10000,0.41770,0.10000,-0.47064
0.11006,0.11000,-0.22486,0.11000,-0.10249,0.11000,0.03498,0.11000,-0.13143,0.11000,0.42298,0.11000,-0.48265
0.12007,0.12000,-0.22511,0.12000,-0.10431,0.12000,0.03559,0.12000,-0.12701,0.12000,0.42850,0.12000,-0.49421
0.13007,0.13000,-0.22486,0.13000,-0.10632,0.13000,0.03578,0.13000,-0.12390,0.13000,0.43425,0.13000,-0.50495
0.14008,0.14000,-0.22402,0.14000,-0.10824,0.14000,0.03561,0.14000,-0.12185,0.14000,0.44016,0.14000,-0.51457
0.15008,0.15000,-0.22263,0.15000,-0.10986,0.15000,0.03516,0.15000,-0.12066,0.15000,0.44610,0.15000,-0.52280
0.16009,0.16000,-0.22073,0.16000,-0.11098,0.16000,0.03452,0.16000,-0.12016,0.16000,0.45195,0.16000,-0.52942
0.17009,0.17000,-0.21841,0.17000,-0.11146,0.17000,0.03381,0.17000,-0.12022,0.17000,0.45755,0.17000,-0.53425
0.18010,0.18000,-0.21577,0.18000,-0.11119,0.18000,0.03317,0.18000,-0.12072,0.18000,0.46281,0.18000,-0.53715
0.19010,0.19000,-0.21287,0.19000,-0.11012,0.19000,0.03272,0.19000,-0.12159,0.19000,0.46767,0.19000,-0.53803
0.20011,0.20000,-0.20979,0.20000,-0.10827,0.20000,0.03259,0.20000,-0.12279,0.20000,0.47214,0.20000,-0.53687
0.21011,0.21000,-0.20653,0.21000,-0.10569,0.21000,0.03292,0.21000,-0.12424,0.21000,0.47628,0.21000,-0.53374
0.22012,0.22000,-0.20309,0.22000,-0.10249,0.22000,0.03382,0.22000,-0.12593,0.22000,0.48021,0.22000,-0.52882
0.23013,0.23000,-0.19943,0.23000,-0.09881,0.23000,0.03536,0.23000,-0.12781,0.23000,0.48406,0.23000,-0.52241
0.24013,0.24000,-0.19549,0.24000,-0.09483,0.24000,0.03760,0.24000,-0.12985,0.24000,0.48802,0.24000,-0.51494
0.25014,0.25000,-0.19122,0.25000,-0.09069,0.25000,0.04052,0.25000,-0.13203,0.25000,0.49225,0.25000,-0.50696
0.26014,0.26000,-0.18655,0.26000,-0.08656,0.26000,0.04404,0.26000,-0.13431,0.26000,0.49690,0.26000,-0.49908
0.27015,0.27000,-0.18148,0.27000,-0.08256,0.27000,0.04805,0.27000,-0.13668,0.27000,0.50209,0.27000,-0.49195
0.28015,0.28000,-0.17601,0.28000,-0.07877,0.28000,0.05236,0.28000,-0.13912,0.28000,0.50787,0.28000,-0.48619
0.29016,0.29000,-0.17017,0.29000,-0.07521,0.29000,0.05678,0.29000,-0.14164,0.29000,0.51424,0.29000,-0.48230
0.30016,0.30000,-0.16402,0.30000,-0.07185,0.30000,0.06110,0.30000,-0.14424,0.30000,0.52110,0.30000,-0.48063
0.31017,0.31000,-0.15760,0.31000,-0.06861,0.31000,0.06511,0.31000,-0.14693,0.31000,0.52828,0.31000,-0.48131
0.32017,0.32000,-0.15095,0.32000,-0.06535,0.32000,0.06864,0.32000,-0.14968,0.32000,0.53556,0.32000,-0.48425
0.33018,0.33000,-0.14409,0.33000,-0.06187,0.33000,0.07157,0.33000,-0.15242,0.33000,0.54267,0.33000,-0.48913
0.34019,0.34000,-0.13702,0.34000,-0.05798,0.34000,0.07381,0.34000,-0.15504,0.34000,0.54935,0.34000,-0.49547
0.35019,0.35000,-0.12973,0.35000,-0.05349,0.35000,0.07537,0.35000,-0.15736,0.35000,0.55538,0.35000,-0.50268
0.36020,0.36000,-0.12224,0.36000,-0.04827,0.36000,0.07632,0.36000,-0.15918,0.36000,0.56055,0.36000,-0.51017
0.37020,0.37000,-0.11461,0.37000,-0.04226,0.37000,0.07680,0.37000,-0.16030,0.37000,0.56475,0.37000,-0.51738
0.38021,0.38000,-0.10694,0.38000,-0.03557,0.38000,0.07697,0.38000,-0.16057,0.38000,0.56792,0.38000,-0.52386
0.39021,0.39000,-0.09939,0.39000,-0.02837,0.39000,0.07705,0.39000,-0.15991,0.39000,0.57009,0.39000,-0.52926
0.40022,0.40000,-0.09217,0.40000,-0.02099,0.40000,0.07721,0.40000,-0.15835,0.40000,0.57138,0.40000,-0.53340
0.41022,0.41000,-0.08549,0.41000,-0.01379,0.41000,0.07761,0.41000,-0.15600,0.41000,0.57199,0.41000,-0.53620
0.42023,0.42000,-0.07956,0.42000,-0.00715,0.42000,0.07835,0.42000,-0.15304,0.42000,0.57218,0.42000,-0.53777
0.43023,0.43000,-0.07453,0.43000,-0.00144,0.43000,0.07946,0.43000,-0.14970,0.43000,0.57228,0.43000,-0.53830
0.44024,0.44000,-0.07053,0.44000,0.00309,0.44000,0.08093,0.44000,-0.14623,0.44000,0.57261,0.44000,-0.53812
0.45025,0.45000,-0.06759,0.45000,0.00627,0.45000,0.08267,0.45000,-0.14286,0.45000,0.57349,0.45000,-0.53759
0.46025,0.46000,-0.06567,0.46000,0.00805,0.46000,0.08460,0.46000,-0.13982,0.46000,0.57514,0.46000,-0.53709
0.47026,0.47000,-0.06467,0.47000,0.00850,0.47000,0.08663,0.47000,-0.13731,0.47000,0.57773,0.47000,-0.53695
0.48026,0.48000,-0.06439,0.48000,0.00781,0.48000,0.08863,0.48000,-0.13549,0.48000,0.58127,0.48000,-0.53744
0.49027,0.49000,-0.06460,0.49000,0.00622,0.49000,0.09054,0.49000,-0.13450,0.49000,0.58570,0.49000,-0.53868
0.50027,0.50000,-0.06502,0.50000,0.00404,0.50000,0.09226,0.50000,-0.13443,0.50000,0.59082,0.50000,-0.54069
0.51028,0.51000,-0.06535,0.51000,0.00160,0.51000,0.09375,0.51000,-0.13536,0.51000,0.59639,0.51000,-0.54334
0.52028,0.52000,-0.06532,0.52000,-0.00075,0.52000,0.09495,0.52000,-0.13732,0.52000,0.60209,0.52000,-0.54643
0.53029,0.53000,-0.06468,0.53000,-0.00268,0.53000,0.09583,0.53000,-0.14029,0.53000,0.60761,0.53000,-0.54972
0.54029,0.54000,-0.06325,0.54000,-0.00390,0.54000,0.09638,0.54000,-0.14424,0.54000,0.61270,0.54000,-0.55294
0.55030,0.55000,-0.06092,0.55000,-0.00416,0.55000,0.09659,0.55000,-0.14909,0.55000,0.61714,0.55000,-0.55586
0.56031,0.56000,-0.05767,0.56000,-0.00329,0.56000,0.09649,0.56000,-0.15472,0.56000,0.62083,0.56000,-0.55831
0.57031,0.57000,-0.05355,0.57000,-0.00122,0.57000,0.09610,0.57000,-0.16098,0.57000,0.62374,0.57000,-0.56014
0.58032,0.58000,-0.04871,0.58000,0.00205,0.58000,0.09547,0.58000,-0.16766,0.58000,0.62589,0.58000,-0.56126
0.59032,0.59000,-0.04334,0.59000,0.00640,0.59000,0.09467,0.59000,-0.17450,0.59000,0.62736,0.59000,-0.56160
0.60033,0.60000,-0.03767,0.60000,0.01165,0.60000,0.09379,0.60000,-0.18119,0.60000,0.62820,0.60000,-0.56112
0.61033,0.61000,-0.03194,0.61000,0.01752,0.61000,0.09293,0.61000,-0.18738,0.61000,0.62845,0.61000,-0.55979
0.62034,0.62000,-0.02641,0.62000,0.02368,0.62000,0.09222,0.62000,-0.19269,0.62000,0.62812,0.62000,-0.55760
0.63034,0.63000,-0.02136,0.63000,0.02976,0.63000,0.09180,0.63000,-0.19678,0.63000,0.62716,0.63000,-0.55455
0.64035,0.64000,-0.01706,0.64000,0.03534,0.64000,0.09179,0.64000,-0.19937,0.64000,0.62547,0.64000,-0.55062
0.65035,0.65000,-0.01382,0.65000,0.03995,0.65000,0.09230,0.65000,-0.20029,0.65000,0.62292,0.65000,-0.54579
0.66036,0.66000,-0.01192,0.66000,0.04314,0.66000,0.09341,0.66000,-0.19947,0.66000,0.61934,0.66000,-0.53999
0.67037,0.67000,-0.01167,0.67000,0.04449,0.67000,0.09511,0.67000,-0.19702,0.67000,0.61459,0.67000,-0.53312
0.68037,0.68000,-0.01331,0.68000,0.04361,0.68000,0.09734,0.68000,-0.19318,0.68000,0.60850,0.68000,-0.52501
0.69038,0.69000,-0.01699,0.69000,0.04027,0.69000,0.09999,0.69000,-0.18830,0.69000,0.60098,0.69000,-0.51545
0.70038,0.70000,-0.02272,0.70000,0.03436,0.70000,0.10284,0.70000,-0.18278,0.70000,0.59200,0.70000,-0.50426
0.71039,0.71000,-0.03034,0.71000,0.02600,0.71000,0.10566,0.71000,-0.17704,0.71000,0.58158,0.71000,-0.49126
0.72039,0.72000,-0.03951,0.72000,0.01549,0.72000,0.10819,0.72000,-0.17143,0.72000,0.56986,0.72000,-0.47640
0.73040,0.73000,-0.04977,0.73000,0.00332,0.73000,0.11019,0.73000,-0.16620,0.73000,0.55704,0.73000,-0.45975
