Time, Pelvis Rotation, Pelvis Tilt, Pelvis Obliquity, Right Hip Flexion - Extension, Left Hip Flexion - Extension, Right Hip Abduction - Adduction, Left Hip Abduction - Adduction,  Right Hip Rotation,  Left Hip Rotation,  Right Knee Flexion - Extension,  Left Knee Flexion - Extension,  Right Knee Abduction - Adduction,  Left Knee Abduction - Adduction,  Right Knee Rotation,  Left Knee Rotation,  Right Ankle Dorsiflexion - Plantarflexion,  Left Ankle Dorsiflexion - Plantarflexion,  Right Ankle Eversion - Inversion,  Left Ankle Eversion - Inversion,  Right Ankle Abduction - Adduction,  Left Ankle Abduction - Adduction, Neck Flexion - Extension, Neck Lateral Flexion, Neck Rotation, Right Shoulder Flexion - Extension, Left Shoulder Flexion - Extension, Right Shoulder Abduction - Adduction, Left Shoulder Abduction - Adduction, Right Shoulder Rotation, Left Shoulder Rotation, Right Elbow Flexion - Extension, Left Elbow Flexion - Extension, Right Wrist Flexion - Extension, Left Wrist Flexion - Extension, Right Wrist Adduction - Abduction, Left Wrist Adduction - Abduction, Right Wrist Rotation, Left Wrist Rotation, Torso Flexion - Extension, Torso Abduction - Adduction, Torso Rotation, Torso Inclination
0, 6.67526, -6.50861, 1.42397, 18.8993, -18.2955, 13.1043, 7.32547, 7.94258, 4.58103, -5.40525, 7.25168, 6.9362, -3.03177, 9.93344, -2.14273, -6.99745, 9.11322, -8.48685, -21.5434, -7.76637, -3.5525, -3.04943, -2.44378, 1.51233, -11.9958, 8.78389, -12.1804, 1.50633, -12.845, 8.64619, -22.2259, 3.55802, -11.1356, -3.81204, -8.19167, 2.32895, 2.30643, 3.05205, -8.19219, 0.551291, 10.8044, 8.45891
0.0100016, 6.64296, -6.51846, 1.42574, 18.9186, -18.2905, 13.1091, 7.31651, 7.92925, 4.59211, -5.40881, 7.24608, 6.92793, -3.04231, 9.91779, -2.12541, -7.01413, 9.11227, -8.49003, -21.5517, -7.7612, -3.54765, -3.04844, -2.47487, 1.50938, -11.9884, 8.79977, -12.1748, 1.50291, -12.8358, 8.66207, -22.2238, 3.56123, -11.1371, -3.8118, -8.19002, 2.33113, 2.29804, 3.06192, -8.17528, 0.540087, 10.7674, 8.43759
0.0200031, 6.61021, -6.53102, 1.429, 18.9411, -18.2832, 13.1164, 7.30508, 7.92004, 4.60646, -5.41317, 7.23871, 6.92284, -3.04917, 9.89741, -2.10939, -7.02161, 9.11276, -8.49356, -21.5586, -7.75544, -3.54072, -3.05315, -2.50695, 1.49694, -11.9791, 8.81976, -12.1669, 1.50102, -12.8237, 8.68194, -22.2225, 3.56479, -11.1378, -3.81136, -8.18554, 2.3322, 2.29135, 3.07818, -8.15974, 0.528343, 10.7277, 8.41748
0.0300047, 6.57681, -6.54715, 1.43292, 18.9676, -18.2711, 13.1252, 7.29433, 7.91444, 4.62305, -5.41845, 7.22939, 6.91495, -3.06387, 9.87844, -2.08958, -7.03029, 9.11518, -8.48695, -21.547, -7.74939, -3.53155, -3.05396, -2.53224, 1.48357, -11.974, 8.83293, -12.1647, 1.49941, -12.8162, 8.69488, -22.2189, 3.57089, -11.1336, -3.81141, -8.18048, 2.33333, 2.28156, 3.10094, -8.14603, 0.517409, 10.689, 8.39948
0.0400062, 6.54573, -6.56463, 1.43605, 18.9945, -18.2581, 13.1364, 7.28506, 7.91574, 4.63369, -5.42484, 7.21797, 6.89991, -3.0705, 9.85244, -2.08049, -7.0337, 9.11626, -8.47981, -21.5569, -7.74342, -3.52009, -3.04791, -2.55279, 1.47684, -11.9756, 8.83716, -12.1663, 1.49578, -12.816, 8.69892, -22.2148, 3.57847, -11.125, -3.80723, -8.1746, 2.33442, 2.27351, 3.12438, -8.13453, 0.509583, 10.6544, 8.38466
0.0500078, 6.52186, -6.58603, 1.44063, 19.0245, -18.2416, 13.152, 7.27867, 7.92659, 4.63592, -5.43259, 7.20431, 6.88612, -3.0817, 9.83707, -2.05775, -7.04134, 9.12139, -8.48036, -21.5597, -7.73797, -3.50644, -3.03469, -2.57339, 1.4728, -11.9813, 8.83269, -12.1667, 1.48859, -12.8205, 8.69452, -22.2125, 3.58899, -11.1121, -3.79706, -8.17168, 2.33223, 2.27275, 3.14127, -8.12779, 0.502975, 10.6233, 8.37511
0.0600093, 6.49788, -6.60363, 1.44446, 19.0505, -18.2301, 13.1661, 7.27276, 7.9356, 4.64131, -5.44199, 7.18833, 6.86782, -3.09706, 9.81444, -2.03497, -7.04296, 9.12003, -8.47825, -21.5494, -7.73351, -3.49082, -3.01452, -2.59145, 1.46133, -11.9887, 8.82341, -12.1634, 1.48253, -12.8266, 8.68526, -22.2126, 3.60087, -11.0992, -3.78403, -8.1716, 2.32733, 2.2792, 3.14401, -8.11742, 0.496574, 10.5869, 8.36176
0.0700109, 6.47353, -6.61552, 1.44813, 19.0689, -18.2282, 13.1792, 7.26387, 7.94254, 4.65238, -5.45339, 7.16998, 6.85467, -3.10474, 9.79005, -2.01418, -7.04344, 9.11431, -8.48134, -21.5554, -7.73044, -3.47362, -2.99463, -2.60471, 1.44134, -11.9927, 8.81511, -12.1576, 1.48119, -12.8293, 8.67677, -22.2143, 3.61273, -11.0936, -3.7728, -8.17141, 2.32525, 2.29074, 3.1343, -8.10251, 0.491443, 10.5523, 8.34419
0.0800124, 6.45153, -6.62579, 1.45015, 19.085, -18.2291, 13.1904, 7.25736, 7.95184, 4.66447, -5.46718, 7.14925, 6.84811, -3.11944, 9.77799, -1.97634, -7.04611, 9.10394, -8.48708, -21.5466, -7.72908, -3.45535, -2.97939, -2.61264, 1.41896, -11.9945, 8.81169, -12.1516, 1.48308, -12.8296, 8.67315, -22.2152, 3.62018, -11.0924, -3.76713, -8.16997, 2.32585, 2.29825, 3.12211, -8.0895, 0.487923, 10.52, 8.32903
0.090014, 6.43096, -6.63359, 1.45143, 19.0979, -18.233, 13.1988, 7.25064, 7.95855, 4.67924, -5.48369, 7.12615, 6.84261, -3.1442, 9.77128, -1.94314, -7.05011, 9.09904, -8.48975, -21.5319, -7.72961, -3.43657, -2.96556, -2.61719, 1.40079, -11.9961, 8.80971, -12.1494, 1.48645, -12.8301, 8.67102, -22.2164, 3.62251, -11.0953, -3.7684, -8.1647, 2.33163, 2.29596, 3.11354, -8.07627, 0.483978, 10.4897, 8.31361
