Tiempo,Flexo-extensión rodilla derecha_X,Flexo-extensión rodilla derecha_Y,Flexo-extensión rodilla izquierda_X,Flexo-extensión rodilla izquierda_Y,Abducción-aducción rodilla derecha_X,Abducción-aducción rodilla derecha_Y,Abducción-aducción rodilla izquierda_X,Abducción-aducción rodilla izquierda_Y,Rotación rodilla derecha_X,Rotación rodilla derecha_Y,Rotación rodilla izquierda_X,Rotación rodilla izquierda_Y
0.00000,0.00000,-34.58475,0.00000,-20.47233,0.00000,-13.87956,0.00000,3.92090,0.00000,-13.07154,0.00000,2.42688
0.01001,0.01000,-34.58365,0.01000,-20.47792,0.01000,-13.88465,0.01000,3.92056,0.01000,-13.08978,0.01000,2.39869
0.02002,0.02000,-34.58196,0.02000,-20.48339,0.02000,-13.89002,0.02000,3.92007,0.02000,-13.10938,0.02000,2.36565
0.03003,0.03000,-34.57957,0.03000,-20.48832,0.03000,-13.89546,0.03000,3.91942,0.03000,-13.12370,0.03000,2.32852
0.04004,0.04000,-34.57632,0.04000,-20.49228,0.04000,-13.90072,0.04000,3.91864,0.04000,-13.13288,0.04000,2.28838
0.05005,0.05000,-34.57208,0.05000,-20.49483,0.05000,-13.90559,0.05000,3.91776,0.05000,-13.13486,0.05000,2.24658
0.06005,0.06000,-34.56675,0.06000,-20.49560,0.06000,-13.90988,0.06000,3.91682,0.06000,-13.13635,0.06000,2.20460
0.07006,0.07000,-34.56023,0.07000,-20.49430,0.07000,-13.91346,0.07000,3.91584,0.07000,-13.14278,0.07000,2.16395
0.08007,0.08000,-34.55247,0.08000,-20.49077,0.08000,-13.91625,0.08000,3.91483,0.08000,-13.14037,0.08000,2.12608
0.09008,0.09000,-34.54347,0.09000,-20.48497,0.09000,-13.91823,0.09000,3.91378,0.09000,-13.14570,0.09000,2.09226
0.10009,0.10000,-34.53328,0.10000,-20.47703,0.10000,-13.91941,0.10000,3.91263,0.10000,-13.15088,0.10000,2.06352
0.11010,0.11000,-34.52206,0.11000,-20.46718,0.11000,-13.91984,0.11000,3.91129,0.11000,-13.15144,0.11000,2.04060
0.12011,0.12000,-34.51001,0.12000,-20.45581,0.12000,-13.91962,0.12000,3.90968,0.12000,-13.14997,0.12000,2.02392
0.13012,0.13000,-34.49740,0.13000,-20.44338,0.13000,-13.91885,0.13000,3.90771,0.13000,-13.15585,0.13000,2.01361
0.14013,0.14000,-34.48457,0.14000,-20.43036,0.14000,-13.91763,0.14000,3.90536,0.14000,-13.16389,0.14000,2.00955
0.15013,0.15000,-34.47186,0.15000,-20.41726,0.15000,-13.91610,0.15000,3.90265,0.15000,-13.17126,0.15000,2.01143
0.16014,0.16000,-34.45966,0.16000,-20.40450,0.16000,-13.91437,0.16000,3.89965,0.16000,-13.17201,0.16000,2.01880
0.17015,0.17000,-34.44829,0.17000,-20.39243,0.17000,-13.91253,0.17000,3.89650,0.17000,-13.16996,0.17000,2.03115
0.18016,0.18000,-34.43805,0.18000,-20.38125,0.18000,-13.91066,0.18000,3.89334,0.18000,-13.17384,0.18000,2.04797
0.19017,0.19000,-34.42914,0.19000,-20.37104,0.19000,-13.90880,0.19000,3.89033,0.19000,-13.17618,0.19000,2.06876
0.20018,0.20000,-34.42170,0.20000,-20.36176,0.20000,-13.90699,0.20000,3.88762,0.20000,-13.17855,0.20000,2.09310
0.21019,0.21000,-34.41579,0.21000,-20.35328,0.21000,-13.90523,0.21000,3.88533,0.21000,-13.18733,0.21000,2.12067
0.22020,0.22000,-34.41136,0.22000,-20.34538,0.22000,-13.90353,0.22000,3.88353,0.22000,-13.19579,0.22000,2.15125
0.23021,0.23000,-34.40834,0.23000,-20.33785,0.23000,-13.90191,0.23000,3.88227,0.23000,-13.19450,0.23000,2.18476
0.24021,0.24000,-34.40657,0.24000,-20.33050,0.24000,-13.90041,0.24000,3.88153,0.24000,-13.18831,0.24000,2.22120
0.25022,0.25000,-34.40587,0.25000,-20.32317,0.25000,-13.89913,0.25000,3.88127,0.25000,-13.17329,0.25000,2.26061
0.26023,0.26000,-34.40605,0.26000,-20.31580,0.26000,-13.89818,0.26000,3.88141,0.26000,-13.15015,0.26000,2.30303
0.27024,0.27000,-34.40691,0.27000,-20.30841,0.27000,-13.89768,0.27000,3.88182,0.27000,-13.13837,0.27000,2.34844
0.28025,0.28000,-34.40827,0.28000,-20.30114,0.28000,-13.89776,0.28000,3.88236,0.28000,-13.13301,0.28000,2.39668
0.29026,0.29000,-34.40995,0.29000,-20.29416,0.29000,-13.89851,0.29000,3.88289,0.29000,-13.12977,0.29000,2.44742
0.30027,0.30000,-34.41181,0.30000,-20.28774,0.30000,-13.89997,0.30000,3.88326,0.30000,-13.13240,0.30000,2.50016
0.31028,0.31000,-34.41375,0.31000,-20.28217,0.31000,-13.90214,0.31000,3.88338,0.31000,-13.14179,0.31000,2.55419
0.32029,0.32000,-34.41568,0.32000,-20.27774,0.32000,-13.90499,0.32000,3.88316,0.32000,-13.15093,0.32000,2.60864
0.33030,0.33000,-34.41755,0.33000,-20.27473,0.33000,-13.90841,0.33000,3.88259,0.33000,-13.15016,0.33000,2.66251
0.34030,0.34000,-34.41933,0.34000,-20.27336,0.34000,-13.91227,0.34000,3.88170,0.34000,-13.14542,0.34000,2.71472
0.35031,0.35000,-34.42104,0.35000,-20.27379,0.35000,-13.91642,0.35000,3.88058,0.35000,-13.14278,0.35000,2.76417
0.36032,0.36000,-34.42268,0.36000,-20.27609,0.36000,-13.92066,0.36000,3.87935,0.36000,-13.14464,0.36000,2.80979
0.37033,0.37000,-34.42429,0.37000,-20.28025,0.37000,-13.92479,0.37000,3.87814,0.37000,-13.15087,0.37000,2.85060
0.38034,0.38000,-34.42589,0.38000,-20.28617,0.38000,-13.92861,0.38000,3.87712,0.38000,-13.15885,0.38000,2.88572
0.39035,0.39000,-34.42753,0.39000,-20.29371,0.39000,-13.93193,0.39000,3.87643,0.39000,-13.16778,0.39000,2.91445
0.40036,0.40000,-34.42925,0.40000,-20.30267,0.40000,-13.93463,0.40000,3.87621,0.40000,-13.17040,0.40000,2.93627
0.41037,0.41000,-34.43106,0.41000,-20.31282,0.41000,-13.93659,0.41000,3.87657,0.41000,-13.16720,0.41000,2.95084
0.42038,0.42000,-34.43298,0.42000,-20.32393,0.42000,-13.93778,0.42000,3.87758,0.42000,-13.16546,0.42000,2.95808
0.43038,0.43000,-34.43501,0.43000,-20.33575,0.43000,-13.93824,0.43000,3.87926,0.43000,-13.15929,0.43000,2.95815
0.44039,0.44000,-34.43712,0.44000,-20.34802,0.44000,-13.93802,0.44000,3.88158,0.44000,-13.14763,0.44000,2.95142
0.45040,0.45000,-34.43925,0.45000,-20.36049,0.45000,-13.93726,0.45000,3.88445,0.45000,-13.13054,0.45000,2.93855
0.46041,0.46000,-34.44135,0.46000,-20.37294,0.46000,-13.93608,0.46000,3.88772,0.46000,-13.11777,0.46000,2.92035
0.47042,0.47000,-34.44336,0.47000,-20.38515,0.47000,-13.93463,0.47000,3.89123,0.47000,-13.11566,0.47000,2.89782
0.48043,0.48000,-34.44521,0.48000,-20.39692,0.48000,-13.93309,0.48000,3.89479,0.48000,-13.11737,0.48000,2.87205
0.49044,0.49000,-34.44685,0.49000,-20.40809,0.49000,-13.93160,0.49000,3.89823,0.49000,-13.11647,0.49000,2.84418
0.50045,0.50000,-34.44825,0.50000,-20.41855,0.50000,-13.93030,0.50000,3.90144,0.50000,-13.10709,0.50000,2.81536
0.51046,0.51000,-34.44939,0.51000,-20.42818,0.51000,-13.92932,0.51000,3.90434,0.51000,-13.09612,0.51000,2.78667
0.52046,0.52000,-34.45024,0.52000,-20.43691,0.52000,-13.92878,0.52000,3.90692,0.52000,-13.08891,0.52000,2.75911
0.53047,0.53000,-34.45080,0.53000,-20.44471,0.53000,-13.92875,0.53000,3.90920,0.53000,-13.08336,0.53000,2.73358
0.54048,0.54000,-34.45107,0.54000,-20.45153,0.54000,-13.92927,0.54000,3.91122,0.54000,-13.08322,0.54000,2.71077
0.55049,0.55000,-34.45105,0.55000,-20.45734,0.55000,-13.93035,0.55000,3.91302,0.55000,-13.09547,0.55000,2.69122
0.56050,0.56000,-34.45075,0.56000,-20.46215,0.56000,-13.93196,0.56000,3.91462,0.56000,-13.11150,0.56000,2.67521
0.57051,0.57000,-34.45019,0.57000,-20.46597,0.57000,-13.93408,0.57000,3.91601,0.57000,-13.12104,0.57000,2.66283
0.58052,0.58000,-34.44939,0.58000,-20.46881,0.58000,-13.93667,0.58000,3.91720,0.58000,-13.12164,0.58000,2.65397
0.59053,0.59000,-34.44835,0.59000,-20.47072,0.59000,-13.93972,0.59000,3.91816,0.59000,-13.11238,0.59000,2.64836
0.60054,0.60000,-34.44708,0.60000,-20.47174,0.60000,-13.94318,0.60000,3.91888,0.60000,-13.09806,0.60000,2.64567
0.61055,0.61000,-34.44555,0.61000,-20.47190,0.61000,-13.94700,0.61000,3.91936,0.61000,-13.09000,0.61000,2.64553
0.62055,0.62000,-34.44371,0.62000,-20.47123,0.62000,-13.95107,0.62000,3.91959,0.62000,-13.09219,0.62000,2.64760
0.63056,0.63000,-34.44150,0.63000,-20.46971,0.63000,-13.95525,0.63000,3.91959,0.63000,-13.10259,0.63000,2.65161
0.64057,0.64000,-34.43883,0.64000,-20.46734,0.64000,-13.95932,0.64000,3.91938,0.64000,-13.11758,0.64000,2.65738
0.65058,0.65000,-34.43562,0.65000,-20.46408,0.65000,-13.96305,0.65000,3.91899,0.65000,-13.13112,0.65000,2.66478
0.66059,0.66000,-34.43178,0.66000,-20.45988,0.66000,-13.96618,0.66000,3.91848,0.66000,-13.13750,0.66000,2.67376
0.67060,0.67000,-34.42728,0.67000,-20.45470,0.67000,-13.96843,0.67000,3.91787,0.67000,-13.13904,0.67000,2.68431
0.68061,0.68000,-34.42212,0.68000,-20.44851,0.68000,-13.96959,0.68000,3.91722,0.68000,-13.14112,0.68000,2.69648
0.69062,0.69000,-34.41635,0.69000,-20.44129,0.69000,-13.96947,0.69000,3.91657,0.69000,-13.13895,0.69000,2.71035
0.70063,0.70000,-34.41008,0.70000,-20.43306,0.70000,-13.96797,0.70000,3.91594,0.70000,-13.13310,0.70000,2.72604
0.71063,0.71000,-34.40347,0.71000,-20.42385,0.71000,-13.96506,0.71000,3.91533,0.71000,-13.12882,0.71000,2.74372
0.72064,0.72000,-34.39673,0.72000,-20.41373,0.72000,-13.96080,0.72000,3.91476,0.72000,-13.12389,0.72000,2.76361
0.73065,0.73000,-34.39009,0.73000,-20.40278,0.73000,-13.95536,0.73000,3.91422,0.73000,-13.11287,0.73000,2.78598
0.74066,0.74000,-34.38378,0.74000,-20.39111,0.74000,-13.94894,0.74000,3.91373,0.74000,-13.10071,0.74000,2.81110
0.75067,0.75000,-34.37803,0.75000,-20.37884,0.75000,-13.94182,0.75000,3.91332,0.75000,-13.09026,0.75000,2.83925
0.76068,0.76000,-34.37299,0.76000,-20.36611,0.76000,-13.93431,0.76000,3.91304,0.76000,-13.07822,0.76000,2.87069
0.77069,0.77000,-34.36882,0.77000,-20.35307,0.77000,-13.92670,0.77000,3.91302,0.77000,-13.06755,0.77000,2.90556
0.78070,0.78000,-34.36559,0.78000,-20.33991,0.78000,-13.91927,0.78000,3.91337,0.78000,-13.05912,0.78000,2.94385
0.79071,0.79000,-34.36334,0.79000,-20.32680,0.79000,-13.91226,0.79000,3.91427,0.79000,-13.04942,0.79000,2.98533
0.80071,0.80000,-34.36206,0.80000,-20.31395,0.80000,-13.90588,0.80000,3.91587,0.80000,-13.03521,0.80000,3.02951
0.81072,0.81000,-34.36174,0.81000,-20.30158,0.81000,-13.90025,0.81000,3.91833,0.81000,-13.02123,0.81000,3.07559
0.82073,0.82000,-34.36231,0.82000,-20.28988,0.82000,-13.89546,0.82000,3.92175,0.82000,-13.01180,0.82000,3.12252
0.83074,0.83000,-34.36372,0.83000,-20.27907,0.83000,-13.89151,0.83000,3.92616,0.83000,-13.00909,0.83000,3.16905
0.84075,0.84000,-34.36592,0.84000,-20.26933,0.84000,-13.88838,0.84000,3.93151,0.84000,-13.01187,0.84000,3.21382
0.85076,0.85000,-34.36884,0.85000,-20.26082,0.85000,-13.88602,0.85000,3.93766,0.85000,-13.02013,0.85000,3.25552
0.86077,0.86000,-34.37240,0.86000,-20.25364,0.86000,-13.88434,0.86000,3.94436,0.86000,-13.02619,0.86000,3.29298
0.87078,0.87000,-34.37651,0.87000,-20.24784,0.87000,-13.88329,0.87000,3.95132,0.87000,-13.02697,0.87000,3.32531
0.88079,0.88000,-34.38108,0.88000,-20.24340,0.88000,-13.88283,0.88000,3.95819,0.88000,-13.01676,0.88000,3.35198
0.89080,0.89000,-34.38598,0.89000,-20.24031,0.89000,-13.88294,0.89000,3.96464,0.89000,-13.00824,0.89000,3.37280
0.90080,0.90000,-34.39107,0.90000,-20.23849,0.90000,-13.88360,0.90000,3.97037,0.90000,-13.00687,0.90000,3.38794
0.91081,0.91000,-34.39619,0.91000,-20.23789,0.91000,-13.88478,0.91000,3.97516,0.91000,-13.00713,0.91000,3.39781
