Tiempo,Flexo-extensión cuello_X,Flexo-extensión cuello_Y,Flexión lateral cuello_X,Flexión lateral cuello_Y,Rotación cuello_X,Rotación cuello_Y
0.00000,0.00000,0.70788,0.00000,-0.35638,0.00000,-0.67419
0.01000,0.01000,0.70843,0.01000,-0.34991,0.01000,-0.59756
0.02000,0.02000,0.71080,0.02000,-0.34114,0.02000,-0.51116
0.03001,0.03000,0.71523,0.03000,-0.32968,0.03000,-0.41723
0.04001,0.04000,0.72182,0.04000,-0.31519,0.04000,-0.31840
0.05001,0.05000,0.73047,0.05000,-0.29733,0.05000,-0.21750
0.06001,0.06000,0.74087,0.06000,-0.27587,0.06000,-0.11728
0.07001,0.07000,0.75259,0.07000,-0.25067,0.07000,-0.02029
0.08001,0.08000,0.76508,0.08000,-0.22178,0.08000,0.07130
0.09001,0.09000,0.77778,0.09000,-0.18941,0.09000,0.15575
0.10002,0.10000,0.79016,0.10000,-0.15395,0.10000,0.23172
0.11002,0.11000,0.80177,0.11000,-0.11595,0.11000,0.29828
0.12002,0.12000,0.81233,0.12000,-0.07609,0.12000,0.35482
0.13002,0.13000,0.82169,0.13000,-0.03508,0.13000,0.40100
0.14002,0.14000,0.82984,0.14000,0.00636,0.14000,0.43665
0.15002,0.15000,0.83690,0.15000,0.04760,0.15000,0.46173
0.16002,0.16000,0.84306,0.16000,0.08810,0.16000,0.47630
0.17003,0.17000,0.84854,0.17000,0.12745,0.17000,0.48046
0.18003,0.18000,0.85353,0.18000,0.16536,0.18000,0.47434
0.19003,0.19000,0.85815,0.19000,0.20159,0.19000,0.45810
0.20003,0.20000,0.86242,0.20000,0.23597,0.20000,0.43190
0.21003,0.21000,0.86620,0.21000,0.26831,0.21000,0.39589
0.22003,0.22000,0.86921,0.22000,0.29837,0.22000,0.35025
0.23004,0.23000,0.87102,0.23000,0.32585,0.23000,0.29513
0.24004,0.24000,0.87108,0.24000,0.35041,0.24000,0.23070
0.25004,0.25000,0.86872,0.25000,0.37167,0.25000,0.15711
0.26004,0.26000,0.86323,0.26000,0.38925,0.26000,0.07455
0.27004,0.27000,0.85389,0.27000,0.40283,0.27000,-0.01675
0.28004,0.28000,0.84002,0.28000,0.41211,0.28000,-0.11647
0.29004,0.29000,0.82109,0.29000,0.41690,0.29000,-0.22415
0.30005,0.30000,0.79673,0.30000,0.41704,0.30000,-0.33917
0.31005,0.31000,0.76678,0.31000,0.41245,0.31000,-0.46063
0.32005,0.32000,0.73132,0.32000,0.40302,0.32000,-0.58741
0.33005,0.33000,0.69065,0.33000,0.38867,0.33000,-0.71813
0.34005,0.34000,0.64525,0.34000,0.36927,0.34000,-0.85116
0.35005,0.35000,0.59576,0.35000,0.34469,0.35000,-0.98472
0.36006,0.36000,0.54290,0.36000,0.31479,0.36000,-1.11690
0.37006,0.37000,0.48740,0.37000,0.27954,0.37000,-1.24577
0.38006,0.38000,0.42995,0.38000,0.23903,0.38000,-1.36948
0.39006,0.39000,0.37113,0.39000,0.19358,0.39000,-1.48626
0.40006,0.40000,0.31140,0.40000,0.14380,0.40000,-1.59459
0.41006,0.41000,0.25106,0.41000,0.09062,0.41000,-1.69314
0.42006,0.42000,0.19032,0.42000,0.03526,0.42000,-1.78089
0.43007,0.43000,0.12931,0.43000,-0.02082,0.43000,-1.85711
0.44007,0.44000,0.06817,0.44000,-0.07604,0.44000,-1.92138
0.45007,0.45000,0.00716,0.45000,-0.12879,0.45000,-1.97361
0.46007,0.46000,-0.05330,0.46000,-0.17763,0.46000,-2.01398
0.47007,0.47000,-0.11254,0.47000,-0.22133,0.47000,-2.04298
0.48007,0.48000,-0.16961,0.48000,-0.25900,0.48000,-2.06133
0.49008,0.49000,-0.22335,0.49000,-0.29008,0.49000,-2.06999
0.50008,0.50000,-0.27243,0.50000,-0.31434,0.50000,-2.07006
0.51008,0.51000,-0.31550,0.51000,-0.33181,0.51000,-2.06273
0.52008,0.52000,-0.35131,0.52000,-0.34269,0.52000,-2.04921
0.53008,0.53000,-0.37894,0.53000,-0.34728,0.53000,-2.03068
0.54008,0.54000,-0.39786,0.54000,-0.34593,0.54000,-2.00820
0.55008,0.55000,-0.40809,0.55000,-0.33892,0.55000,-1.98271
0.56009,0.56000,-0.41015,0.56000,-0.32652,0.56000,-1.95501
0.57009,0.57000,-0.40513,0.57000,-0.30893,0.57000,-1.92579
