Time, Pelvis Rotation, Pelvis Tilt, Pelvis Obliquity, Right Hip Flexion - Extension, Left Hip Flexion - Extension, Right Hip Abduction - Adduction, Left Hip Abduction - Adduction,  Right Hip Rotation,  Left Hip Rotation,  Right Knee Flexion - Extension,  Left Knee Flexion - Extension,  Right Knee Abduction - Adduction,  Left Knee Abduction - Adduction,  Right Knee Rotation,  Left Knee Rotation,  Right Ankle Dorsiflexion - Plantarflexion,  Left Ankle Dorsiflexion - Plantarflexion,  Right Ankle Eversion - Inversion,  Left Ankle Eversion - Inversion,  Right Ankle Abduction - Adduction,  Left Ankle Abduction - Adduction, Neck Flexion - Extension, Neck Lateral Flexion, Neck Rotation, Right Shoulder Flexion - Extension, Left Shoulder Flexion - Extension, Right Shoulder Abduction - Adduction, Left Shoulder Abduction - Adduction, Right Shoulder Rotation, Left Shoulder Rotation, Right Elbow Flexion - Extension, Left Elbow Flexion - Extension, Right Wrist Flexion - Extension, Left Wrist Flexion - Extension, Right Wrist Adduction - Abduction, Left Wrist Adduction - Abduction, Right Wrist Rotation, Left Wrist Rotation, Torso Flexion - Extension, Torso Abduction - Adduction, Torso Rotation, Torso Inclination
0, -0.529824, -0.343948, -0.378892, 0.450632, -0.227872, -0.572823, -0.285149, -2.1126, 0.920627, 0.163773, -0.657912, 1.78558, -0.36879, -0.580154, -0.17144, -5.52991, -0.0483959, 2.64831, 0.0464022, -1.51325, 0.136351, 0.726264, -0.363356, -0.855065, 0.861239, -0.283135, -0.857428, 0.390751, 0.84947, -0.282886, 0.587009, 0.0212914, -0.601557, 0.988251, -0.665783, -0.263745, 1.25262, -5.26823, -0.00678335, 0.465309, 0.977248, 0.465476
0.0100015, -0.4077, -0.328827, -0.381489, 0.391342, -0.22896, -0.476799, -0.296112, -2.07404, 0.901388, 0.168816, -0.650537, 1.76476, -0.358299, -0.474075, -0.186256, -5.18694, -0.0699863, 2.27525, 0.0353246, -1.46164, 0.180689, 0.699673, -0.337711, -0.68502, 0.837709, -0.191393, -0.840772, 0.43311, 0.826454, -0.191339, 0.60473, -0.106944, -0.625414, 1.94227, -0.670583, -0.949177, 1.2572, -5.54194, 0.0101478, 0.489813, 0.980483, 0.489745
0.0200031, -0.289768, -0.313687, -0.390771, 0.333936, -0.223827, -0.382446, -0.297813, -1.99166, 0.883245, 0.178238, -0.640893, 1.71193, -0.350868, -0.392334, -0.200783, -4.86169, -0.0890141, 1.89545, 0.0279103, -1.39796, 0.22963, 0.68169, -0.322045, -0.527305, 0.807998, -0.108629, -0.826257, 0.457906, 0.797319, -0.108924, 0.624887, -0.24242, -0.64884, 2.88199, -0.672047, -1.6089, 1.26835, -5.81722, 0.022326, 0.519423, 0.98517, 0.519519
0.0300046, -0.172794, -0.298308, -0.406144, 0.285632, -0.216646, -0.296783, -0.298698, -1.86269, 0.859791, 0.192718, -0.628882, 1.64388, -0.340843, -0.391136, -0.212898, -4.49972, -0.103468, 1.51421, 0.0257023, -1.32268, 0.281426, 0.676734, -0.315241, -0.385497, 0.773811, -0.0403037, -0.815669, 0.464459, 0.763706, -0.0410307, 0.642395, -0.375708, -0.657695, 3.79447, -0.668403, -2.23868, 1.28147, -6.08661, 0.030399, 0.551196, 0.985821, 0.551512
0.0400061, -0.0610067, -0.280051, -0.424886, 0.244361, -0.212324, -0.223076, -0.304466, -1.70655, 0.834783, 0.212692, -0.614509, 1.57227, -0.323822, -0.381157, -0.22422, -4.09922, -0.11509, 1.13584, 0.0293991, -1.23699, 0.33403, 0.685948, -0.310685, -0.261764, 0.738642, 0.0133769, -0.805023, 0.460459, 0.729204, 0.0122271, 0.651039, -0.506422, -0.649521, 4.64812, -0.660999, -2.81674, 1.27765, -6.3434, 0.0380157, 0.579311, 0.988043, 0.579904
0.0500076, 0.0409373, -0.257116, -0.44442, 0.210624, -0.212696, -0.157326, -0.313004, -1.53298, 0.811059, 0.238305, -0.597869, 1.49725, -0.302963, -0.317612, -0.23703, -3.69201, -0.127552, 0.777042, 0.0403159, -1.14269, 0.38527, 0.704596, -0.303432, -0.15149, 0.694378, 0.0529222, -0.792246, 0.452003, 0.685774, 0.0514005, 0.657254, -0.633015, -0.630788, 5.42513, -0.651533, -3.31358, 1.2574, -6.54961, 0.0458725, 0.605981, 0.986389, 0.606927
0.0600092, 0.131039, -0.226391, -0.463894, 0.173242, -0.217691, -0.0951462, -0.312111, -1.35625, 0.790067, 0.26939, -0.579134, 1.40613, -0.292107, -0.222824, -0.2519, -3.30851, -0.14112, 0.45301, 0.0588071, -1.0421, 0.433028, 0.728082, -0.291977, -0.0489169, 0.633012, 0.0779148, -0.779412, 0.438216, 0.625322, 0.0760698, 0.674592, -0.745439, -0.613226, 6.12846, -0.641542, -3.72053, 1.22689, -6.70267, 0.0605603, 0.629184, 0.979746, 0.631064
0.0700107, 0.209533, -0.189888, -0.482688, 0.138391, -0.227977, -0.0395126, -0.303268, -1.18648, 0.771441, 0.305503, -0.558524, 1.30799, -0.287102, -0.144127, -0.273155, -2.94672, -0.152648, 0.155962, 0.081647, -0.937821, 0.475401, 0.753755, -0.274377, 0.0423037, 0.565475, 0.0883339, -0.755092, 0.4182, 0.558762, 0.0862565, 0.696524, -0.844807, -0.597073, 6.75087, -0.629801, -4.0311, 1.20859, -6.84156, 0.0803952, 0.646269, 0.96482, 0.649907
0.0800122, 0.277072, -0.150004, -0.499322, 0.107959, -0.246232, 0.0122604, -0.297615, -1.02528, 0.758588, 0.345967, -0.536278, 1.21832, -0.277023, -0.0765076, -0.30014, -2.60455, -0.163133, -0.128857, 0.106842, -0.832438, 0.510833, 0.778645, -0.248979, 0.116895, 0.507026, 0.0861726, -0.719942, 0.394857, 0.501197, 0.0840037, 0.711528, -0.927533, -0.588391, 7.28289, -0.621301, -4.26491, 1.21626, -6.9522, 0.100954, 0.652621, 0.934728, 0.658755
0.0900137, 0.332285, -0.108764, -0.513637, 0.080507, -0.268598, 0.0667191, -0.292282, -0.905017, 0.7399, 0.389944, -0.512626, 1.12175, -0.268021, -0.00466156, -0.316986, -2.27157, -0.177754, -0.395056, 0.136793, -0.728233, 0.538197, 0.799889, -0.214672, 0.178539, 0.461955, 0.0765717, -0.690193, 0.373659, 0.456675, 0.0744132, 0.716763, -0.985885, -0.591751, 7.72505, -0.618516, -4.45934, 1.22695, -7.05158, 0.120314, 0.649845, 0.894287, 0.659045
