Tiempo,Flexo-extensión rodilla derecha_X,Flexo-extensión rodilla derecha_Y,Flexo-extensión rodilla izquierda_X,Flexo-extensión rodilla izquierda_Y,Abducción-aducción rodilla derecha_X,Abducción-aducción rodilla derecha_Y,Abducción-aducción rodilla izquierda_X,Abducción-aducción rodilla izquierda_Y,Rotación rodilla derecha_X,Rotación rodilla derecha_Y,Rotación rodilla izquierda_X,Rotación rodilla izquierda_Y
0.00000,0.00000,-1.21340,0.00000,-1.50630,0.00000,-0.05736,0.00000,0.23987,0.00000,0.33606,0.00000,0.43653
0.01000,0.01000,-1.21153,0.01000,-1.50115,0.01000,-0.05690,0.01000,0.23729,0.01000,0.33500,0.01000,0.43204
0.02000,0.02000,-1.20903,0.02000,-1.49567,0.02000,-0.05630,0.02000,0.23426,0.02000,0.34333,0.02000,0.42746
0.03000,0.03000,-1.20591,0.03000,-1.49014,0.03000,-0.05558,0.03000,0.23087,0.03000,0.35095,0.03000,0.42302
0.04001,0.04000,-1.20229,0.04000,-1.48486,0.04000,-0.05475,0.04000,0.22729,0.04000,0.35557,0.04000,0.41898
0.05001,0.05000,-1.19831,0.05000,-1.48013,0.05000,-0.05386,0.05000,0.22370,0.05000,0.36511,0.05000,0.41552
0.06001,0.06000,-1.19418,0.06000,-1.47621,0.06000,-0.05294,0.06000,0.22031,0.06000,0.37753,0.06000,0.41280
0.07001,0.07000,-1.19013,0.07000,-1.47331,0.07000,-0.05204,0.07000,0.21732,0.07000,0.38374,0.07000,0.41090
0.08001,0.08000,-1.18634,0.08000,-1.47155,0.08000,-0.05118,0.08000,0.21491,0.08000,0.38882,0.08000,0.40982
0.09001,0.09000,-1.18300,0.09000,-1.47096,0.09000,-0.05041,0.09000,0.21318,0.09000,0.39092,0.09000,0.40951
0.10002,0.10000,-1.18021,0.10000,-1.47145,0.10000,-0.04974,0.10000,0.21220,0.10000,0.38548,0.10000,0.40983
0.11002,0.11000,-1.17801,0.11000,-1.47285,0.11000,-0.04920,0.11000,0.21197,0.11000,0.37620,0.11000,0.41060
0.12002,0.12000,-1.17638,0.12000,-1.47492,0.12000,-0.04882,0.12000,0.21243,0.12000,0.36591,0.12000,0.41162
0.13002,0.13000,-1.17526,0.13000,-1.47735,0.13000,-0.04862,0.13000,0.21348,0.13000,0.35204,0.13000,0.41263
0.14002,0.14000,-1.17453,0.14000,-1.47983,0.14000,-0.04861,0.14000,0.21500,0.14000,0.34222,0.14000,0.41339
0.15002,0.15000,-1.17411,0.15000,-1.48205,0.15000,-0.04883,0.15000,0.21685,0.15000,0.34021,0.15000,0.41368
