Tiempo,Flexo-extensión hombro derecho_X,Flexo-extensión hombro derecho_Y,Flexo-extensión hombro izquierdo_X,Flexo-extensión hombro izquierdo_Y,Abducción-aducción hombro derecho_X,Abducción-aducción hombro derecho_Y,Abducción-aducción hombro izquierdo_X,Abducción-aducción hombro izquierdo_Y,Rotación hombro derecho_X,Rotación hombro derecho_Y,Rotación hombro izquierdo_X,Rotación hombro izquierdo_Y
0.00000,0.00000,-0.19370,0.00000,-0.09971,0.00000,0.19688,0.00000,-0.34427,0.00000,-0.19421,0.00000,-0.09969
0.01001,0.01000,-0.19288,0.01000,-0.09895,0.01000,0.20019,0.01000,-0.34501,0.01000,-0.19339,0.01000,-0.09893
0.02001,0.02000,-0.19249,0.02000,-0.09852,0.02000,0.20367,0.02000,-0.34573,0.02000,-0.19301,0.02000,-0.09851
0.03001,0.03000,-0.19271,0.03000,-0.09853,0.03000,0.20720,0.03000,-0.34641,0.03000,-0.19322,0.03000,-0.09853
0.04002,0.04000,-0.19365,0.04000,-0.09908,0.04000,0.21069,0.04000,-0.34698,0.04000,-0.19416,0.04000,-0.09908
0.05002,0.05000,-0.19540,0.05000,-0.10021,0.05000,0.21409,0.05000,-0.34742,0.05000,-0.19591,0.05000,-0.10021
0.06003,0.06000,-0.19800,0.06000,-0.10191,0.06000,0.21738,0.06000,-0.34770,0.06000,-0.19851,0.06000,-0.10191
0.07003,0.07000,-0.20142,0.07000,-0.10414,0.07000,0.22059,0.07000,-0.34781,0.07000,-0.20193,0.07000,-0.10413
0.08004,0.08000,-0.20559,0.08000,-0.10677,0.08000,0.22378,0.08000,-0.34774,0.08000,-0.20610,0.08000,-0.10674
0.09004,0.09000,-0.21037,0.09000,-0.10963,0.09000,0.22701,0.09000,-0.34750,0.09000,-0.21088,0.09000,-0.10958
0.10005,0.10000,-0.21558,0.10000,-0.11252,0.10000,0.23038,0.10000,-0.34710,0.10000,-0.21609,0.10000,-0.11245
0.11005,0.11000,-0.22103,0.11000,-0.11525,0.11000,0.23395,0.11000,-0.34657,0.11000,-0.22154,0.11000,-0.11516
0.12006,0.12000,-0.22653,0.12000,-0.11762,0.12000,0.23780,0.12000,-0.34590,0.12000,-0.22704,0.12000,-0.11751
0.13006,0.13000,-0.23189,0.13000,-0.11947,0.13000,0.24196,0.13000,-0.34508,0.13000,-0.23240,0.13000,-0.11935
0.14007,0.14000,-0.23693,0.14000,-0.12068,0.14000,0.24646,0.14000,-0.34411,0.14000,-0.23745,0.14000,-0.12055
0.15007,0.15000,-0.24152,0.15000,-0.12120,0.15000,0.25131,0.15000,-0.34295,0.15000,-0.24204,0.15000,-0.12105
0.16007,0.16000,-0.24553,0.16000,-0.12099,0.16000,0.25654,0.16000,-0.34156,0.16000,-0.24606,0.16000,-0.12082
0.17008,0.17000,-0.24886,0.17000,-0.12009,0.17000,0.26214,0.17000,-0.33992,0.17000,-0.24940,0.17000,-0.11991
0.18008,0.18000,-0.25144,0.18000,-0.11858,0.18000,0.26813,0.18000,-0.33802,0.18000,-0.25201,0.18000,-0.11840
0.19009,0.19000,-0.25326,0.19000,-0.11659,0.19000,0.27454,0.19000,-0.33586,0.19000,-0.25384,0.19000,-0.11639
0.20009,0.20000,-0.25431,0.20000,-0.11425,0.20000,0.28140,0.20000,-0.33348,0.20000,-0.25492,0.20000,-0.11405
