Tiempo,Rotación pelvis_X,Rotación pelvis_Y,Inclinación pelvis_X,Inclinación pelvis_Y,Oblicuidad pelvis_X,Oblicuidad pelvis_Y
0.00000,0.00000,-0.45877,0.00000,0.18207,0.00000,-0.54552
0.01000,0.01000,-0.46288,0.01000,0.18409,0.01000,-0.54528
0.02001,0.02000,-0.46759,0.02000,0.18621,0.02000,-0.54516
0.03001,0.03000,-0.47278,0.03000,0.18830,0.03000,-0.54519
0.04002,0.04000,-0.47825,0.04000,0.19024,0.04000,-0.54541
0.05002,0.05000,-0.48379,0.05000,0.19191,0.05000,-0.54582
0.06002,0.06000,-0.48917,0.06000,0.19321,0.06000,-0.54640
0.07003,0.07000,-0.49417,0.07000,0.19406,0.07000,-0.54712
0.08003,0.08000,-0.49857,0.08000,0.19446,0.08000,-0.54792
0.09003,0.09000,-0.50222,0.09000,0.19442,0.09000,-0.54872
0.10004,0.10000,-0.50503,0.10000,0.19402,0.10000,-0.54942
0.11004,0.11000,-0.50695,0.11000,0.19339,0.11000,-0.54992
0.12005,0.12000,-0.50801,0.12000,0.19265,0.12000,-0.55010
0.13005,0.13000,-0.50831,0.13000,0.19198,0.13000,-0.54988
0.14005,0.14000,-0.50800,0.14000,0.19152,0.14000,-0.54917
0.15006,0.15000,-0.50726,0.15000,0.19139,0.15000,-0.54793
0.16006,0.16000,-0.50631,0.16000,0.19167,0.16000,-0.54616
0.17006,0.17000,-0.50538,0.17000,0.19238,0.17000,-0.54391
0.18007,0.18000,-0.50471,0.18000,0.19348,0.18000,-0.54128
0.19007,0.19000,-0.50450,0.19000,0.19485,0.19000,-0.53843
0.20008,0.20000,-0.50491,0.20000,0.19633,0.20000,-0.53557
0.21008,0.21000,-0.50605,0.21000,0.19768,0.21000,-0.53292
0.22008,0.22000,-0.50798,0.22000,0.19868,0.22000,-0.53072
0.23009,0.23000,-0.51068,0.23000,0.19909,0.23000,-0.52919
0.24009,0.24000,-0.51405,0.24000,0.19871,0.24000,-0.52848
0.25009,0.25000,-0.51796,0.25000,0.19739,0.25000,-0.52868
0.26010,0.26000,-0.52222,0.26000,0.19508,0.26000,-0.52981
0.27010,0.27000,-0.52660,0.27000,0.19180,0.27000,-0.53180
0.28011,0.28000,-0.53088,0.28000,0.18764,0.28000,-0.53451
0.29011,0.29000,-0.53482,0.29000,0.18277,0.29000,-0.53773
0.30011,0.30000,-0.53823,0.30000,0.17741,0.30000,-0.54123
0.31012,0.31000,-0.54092,0.31000,0.17182,0.31000,-0.54477
0.32012,0.32000,-0.54273,0.32000,0.16628,0.32000,-0.54815
0.33012,0.33000,-0.54354,0.33000,0.16105,0.33000,-0.55116
0.34013,0.34000,-0.54323,0.34000,0.15638,0.34000,-0.55368
0.35013,0.35000,-0.54173,0.35000,0.15251,0.35000,-0.55559
0.36014,0.36000,-0.53898,0.36000,0.14962,0.36000,-0.55687
0.37014,0.37000,-0.53498,0.37000,0.14784,0.37000,-0.55752
0.38014,0.38000,-0.52976,0.38000,0.14724,0.38000,-0.55760
0.39015,0.39000,-0.52341,0.39000,0.14786,0.39000,-0.55720
0.40015,0.40000,-0.51608,0.40000,0.14964,0.40000,-0.55644
0.41015,0.41000,-0.50794,0.41000,0.15248,0.41000,-0.55546
0.42016,0.42000,-0.49921,0.42000,0.15622,0.42000,-0.55438
0.43016,0.43000,-0.49011,0.43000,0.16064,0.43000,-0.55334
0.44016,0.44000,-0.48082,0.44000,0.16550,0.44000,-0.55242
0.45017,0.45000,-0.47151,0.45000,0.17052,0.45000,-0.55169
0.46017,0.46000,-0.46231,0.46000,0.17543,0.46000,-0.55116
0.47018,0.47000,-0.45331,0.47000,0.17997,0.47000,-0.55081
0.48018,0.48000,-0.44457,0.48000,0.18390,0.48000,-0.55057
0.49018,0.49000,-0.43617,0.49000,0.18704,0.49000,-0.55034
0.50019,0.50000,-0.42817,0.50000,0.18926,0.50000,-0.54999
0.51019,0.51000,-0.42062,0.51000,0.19050,0.51000,-0.54941
0.52019,0.52000,-0.41360,0.52000,0.19078,0.52000,-0.54846
0.53020,0.53000,-0.40717,0.53000,0.19018,0.53000,-0.54704
0.54020,0.54000,-0.40136,0.54000,0.18885,0.54000,-0.54506
0.55021,0.55000,-0.39619,0.55000,0.18701,0.55000,-0.54251
0.56021,0.56000,-0.39163,0.56000,0.18493,0.56000,-0.53935
0.57021,0.57000,-0.38760,0.57000,0.18287,0.57000,-0.53564
0.58022,0.58000,-0.38399,0.58000,0.18112,0.58000,-0.53144
0.59022,0.59000,-0.38063,0.59000,0.17994,0.59000,-0.52683
0.60022,0.60000,-0.37731,0.60000,0.17954,0.60000,-0.52192
0.61023,0.61000,-0.37381,0.61000,0.18007,0.61000,-0.51682
0.62023,0.62000,-0.36990,0.62000,0.18162,0.62000,-0.51162
0.63024,0.63000,-0.36540,0.63000,0.18421,0.63000,-0.50644
0.64024,0.64000,-0.36016,0.64000,0.18779,0.64000,-0.50137
0.65024,0.65000,-0.35413,0.65000,0.19223,0.65000,-0.49647
0.66025,0.66000,-0.34733,0.66000,0.19737,0.66000,-0.49182
0.67025,0.67000,-0.33990,0.67000,0.20296,0.67000,-0.48747
0.68025,0.68000,-0.33206,0.68000,0.20876,0.68000,-0.48345
0.69026,0.69000,-0.32409,0.69000,0.21451,0.69000,-0.47978
0.70026,0.70000,-0.31631,0.70000,0.21993,0.70000,-0.47644
0.71027,0.71000,-0.30906,0.71000,0.22480,0.71000,-0.47342
0.72027,0.72000,-0.30268,0.72000,0.22890,0.72000,-0.47068
0.73027,0.73000,-0.29741,0.73000,0.23211,0.73000,-0.46814
0.74028,0.74000,-0.29348,0.74000,0.23435,0.74000,-0.46574
0.75028,0.75000,-0.29099,0.75000,0.23560,0.75000,-0.46341
0.76028,0.76000,-0.28994,0.76000,0.23593,0.76000,-0.46108
0.77029,0.77000,-0.29024,0.77000,0.23544,0.77000,-0.45870
0.78029,0.78000,-0.29168,0.78000,0.23428,0.78000,-0.45623
0.79030,0.79000,-0.29400,0.79000,0.23264,0.79000,-0.45365
0.80030,0.80000,-0.29687,0.80000,0.23070,0.80000,-0.45097
0.81030,0.81000,-0.29993,0.81000,0.22864,0.81000,-0.44821
0.82031,0.82000,-0.30284,0.82000,0.22662,0.82000,-0.44541
0.83031,0.83000,-0.30532,0.83000,0.22476,0.83000,-0.44263
0.84031,0.84000,-0.30716,0.84000,0.22314,0.84000,-0.43993
