Tiempo,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión codo izquierdo_X,Flexo-extensión codo izquierdo_Y
0.00000,0.00000,-0.02801,0.00000,0.07620
0.01000,0.01000,-0.02891,0.01000,0.07624
0.02000,0.02000,-0.02972,0.02000,0.07595
0.03000,0.03000,-0.03032,0.03000,0.07528
0.04001,0.04000,-0.03061,0.04000,0.07417
0.05001,0.05000,-0.03050,0.05000,0.07263
0.06001,0.06000,-0.02988,0.06000,0.07067
0.07001,0.07000,-0.02871,0.07000,0.06838
0.08001,0.08000,-0.02696,0.08000,0.06584
0.09001,0.09000,-0.02465,0.09000,0.06317
0.10002,0.10000,-0.02186,0.10000,0.06050
0.11002,0.11000,-0.01871,0.11000,0.05797
0.12002,0.12000,-0.01536,0.12000,0.05569
0.13002,0.13000,-0.01201,0.13000,0.05377
0.14002,0.14000,-0.00886,0.14000,0.05229
0.15002,0.15000,-0.00611,0.15000,0.05132
0.16002,0.16000,-0.00393,0.16000,0.05088
0.17003,0.17000,-0.00246,0.17000,0.05097
0.18003,0.18000,-0.00174,0.18000,0.05157
0.19003,0.19000,-0.00177,0.19000,0.05266
0.20003,0.20000,-0.00247,0.20000,0.05418
0.21003,0.21000,-0.00372,0.21000,0.05608
0.22003,0.22000,-0.00534,0.22000,0.05833
0.23003,0.23000,-0.00712,0.23000,0.06087
0.24004,0.24000,-0.00887,0.24000,0.06365
0.25004,0.25000,-0.01043,0.25000,0.06660
0.26004,0.26000,-0.01164,0.26000,0.06963
0.27004,0.27000,-0.01244,0.27000,0.07264
0.28004,0.28000,-0.01276,0.28000,0.07552
0.29004,0.29000,-0.01261,0.29000,0.07815
0.30005,0.30000,-0.01202,0.30000,0.08041
0.31005,0.31000,-0.01106,0.31000,0.08217
0.32005,0.32000,-0.00980,0.32000,0.08334
0.33005,0.33000,-0.00833,0.33000,0.08386
0.34005,0.34000,-0.00675,0.34000,0.08368
0.35005,0.35000,-0.00514,0.35000,0.08281
0.36005,0.36000,-0.00359,0.36000,0.08131
0.37006,0.37000,-0.00218,0.37000,0.07928
0.38006,0.38000,-0.00097,0.38000,0.07687
0.39006,0.39000,-0.00001,0.39000,0.07428
0.40006,0.40000,0.00066,0.40000,0.07173
0.41006,0.41000,0.00103,0.41000,0.06945
0.42006,0.42000,0.00109,0.42000,0.06764
0.43006,0.43000,0.00086,0.43000,0.06649
0.44007,0.44000,0.00039,0.44000,0.06615
0.45007,0.45000,-0.00027,0.45000,0.06669
0.46007,0.46000,-0.00103,0.46000,0.06816
0.47007,0.47000,-0.00181,0.47000,0.07053
0.48007,0.48000,-0.00251,0.48000,0.07373
0.49007,0.49000,-0.00303,0.49000,0.07764
0.50007,0.50000,-0.00330,0.50000,0.08213
0.51008,0.51000,-0.00323,0.51000,0.08701
0.52008,0.52000,-0.00279,0.52000,0.09211
0.53008,0.53000,-0.00193,0.53000,0.09723
0.54008,0.54000,-0.00068,0.54000,0.10217
0.55008,0.55000,0.00096,0.55000,0.10676
0.56008,0.56000,0.00295,0.56000,0.11082
0.57009,0.57000,0.00522,0.57000,0.11420
0.58009,0.58000,0.00771,0.58000,0.11676
0.59009,0.59000,0.01036,0.59000,0.11842
