Tiempo,Flexo-extensión torso_X,Flexo-extensión torso_Y,Flexión lateral torso_X,Flexión lateral torso_Y,Rotación torso_X,Rotación torso_Y,Inclinación torso_X,Inclinación torso_Y
0.00000,0.00000,-0.04151,0.00000,0.23656,0.00000,0.22486,0.00000,0.24027
0.01000,0.01000,-0.03779,0.01000,0.23531,0.01000,0.22724,0.01000,0.23817
0.02000,0.02000,-0.03342,0.02000,0.23366,0.02000,0.23045,0.02000,0.23557
0.03000,0.03000,-0.02841,0.03000,0.23157,0.03000,0.23450,0.03000,0.23251
0.04001,0.04000,-0.02282,0.04000,0.22906,0.04000,0.23930,0.04000,0.22906
0.05001,0.05000,-0.01667,0.05000,0.22615,0.05000,0.24470,0.05000,0.22533
0.06001,0.06000,-0.00995,0.06000,0.22288,0.06000,0.25044,0.06000,0.22147
0.07001,0.07000,-0.00265,0.07000,0.21929,0.07000,0.25620,0.07000,0.21762
0.08001,0.08000,0.00530,0.08000,0.21542,0.08000,0.26163,0.08000,0.21396
0.09001,0.09000,0.01398,0.09000,0.21133,0.09000,0.26631,0.09000,0.21066
0.10001,0.10000,0.02345,0.10000,0.20706,0.10000,0.26988,0.10000,0.20786
0.11002,0.11000,0.03378,0.11000,0.20261,0.11000,0.27196,0.11000,0.20568
0.12002,0.12000,0.04497,0.12000,0.19801,0.12000,0.27227,0.12000,0.20421
0.13002,0.13000,0.05696,0.13000,0.19327,0.13000,0.27062,0.13000,0.20350
0.14002,0.14000,0.06962,0.14000,0.18838,0.14000,0.26691,0.14000,0.20355
0.15002,0.15000,0.08278,0.15000,0.18334,0.15000,0.26114,0.15000,0.20433
0.16002,0.16000,0.09620,0.16000,0.17817,0.16000,0.25344,0.16000,0.20578
0.17002,0.17000,0.10962,0.17000,0.17288,0.17000,0.24403,0.17000,0.20778
0.18002,0.18000,0.12279,0.18000,0.16749,0.18000,0.23318,0.18000,0.21024
0.19003,0.19000,0.13548,0.19000,0.16204,0.19000,0.22122,0.19000,0.21305
0.20003,0.20000,0.14753,0.20000,0.15656,0.20000,0.20848,0.20000,0.21611
0.21003,0.21000,0.15883,0.21000,0.15112,0.21000,0.19528,0.21000,0.21938
0.22003,0.22000,0.16935,0.22000,0.14575,0.22000,0.18192,0.22000,0.22281
0.23003,0.23000,0.17915,0.23000,0.14050,0.23000,0.16862,0.23000,0.22644
0.24003,0.24000,0.18834,0.24000,0.13543,0.24000,0.15557,0.24000,0.23030
0.25003,0.25000,0.19709,0.25000,0.13055,0.25000,0.14291,0.25000,0.23447
0.26004,0.26000,0.20557,0.26000,0.12590,0.26000,0.13075,0.26000,0.23903
0.27004,0.27000,0.21396,0.27000,0.12148,0.27000,0.11918,0.27000,0.24407
0.28004,0.28000,0.22242,0.28000,0.11727,0.28000,0.10827,0.28000,0.24964
0.29004,0.29000,0.23110,0.29000,0.11324,0.29000,0.09808,0.29000,0.25580
0.30004,0.30000,0.24011,0.30000,0.10936,0.30000,0.08867,0.30000,0.26259
0.31004,0.31000,0.24954,0.31000,0.10555,0.31000,0.08008,0.31000,0.27001
0.32004,0.32000,0.25947,0.32000,0.10174,0.32000,0.07232,0.32000,0.27809
0.33004,0.33000,0.26993,0.33000,0.09785,0.33000,0.06539,0.33000,0.28683
0.34005,0.34000,0.28096,0.34000,0.09382,0.34000,0.05924,0.34000,0.29621
0.35005,0.35000,0.29254,0.35000,0.08959,0.35000,0.05380,0.35000,0.30622
0.36005,0.36000,0.30465,0.36000,0.08513,0.36000,0.04896,0.36000,0.31679
0.37005,0.37000,0.31719,0.37000,0.08044,0.37000,0.04460,0.37000,0.32784
