Index	PelvisX	PelvisY	PelvisZ	PelvisW	Left_ThighX	Left_ThighY	Left_ThighZ	Left_ThighW	Left_CalfX	Left_CalfY	Left_CalfZ	Left_CalfW	Left_FootX	Left_FootY	Left_FootZ	Left_FootW	Right_ThighX	Right_ThighY	Right_ThighZ	Right_ThighW	Right_CalfX	Right_CalfY	Right_CalfZ	Right_CalfW	Right_FootX	Right_FootY	Right_FootZ	Right_FootW	DorsalX	DorsalY	DorsalZ	DorsalW	Left_ArmX	Left_ArmY	Left_ArmZ	Left_ArmW	Left_ForearmX	Left_ForearmY	Left_ForearmZ	Left_ForearmW	Left_HandX	Left_HandY	Left_HandZ	Left_HandW	Right_ArmX	Right_ArmY	Right_ArmZ	Right_ArmW	Right_ForearmX	Right_ForearmY	Right_ForearmZ	Right_ForearmW	Right_HandX	Right_HandY	Right_HandZ	Right_HandW	HeadX	HeadY	HeadZ	HeadW
0	0.332918	0.62322	0.628017	0.326125	0.331505	0.628867	0.622655	0.327005	0.334149	0.625778	0.62397	0.327731	0.330274	0.626441	0.624398	0.329572	0.331503	0.628514	0.622773	0.327461	0.332934	0.628073	0.621888	0.328534	0.331802	0.625335	0.624696	0.329573	0.332001	0.621366	0.628992	0.328707	-0.204605	0.677258	0.213078	0.673837	-0.19877	0.679857	0.205544	0.675304	-0.196214	0.680497	0.199262	0.677288	0.677116	0.201868	0.676853	-0.206477	0.676599	0.205177	0.675203	-0.21028	0.676085	0.217619	0.66815	-0.221648	0.332808	0.62896	0.624546	0.321856
0.01	0.332784	0.623218	0.628092	0.326119	0.331478	0.628831	0.622696	0.327023	0.334138	0.625837	0.62391	0.327745	0.330245	0.626483	0.624383	0.329551	0.331488	0.628501	0.622805	0.327439	0.332814	0.628144	0.621945	0.328411	0.331745	0.625342	0.624712	0.329586	0.332004	0.621298	0.629018	0.328784	-0.204669	0.677173	0.213098	0.673896	-0.198889	0.679753	0.205582	0.675363	-0.196402	0.680381	0.199473	0.677288	0.677059	0.201864	0.676899	-0.206517	0.676488	0.205	0.675383	-0.210232	0.676327	0.21721	0.668	-0.22176	0.332716	0.628808	0.624694	0.32196
0.02	0.332689	0.623212	0.628126	0.326164	0.331438	0.628833	0.622715	0.327023	0.334094	0.62592	0.623854	0.327735	0.330221	0.626501	0.62439	0.329527	0.331466	0.628491	0.622844	0.327408	0.332654	0.628236	0.622001	0.328292	0.331695	0.625354	0.624725	0.329589	0.332009	0.621238	0.629032	0.328863	-0.204721	0.677091	0.213094	0.673964	-0.199018	0.679663	0.205617	0.675405	-0.196651	0.680278	0.199676	0.677259	0.676998	0.20179	0.676979	-0.206528	0.676356	0.204691	0.675628	-0.210168	0.676479	0.216927	0.667894	-0.221892	0.332626	0.628658	0.624816	0.322109
0.03	0.33261	0.623211	0.628139	0.326221	0.331352	0.628899	0.622719	0.326976	0.334035	0.626008	0.6238	0.327731	0.330198	0.626526	0.624384	0.329512	0.331458	0.628468	0.622876	0.327398	0.332519	0.628305	0.622049	0.328206	0.331635	0.625362	0.624748	0.329592	0.332008	0.621176	0.629053	0.328944	-0.204768	0.677006	0.213065	0.674044	-0.199138	0.679585	0.20562	0.675447	-0.196911	0.68021	0.199884	0.67719	0.676922	0.201679	0.677095	-0.206507	0.676198	0.204341	0.675901	-0.210142	0.676501	0.216805	0.667871	-0.222014	0.33252	0.628545	0.624899	0.322277
0.04	0.332536	0.623211	0.62815	0.326276	0.331183	0.629008	0.622734	0.326907	0.333981	0.626078	0.623758	0.327732	0.330178	0.62654	0.624397	0.329482	0.33146	0.628443	0.622889	0.32742	0.332404	0.628337	0.622101	0.328162	0.331596	0.625357	0.624773	0.329592	0.331991	0.621091	0.629093	0.329044	-0.204832	0.676923	0.213007	0.674127	-0.199262	0.679519	0.205602	0.675482	-0.197223	0.680164	0.200086	0.677086	0.676822	0.20156	0.677244	-0.20646	0.676026	0.204033	0.676149	-0.210197	0.676383	0.216789	0.667964	-0.222108	0.332421	0.62844	0.624979	0.322429
0.05	0.332479	0.623202	0.628163	0.326324	0.330998	0.62912	0.622758	0.326835	0.333915	0.626142	0.623743	0.327706	0.330158	0.626551	0.624404	0.329469	0.331462	0.628416	0.622887	0.327472	0.332327	0.62832	0.622166	0.32815	0.331557	0.62536	0.624802	0.329571	0.331947	0.621009	0.629145	0.329144	-0.204911	0.676849	0.212918	0.674205	-0.199385	0.679479	0.205578	0.675494	-0.197543	0.680124	0.200264	0.676981	0.676712	0.201443	0.677405	-0.206407	0.675855	0.203829	0.676347	-0.210307	0.676113	0.216911	0.668163	-0.222212	0.332352	0.628336	0.625048	0.322569
0.06	0.332437	0.623186	0.628175	0.326376	0.33092	0.62918	0.622742	0.326829	0.333832	0.626188	0.623772	0.327648	0.330129	0.626563	0.624415	0.329455	0.331471	0.628381	0.622889	0.327526	0.332276	0.62828	0.622222	0.328173	0.331499	0.625373	0.624827	0.329558	0.331891	0.620918	0.629209	0.32925	-0.204986	0.67679	0.212798	0.67428	-0.199521	0.679443	0.205563	0.675494	-0.197824	0.6801	0.200404	0.676881	0.676602	0.201355	0.677552	-0.206372	0.675731	0.203671	0.67649	-0.210397	0.67569	0.217279	0.668422	-0.222362	0.332294	0.628246	0.625099	0.322705
0.07	0.332418	0.623156	0.628191	0.32642	0.330825	0.629221	0.622753	0.326825	0.333739	0.626219	0.623824	0.327585	0.330114	0.626571	0.624426	0.329431	0.331473	0.628342	0.622904	0.327571	0.332227	0.628223	0.622299	0.328184	0.331444	0.625382	0.624853	0.329546	0.331828	0.620838	0.629269	0.329349	-0.205071	0.676746	0.212657	0.674343	-0.199707	0.679403	0.205583	0.675474	-0.198111	0.680068	0.200504	0.6768	0.676499	0.201324	0.677654	-0.206405	0.675619	0.203521	0.676644	-0.210407	0.67515	0.217907	0.668716	-0.222503	0.332249	0.628136	0.625165	0.322838
0.08	0.332412	0.623141	0.628195	0.326448	0.330759	0.62922	0.622779	0.326844	0.333658	0.626225	0.623886	0.327538	0.330106	0.626558	0.624452	0.329415	0.33146	0.628303	0.622938	0.327595	0.332151	0.628199	0.62238	0.328153	0.331377	0.625396	0.624883	0.32953	0.331761	0.620769	0.629324	0.329442	-0.20516	0.676713	0.212518	0.674392	-0.199892	0.679371	0.205621	0.675439	-0.198337	0.680032	0.20052	0.676765	0.676412	0.201342	0.677708	-0.206496	0.675492	0.203527	0.676742	-0.210495	0.674514	0.218702	0.669067	-0.222597	0.332223	0.628008	0.625232	0.322984
0.09	0.332418	0.623127	0.628193	0.326473	0.330714	0.629205	0.622809	0.326861	0.333604	0.626193	0.623963	0.327508	0.330088	0.626551	0.624475	0.329403	0.331424	0.628284	0.622988	0.327572	0.332086	0.628166	0.622453	0.328145	0.331325	0.625409	0.624907	0.329512	0.331689	0.62071	0.629372	0.329533	-0.205244	0.676679	0.21241	0.674434	-0.200098	0.679336	0.205651	0.675405	-0.198426	0.680025	0.200507	0.67675	0.676334	0.201386	0.677741	-0.206601	0.675391	0.203676	0.676763	-0.210608	0.673812	0.219635	0.669438	-0.222689	0.332237	0.627838	0.625304	0.323161
0.1	0.332441	0.623105	0.62819	0.326498	0.33068	0.629172	0.622833	0.326913	0.333558	0.62614	0.624053	0.327484	0.330108	0.62652	0.624486	0.329422	0.331375	0.628287	0.623038	0.327521	0.332015	0.628116	0.622545	0.328138	0.331332	0.62537	0.624911	0.329572	0.331647	0.620652	0.629395	0.329639	-0.205354	0.676645	0.212331	0.674461	-0.200272	0.679305	0.205656	0.675383	-0.198478	0.680034	0.200528	0.676719	0.676275	0.201457	0.677739	-0.206731	0.675307	0.20395	0.676728	-0.210722	0.673131	0.220611	0.66978	-0.222755	0.332247	0.627657	0.625385	0.323345
0.11	0.332457	0.623111	0.628163	0.326522	0.330641	0.629162	0.622862	0.326916	0.333524	0.626076	0.624147	0.327462	0.33012	0.626477	0.624496	0.329472	0.331347	0.628276	0.623082	0.327487	0.331956	0.628077	0.622618	0.328132	0.331355	0.625331	0.624894	0.329655	0.331615	0.620625	0.629396	0.329723	-0.20547	0.676623	0.21227	0.674466	-0.200384	0.679287	0.205649	0.675369	-0.198505	0.680043	0.20062	0.676675	0.676242	0.201565	0.677694	-0.206879	0.675253	0.204327	0.676636	-0.210823	0.672546	0.221466	0.670093	-0.222733	0.332247	0.627477	0.625471	0.323527
0.12	0.332476	0.623136	0.628106	0.326564	0.330635	0.629139	0.622887	0.326918	0.333509	0.625996	0.624232	0.327467	0.33014	0.626445	0.624491	0.329521	0.331334	0.628249	0.62312	0.327477	0.331936	0.628002	0.622681	0.328177	0.331407	0.625268	0.624887	0.329735	0.33157	0.620645	0.629372	0.329774	-0.205555	0.676606	0.212241	0.674467	-0.200402	0.679294	0.205616	0.675367	-0.198585	0.679984	0.200851	0.676642	0.676232	0.2017	0.677625	-0.207006	0.675269	0.204737	0.676477	-0.210887	0.672093	0.222108	0.670383	-0.222588	0.332241	0.627277	0.625586	0.323698
0.13	0.332501	0.62316	0.628043	0.326615	0.33065	0.629111	0.622906	0.326923	0.333516	0.62589	0.624312	0.32751	0.330158	0.626417	0.624484	0.329572	0.331324	0.628227	0.623148	0.327478	0.331914	0.627907	0.622756	0.328238	0.331434	0.625217	0.624873	0.329833	0.331531	0.620698	0.629333	0.329788	-0.205622	0.6766	0.21223	0.674456	-0.200401	0.679308	0.205602	0.675358	-0.198675	0.679887	0.201044	0.676656	0.676246	0.201835	0.677539	-0.207111	0.675355	0.205105	0.676272	-0.210913	0.671789	0.222481	0.670667	-0.222278	0.332189	0.627117	0.625699	0.323845
