Tiempo,Flexo-extensión muñeca derecha_X,Flexo-extensión muñeca derecha_Y,Flexo-extensión muñeca izquierda_X,Flexo-extensión muñeca izquierda_Y,Abducción-aducción muñeca derecha_X,Abducción-aducción muñeca derecha_Y,Abducción-aducción muñeca izquierda_X,Abducción-aducción muñeca izquierda_Y,Rotación muñeca derecha_X,Rotación muñeca derecha_Y,Rotación muñeca izquierda_X,Rotación muñeca izquierda_Y
0.00000,0.00000,-0.32776,0.00000,-0.06819,0.00000,0.05590,0.00000,0.01198,0.00000,0.19285,0.00000,0.74604
0.01001,0.01000,-0.32862,0.01000,-0.06318,0.01000,0.05218,0.01000,0.00717,0.01000,0.19545,0.01000,0.74884
0.02001,0.02000,-0.32953,0.02000,-0.05835,0.02000,0.04796,0.02000,0.00288,0.02000,0.19894,0.02000,0.75184
0.03002,0.03000,-0.33040,0.03000,-0.05398,0.03000,0.04343,0.03000,-0.00060,0.03000,0.20321,0.03000,0.75498
0.04002,0.04000,-0.33111,0.04000,-0.05030,0.04000,0.03881,0.04000,-0.00303,0.04000,0.20806,0.04000,0.75818
0.05003,0.05000,-0.33154,0.05000,-0.04748,0.05000,0.03439,0.05000,-0.00431,0.05000,0.21318,0.05000,0.76137
0.06004,0.06000,-0.33154,0.06000,-0.04551,0.06000,0.03044,0.06000,-0.00450,0.06000,0.21815,0.06000,0.76446
0.07004,0.07000,-0.33096,0.07000,-0.04429,0.07000,0.02722,0.07000,-0.00375,0.07000,0.22251,0.07000,0.76731
0.08005,0.08000,-0.32966,0.08000,-0.04359,0.08000,0.02495,0.08000,-0.00233,0.08000,0.22585,0.08000,0.76976
0.09005,0.09000,-0.32754,0.09000,-0.04313,0.09000,0.02374,0.09000,-0.00053,0.09000,0.22784,0.09000,0.77158
0.10006,0.10000,-0.32458,0.10000,-0.04260,0.10000,0.02362,0.10000,0.00137,0.10000,0.22832,0.10000,0.77255
0.11007,0.11000,-0.32083,0.11000,-0.04176,0.11000,0.02452,0.11000,0.00317,0.11000,0.22729,0.11000,0.77248
0.12007,0.12000,-0.31642,0.12000,-0.04042,0.12000,0.02627,0.12000,0.00471,0.12000,0.22491,0.12000,0.77125
0.13008,0.13000,-0.31155,0.13000,-0.03849,0.13000,0.02865,0.13000,0.00594,0.13000,0.22148,0.13000,0.76885
0.14008,0.14000,-0.30644,0.14000,-0.03598,0.14000,0.03143,0.14000,0.00686,0.14000,0.21734,0.14000,0.76539
0.15009,0.15000,-0.30134,0.15000,-0.03297,0.15000,0.03436,0.15000,0.00748,0.15000,0.21284,0.15000,0.76110
0.16010,0.16000,-0.29644,0.16000,-0.02960,0.16000,0.03724,0.16000,0.00785,0.16000,0.20831,0.16000,0.75628
0.17010,0.17000,-0.29187,0.17000,-0.02608,0.17000,0.03990,0.17000,0.00798,0.17000,0.20399,0.17000,0.75132
0.18011,0.18000,-0.28766,0.18000,-0.02259,0.18000,0.04221,0.18000,0.00785,0.18000,0.20010,0.18000,0.74662
0.19011,0.19000,-0.28380,0.19000,-0.01934,0.19000,0.04409,0.19000,0.00745,0.19000,0.19677,0.19000,0.74256
